Line num,68603
packages num,16,43
files num,33,222
Average Line num per featured file,181,6002
,80
caplets,197
core,218
firewall,390
js,349
log,21
modules,67
modules/any_proxy,156
modules/api_rest,858
modules/arp_spoof,273
modules/ble,863
modules/c2,320
modules/caplets,116
modules/dhcp6_spoof,312
modules/dns_spoof,342
modules/events_stream,1064
modules/gps,174
modules/hid,3101
modules/http_proxy,1426
modules/http_server,101
modules/https_proxy,154
modules/https_server,139
modules/mac_changer,101
modules/mdns_server,132
modules/mysql_server,148
modules/ndp_spoof,148
modules/net_probe,276
modules/net_recon,433
modules/net_sniff,1204
modules/packet_proxy,249
modules/syn_scan,560
modules/tcp_proxy,259
modules/ticker,81
modules/ui,159
modules/update,75
modules/utils,87
modules/wifi,1874
modules/wol,127
network,45408
packets,2874
routing,154
session,3318
tls,215
Filename, #,Concurrent Type, Line number , Number
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/modules/net_sniff/net_sniff.go,3,Send,226,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/modules/net_probe/net_probe_mdns.go,22,chan used as a param,39,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/modules/net_probe/net_probe_mdns.go,4,Synchronous chan,88,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/modules/net_probe/net_probe_mdns.go,15,Close chan,89,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/modules/net_probe/net_probe_mdns.go,1,Goroutine,91,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/modules/net_probe/net_probe.go,1,Goroutine,121,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/network/net_wifi.go,27,Mutex,11,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/network/net_wifi.go,29,Mutex Lock(),15,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/network/net_wifi.go,28,Mutex Unlock(),16,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/network/net_wifi.go,29,Mutex Lock(),24,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/network/net_wifi.go,28,Mutex Unlock(),25,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/network/lan_endpoint.go,1,Goroutine,66,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/modules/http_proxy/http_proxy_cert_cache.go,27,Mutex,11,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/modules/http_proxy/http_proxy_cert_cache.go,29,Mutex Lock(),19,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/modules/http_proxy/http_proxy_cert_cache.go,28,Mutex Unlock(),20,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/modules/http_proxy/http_proxy_cert_cache.go,29,Mutex Lock(),28,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/modules/http_proxy/http_proxy_cert_cache.go,28,Mutex Unlock(),29,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/modules/http_proxy/http_proxy_base_hosttracker.go,1,Goroutine,22,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/modules/http_proxy/http_proxy_base_sslstriper.go,1,Goroutine,95,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/modules/http_proxy/http_proxy_base.go,5,Go in for,375,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/modules/http_proxy/http_proxy_base.go,1,Goroutine,375,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/modules/http_proxy/http_proxy_base.go,1,Goroutine,412,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/session/script_builtin_runtime.go,1,Goroutine,55,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/session/events.go,4,Synchronous chan,91,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/session/events.go,1,Goroutine,95,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/session/events.go,3,Send,100,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/session/events.go,5,Go in for,143,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/session/events.go,1,Goroutine,143,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/session/events.go,3,Send,150,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/session/session_setup.go,1,Goroutine,91,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/session/session_setup.go,4,Synchronous chan,117,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/session/session_setup.go,1,Goroutine,119,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/session/session_setup.go,2,Receive,120,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/session/module.go,1,Goroutine,285,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/session/module.go,8,Known chan length (length),288,1
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/session/module.go,1,Goroutine,289,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/session/module.go,3,Send,291,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/session/module.go,16,Select (number of branch),294,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/session/module.go,2,Receive,295,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/session/module.go,2,Receive,297,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/session/session.go,1,Goroutine,267,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/modules/dhcp6_spoof/dhcp6_spoof.go,3,Send,385,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/modules/tcp_proxy/tcp_proxy.go,26,Waitgroup Done(),156,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/modules/tcp_proxy/tcp_proxy.go,30,Waitgroup,213,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/modules/tcp_proxy/tcp_proxy.go,24,Waitgroup Add(const),214,&{16675416 INT 2} val is : 2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/modules/tcp_proxy/tcp_proxy.go,1,Goroutine,217,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/modules/tcp_proxy/tcp_proxy.go,1,Goroutine,218,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/modules/tcp_proxy/tcp_proxy.go,31,Waitgroup Wait(),220,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/modules/tcp_proxy/tcp_proxy.go,5,Go in for,238,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/modules/tcp_proxy/tcp_proxy.go,1,Goroutine,238,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/modules/syn_scan/syn_scan.go,3,Send,158,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/modules/syn_scan/syn_scan.go,3,Send,214,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/modules/syn_scan/syn_scan.go,1,Goroutine,238,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/modules/syn_scan/syn_scan.go,1,Goroutine,250,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/modules/c2/c2.go,4,Synchronous chan,55,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/modules/c2/c2.go,16,Select (number of branch),366,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/modules/c2/c2.go,2,Receive,367,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/modules/c2/c2.go,2,Receive,370,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/modules/c2/c2.go,3,Send,380,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/modules/hid/hid_recon.go,1,Goroutine,49,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/modules/hid/hid_recon.go,1,Goroutine,98,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/modules/api_rest/api_rest_record.go,1,Goroutine,98,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/modules/api_rest/api_rest_ws.go,16,Select (number of branch),75,3
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/modules/api_rest/api_rest_ws.go,2,Receive,76,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/modules/api_rest/api_rest_ws.go,2,Receive,80,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/modules/api_rest/api_rest_ws.go,2,Receive,84,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/modules/api_rest/api_rest_ws.go,1,Goroutine,116,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/modules/api_rest/api_rest.go,4,Synchronous chan,49,
