Line num,29843
packages num,13,34
files num,24,178
Average Line num per featured file,264,6345
,4071
caddyconfig,299
caddyconfig/caddyfile,2549
caddyconfig/httpcaddyfile,0
caddytest,438
caddytest/integration,1506
cmd,1357
cmd/caddy,8
modules/caddyhttp,4843
modules/caddyhttp/caddyauth,482
modules/caddyhttp/encode,622
modules/caddyhttp/encode/brotli,18
modules/caddyhttp/encode/gzip,81
modules/caddyhttp/encode/zstd,48
modules/caddyhttp/fileserver,1865
modules/caddyhttp/headers,605
modules/caddyhttp/map,176
modules/caddyhttp/push,314
modules/caddyhttp/requestbody,59
modules/caddyhttp/reverseproxy,3191
modules/caddyhttp/reverseproxy/fastcgi,1105
modules/caddyhttp/rewrite,661
modules/caddyhttp/standard,18
modules/caddyhttp/templates,853
modules/caddypki,671
modules/caddypki/acmeserver,203
modules/caddytls,2320
modules/caddytls/distributedstek,157
modules/caddytls/standardstek,83
modules/filestorage,57
modules/logging,960
modules/metrics,138
modules/standard,13
notify,72
Filename, #,Concurrent Type, Line number , Number
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/caddyserver++caddy/modules/caddyhttp/fileserver/command.go,16,Select (number of branch),134,0
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/caddyserver++caddy/modules/caddyhttp/reverseproxy/command.go,16,Select (number of branch),190,0
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/caddyserver++caddy/modules/caddyhttp/reverseproxy/streaming.go,4,Synchronous chan,57,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/caddyserver++caddy/modules/caddyhttp/reverseproxy/streaming.go,1,Goroutine,58,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/caddyserver++caddy/modules/caddyhttp/reverseproxy/streaming.go,16,Select (number of branch),61,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/caddyserver++caddy/modules/caddyhttp/reverseproxy/streaming.go,2,Receive,62,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/caddyserver++caddy/modules/caddyhttp/reverseproxy/streaming.go,2,Receive,63,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/caddyserver++caddy/modules/caddyhttp/reverseproxy/streaming.go,15,Close chan,67,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/caddyserver++caddy/modules/caddyhttp/reverseproxy/streaming.go,8,Known chan length (length),95,1
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/caddyserver++caddy/modules/caddyhttp/reverseproxy/streaming.go,1,Goroutine,97,
