Line num,8024
packages num,1,13
files num,2,67
Average Line num per featured file,419,838
,5214
config,258
effector,88
errors,9
log,127
log/mocks,70
model,837
persist,91
persist/cache,34
persist/file-adapter,286
rbac,14
rbac/default-role-manager,624
util,372
Filename, #,Concurrent Type, Line number , Number
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/casbin++casbin/enforcer_synced.go,8,Known chan length (length),43,1
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/casbin++casbin/enforcer_synced.go,1,Goroutine,61,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/casbin++casbin/enforcer_synced.go,16,Select (number of branch),68,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/casbin++casbin/enforcer_synced.go,2,Receive,69,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/casbin++casbin/enforcer_synced.go,2,Receive,75,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/casbin++casbin/enforcer_synced.go,3,Send,85,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/casbin++casbin/enforcer_test.go,30,Waitgroup,366,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/casbin++casbin/enforcer_test.go,5,Go in for,371,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/casbin++casbin/enforcer_test.go,7,Goroutine in for with constant (constant),371,10000
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/casbin++casbin/enforcer_test.go,24,Waitgroup Add(const),370,&{4805113 INT 1} val is : 1
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/casbin++casbin/enforcer_test.go,1,Goroutine,371,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/casbin++casbin/enforcer_test.go,26,Waitgroup Done(),373,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/casbin++casbin/enforcer_test.go,31,Waitgroup Wait(),377,
