Line num,37534
packages num,9,70
files num,9,230
Average Line num per featured file,266,2400
,50
appengine,100
client,95
clog,55
clog/glog,28
cmd/cayley,166
cmd/cayley/command,893
cmd/cayleyexport,145
cmd/cayleyimport,154
cmd/docgen,182
cmd/download_ui,93
examples/hello_bolt,45
examples/hello_schema,90
examples/hello_world,23
examples/transaction,31
graph,984
graph/all,13
graph/gaedatastore,1046
graph/graphmock,201
graph/graphtest,1650
graph/graphtest/testutil,45
graph/http,9
graph/iterator,4461
graph/kv,2646
graph/kv/all,6
graph/kv/badger,56
graph/kv/bolt,86
graph/kv/btree,49
graph/kv/kvtest,121
graph/kv/leveldb,74
graph/log,127
graph/memstore,2097
graph/nosql,1179
graph/nosql/all,18
graph/nosql/elastic,14
graph/nosql/mongo,14
graph/nosql/nosqltest,51
graph/nosql/ouch,4
graph/proto,1477
graph/refs,134
graph/sql,2348
graph/sql/cockroach,243
graph/sql/mysql,167
graph/sql/postgres,180
graph/sql/sqlite,167
graph/sql/sqltest,85
inference,917
internal,130
internal/decompressor,106
internal/dock,123
internal/gephi,360
internal/http,437
internal/linkedql/schema,340
internal/lru,74
internal/repl,268
packrd,2
query,78
query/gizmo,2132
query/graphql,894
query/linkedql,1008
query/linkedql/steps,1537
query/mql,590
query/path,701
query/path/pathtest,645
query/sexp,548
query/shape,1861
schema,1966
server/http,820
version,6
writer,89
Filename, #,Concurrent Type, Line number , Number
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/cayleygraph++cayley/graph/iterator/iterate.go,17,Select with default (number of branch),40,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/cayleygraph++cayley/graph/iterator/iterate.go,2,Receive,41,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/cayleygraph++cayley/graph/iterator/iterate.go,17,Select with default (number of branch),52,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/cayleygraph++cayley/graph/iterator/iterate.go,2,Receive,53,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/cayleygraph++cayley/graph/iterator/iterate.go,17,Select with default (number of branch),106,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/cayleygraph++cayley/graph/iterator/iterate.go,2,Receive,107,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/cayleygraph++cayley/graph/iterator/iterate.go,17,Select with default (number of branch),116,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/cayleygraph++cayley/graph/iterator/iterate.go,2,Receive,117,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/cayleygraph++cayley/graph/iterator/iterate.go,17,Select with default (number of branch),147,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/cayleygraph++cayley/graph/iterator/iterate.go,2,Receive,148,
