Line num,2785
packages num,1,3
files num,3,11
Average Line num per featured file,428,1286
,6
cmd,451
server,2328
Filename, #,Concurrent Type, Line number , Number
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dutchcoders++transfer.sh/server/clamav.go,4,Synchronous chan,59,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dutchcoders++transfer.sh/server/clamav.go,16,Select (number of branch),67,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dutchcoders++transfer.sh/server/clamav.go,2,Receive,68,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dutchcoders++transfer.sh/server/clamav.go,2,Receive,70,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dutchcoders++transfer.sh/server/clamav.go,3,Send,71,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dutchcoders++transfer.sh/server/clamav.go,15,Close chan,74,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dutchcoders++transfer.sh/server/server.go,1,Goroutine,385,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dutchcoders++transfer.sh/server/server.go,1,Goroutine,526,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dutchcoders++transfer.sh/server/server.go,1,Goroutine,535,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dutchcoders++transfer.sh/server/server.go,1,Goroutine,551,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dutchcoders++transfer.sh/server/server.go,8,Known chan length (length),554,1
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dutchcoders++transfer.sh/server/server.go,2,Receive,559,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dutchcoders++transfer.sh/server/handlers.go,1,Goroutine,739,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dutchcoders++transfer.sh/server/handlers.go,16,Select (number of branch),741,1
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dutchcoders++transfer.sh/server/handlers.go,2,Receive,742,
