Line num,375918
packages num,68,174
files num,237,843
Average Line num per featured file,250,59311
,89
accounts,591
accounts/abi,5687
accounts/abi/bind,3610
accounts/abi/bind/backends,1647
accounts/external,214
accounts/keystore,2348
accounts/scwallet,1253
accounts/usbwallet,1105
accounts/usbwallet/trezor,3403
build,1306
cmd/abidump,49
cmd/abigen,233
cmd/bootnode,119
cmd/checkpoint-admin,435
cmd/clef,1007
cmd/devp2p,2183
cmd/devp2p/internal/ethtest,2251
cmd/devp2p/internal/v4test,463
cmd/devp2p/internal/v5test,497
cmd/ethkey,487
cmd/evm,880
cmd/evm/internal/compiler,18
cmd/evm/internal/t8ntool,880
cmd/faucet,936
cmd/geth,3851
cmd/p2psim,378
cmd/puppeth,3877
cmd/rlpdump,116
cmd/utils,2332
common,1143
common/bitutil,538
common/compiler,417
common/fdlimit,142
common/hexutil,952
common/math,591
common/mclock,340
common/prque,529
consensus,48
consensus/clique,1417
consensus/ethash,3720
consensus/misc,240
console,1042
console/prompt,87
contracts/checkpointoracle,317
contracts/checkpointoracle/contract,277
core,14269
core/asm,631
core/bloombits,964
core/forkid,316
core/rawdb,4751
core/state,3519
core/state/pruner,410
core/state/snapshot,5382
core/types,4076
core/vm,6025
core/vm/runtime,706
crypto,672
crypto/blake2b,1495
crypto/bls12381,5482
crypto/bn256,16
crypto/bn256/cloudflare,1862
crypto/bn256/google,1940
crypto/ecies,624
crypto/secp256k1,555
crypto/secp256k1/libsecp256k1,1
crypto/secp256k1/libsecp256k1/contrib,1
crypto/secp256k1/libsecp256k1/include,1
crypto/secp256k1/libsecp256k1/src,1
crypto/secp256k1/libsecp256k1/src/modules,1
crypto/secp256k1/libsecp256k1/src/modules/ecdh,1
crypto/secp256k1/libsecp256k1/src/modules/recovery,1
crypto/signify,283
eth,3107
eth/catalyst,627
eth/downloader,4900
eth/ethconfig,432
eth/fetcher,3220
eth/filters,2062
eth/gasprice,690
eth/protocols/eth,1971
eth/protocols/snap,4249
eth/tracers,2175
eth/tracers/internal/tracers,352
ethclient,953
ethclient/gethclient,425
ethdb,103
ethdb/dbtest,263
ethdb/leveldb,382
ethdb/memorydb,213
ethstats,670
event,1240
graphql,1798
internal/build,827
internal/cmdtest,221
internal/debug,368
internal/ethapi,1915
internal/flags,112
internal/guide,62
internal/jsre,704
internal/jsre/deps,225
internal/testlog,99
internal/utesting,360
internal/web3ext,800
les,9844
les/checkpointoracle,107
les/downloader,4900
les/fetcher,1305
les/flowcontrol,762
les/utils,1172
les/vflux,130
les/vflux/client,2386
les/vflux/server,2991
light,2469
log,1115
metrics,4389
metrics/exp,157
metrics/influxdb,402
metrics/librato,298
metrics/prometheus,214
miner,1671
miner/stress/1559,183
miner/stress/clique,153
miner/stress/ethash,134
mobile,1945
node,2817
p2p,3800
p2p/discover,4060
p2p/discover/v4wire,297
p2p/discover/v5wire,1464
p2p/dnsdisc,1442
p2p/enode,2276
p2p/enr,569
p2p/msgrate,220
p2p/nat,654
p2p/netutil,758
p2p/nodestate,1104
p2p/rlpx,954
p2p/simulations,3473
p2p/simulations/adapters,1029
p2p/simulations/examples,125
p2p/simulations/pipes,32
p2p/tracker,132
params,915
rlp,3532
rpc,3950
signer/core,2839
signer/core/apitypes,117
signer/fourbyte,147607
signer/rules,652
signer/rules/deps,180
signer/storage,305
tests,1762
tests/fuzzers/abi,152
tests/fuzzers/bitutil,39
tests/fuzzers/bls12381,231
tests/fuzzers/bn256,120
tests/fuzzers/difficulty,100
tests/fuzzers/difficulty/debug,20
tests/fuzzers/keystore,17
tests/fuzzers/les,344
tests/fuzzers/les/debug,22
tests/fuzzers/rangeproof,149
tests/fuzzers/rangeproof/debug,22
tests/fuzzers/rlp,103
tests/fuzzers/runtime,13
tests/fuzzers/secp256k1,33
tests/fuzzers/stacktrie,151
tests/fuzzers/stacktrie/debug,20
tests/fuzzers/trie,146
tests/fuzzers/txfetcher,152
tests/fuzzers/vflux,293
tests/fuzzers/vflux/debug,24
trie,6420
Filename, #,Concurrent Type, Line number , Number
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ethereum++go-ethereum/log/handler.go,27,Mutex,53,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ethereum++go-ethereum/log/handler.go,28,Mutex Unlock(),55,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ethereum++go-ethereum/log/handler.go,29,Mutex Lock(),56,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ethereum++go-ethereum/log/handler.go,21,Send only chan (chan<-),248,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ethereum++go-ethereum/log/handler.go,3,Send,250,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ethereum++go-ethereum/log/handler.go,9,Unknown chan length,261,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ethereum++go-ethereum/log/handler.go,1,Goroutine,262,
