Line num,2075
packages num,2,17
files num,4,52
Average Line num per featured file,52,208
,756
_examples/custom-handler,26
_examples/custom-method,29
_examples/fileserver,36
_examples/graceful,52
_examples/hello-world,16
_examples/limits,58
_examples/logging,88
_examples/rest,312
_examples/router-walk,33
_examples/todos-resource,89
_examples/versions,118
_examples/versions/data,31
_examples/versions/presenter/v1,15
_examples/versions/presenter/v2,18
_examples/versions/presenter/v3,25
middleware,373
Filename, #,Concurrent Type, Line number , Number
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-chi++chi/mux_test.go,2,Receive,1564,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-chi++chi/mux_test.go,30,Waitgroup,1567,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-chi++chi/mux_test.go,5,Go in for,1571,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-chi++chi/mux_test.go,7,Goroutine in for with constant (constant),1571,100
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-chi++chi/mux_test.go,24,Waitgroup Add(const),1570,&{8760546 INT 1} val is : 1
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-chi++chi/mux_test.go,1,Goroutine,1571,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-chi++chi/mux_test.go,26,Waitgroup Done(),1572,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-chi++chi/mux_test.go,5,Go in for,1583,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-chi++chi/mux_test.go,7,Goroutine in for with constant (constant),1583,10000
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-chi++chi/mux_test.go,1,Goroutine,1583,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-chi++chi/mux_test.go,31,Waitgroup Wait(),1590,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-chi++chi/middleware/middleware_test.go,1,Goroutine,59,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-chi++chi/middleware/throttle_test.go,30,Waitgroup,35,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-chi++chi/middleware/throttle_test.go,5,Go in for,42,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-chi++chi/middleware/throttle_test.go,7,Goroutine in for with constant (constant),42,40
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-chi++chi/middleware/throttle_test.go,24,Waitgroup Add(const),41,&{8862092 INT 1} val is : 1
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-chi++chi/middleware/throttle_test.go,1,Goroutine,42,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-chi++chi/middleware/throttle_test.go,26,Waitgroup Done(),43,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-chi++chi/middleware/throttle_test.go,31,Waitgroup Wait(),55,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-chi++chi/middleware/throttle_test.go,30,Waitgroup,76,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-chi++chi/middleware/throttle_test.go,5,Go in for,80,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-chi++chi/middleware/throttle_test.go,7,Goroutine in for with constant (constant),80,10
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-chi++chi/middleware/throttle_test.go,24,Waitgroup Add(const),79,&{8862861 INT 1} val is : 1
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-chi++chi/middleware/throttle_test.go,1,Goroutine,80,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-chi++chi/middleware/throttle_test.go,26,Waitgroup Done(),81,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-chi++chi/middleware/throttle_test.go,31,Waitgroup Wait(),87,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-chi++chi/middleware/throttle_test.go,30,Waitgroup,108,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-chi++chi/middleware/throttle_test.go,5,Go in for,113,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-chi++chi/middleware/throttle_test.go,7,Goroutine in for with constant (constant),113,50
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-chi++chi/middleware/throttle_test.go,24,Waitgroup Add(const),112,&{8863549 INT 1} val is : 1
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-chi++chi/middleware/throttle_test.go,1,Goroutine,113,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-chi++chi/middleware/throttle_test.go,26,Waitgroup Done(),114,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-chi++chi/middleware/throttle_test.go,5,Go in for,129,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-chi++chi/middleware/throttle_test.go,7,Goroutine in for with constant (constant),129,50
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-chi++chi/middleware/throttle_test.go,24,Waitgroup Add(const),128,&{8863927 INT 1} val is : 1
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-chi++chi/middleware/throttle_test.go,1,Goroutine,129,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-chi++chi/middleware/throttle_test.go,26,Waitgroup Done(),130,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-chi++chi/middleware/throttle_test.go,31,Waitgroup Wait(),143,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-chi++chi/middleware/throttle_test.go,30,Waitgroup,164,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-chi++chi/middleware/throttle_test.go,5,Go in for,168,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-chi++chi/middleware/throttle_test.go,7,Goroutine in for with constant (constant),168,20
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-chi++chi/middleware/throttle_test.go,24,Waitgroup Add(const),167,&{8864731 INT 1} val is : 1
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-chi++chi/middleware/throttle_test.go,1,Goroutine,168,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-chi++chi/middleware/throttle_test.go,26,Waitgroup Done(),169,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-chi++chi/middleware/throttle_test.go,5,Go in for,189,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-chi++chi/middleware/throttle_test.go,7,Goroutine in for with constant (constant),189,20
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-chi++chi/middleware/throttle_test.go,24,Waitgroup Add(const),188,&{8865237 INT 1} val is : 1
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-chi++chi/middleware/throttle_test.go,1,Goroutine,189,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-chi++chi/middleware/throttle_test.go,26,Waitgroup Done(),190,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-chi++chi/middleware/throttle_test.go,31,Waitgroup Wait(),203,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-chi++chi/middleware/throttle.go,9,Unknown chan length,53,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-chi++chi/middleware/throttle.go,9,Unknown chan length,54,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-chi++chi/middleware/throttle.go,3,Send,62,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-chi++chi/middleware/throttle.go,3,Send,64,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-chi++chi/middleware/throttle.go,17,Select with default (number of branch),71,3
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-chi++chi/middleware/throttle.go,2,Receive,73,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-chi++chi/middleware/throttle.go,2,Receive,78,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-chi++chi/middleware/throttle.go,3,Send,82,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-chi++chi/middleware/throttle.go,16,Select (number of branch),85,3
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-chi++chi/middleware/throttle.go,2,Receive,86,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-chi++chi/middleware/throttle.go,2,Receive,90,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-chi++chi/middleware/throttle.go,2,Receive,95,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-chi++chi/middleware/throttle.go,3,Send,98,
