Line num,19490
packages num,28,57
files num,51,249
Average Line num per featured file,153,7849
auth/basic,116
auth/casbin,84
auth/jwt,409
circuitbreaker,177
endpoint,52
log,170
log/deprecated_levels,123
log/level,80
log/logrus,158
log/syslog,33
log/term,97
log/zap,105
metrics,88
metrics/cloudwatch,539
metrics/cloudwatch2,306
metrics/discard,15
metrics/dogstatsd,381
metrics/expvar,88
metrics/generic,323
metrics/graphite,184
metrics/influx,381
metrics/influxstatsd,369
metrics/internal/convert,131
metrics/internal/lv,218
metrics/internal/ratemap,25
metrics/multi,134
metrics/pcp,116
metrics/prometheus,278
metrics/provider,189
metrics/statsd,211
metrics/teststat,196
ratelimit,76
sd,414
sd/consul,638
sd/dnssrv,166
sd/etcd,806
sd/etcdv3,764
sd/eureka,536
sd/internal/instance,151
sd/lb,404
sd/zk,849
tracing,1
tracing/opencensus,1199
tracing/opentracing,672
tracing/zipkin,689
transport,45
transport/amqp,1063
transport/awslambda,416
transport/grpc,315
transport/grpc/_grpc_test,251
transport/grpc/_grpc_test/pb,252
transport/http,1110
transport/http/jsonrpc,1317
transport/http/proto,278
transport/httprp,170
transport/nats,909
util/conn,223
Filename, #,Concurrent Type, Line number , Number
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-kit++kit/util/conn/manager_test.go,4,Synchronous chan,15,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-kit++kit/util/conn/manager_test.go,4,Synchronous chan,15,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-kit++kit/util/conn/manager_test.go,3,Send,48,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-kit++kit/util/conn/manager_test.go,1,Goroutine,74,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-kit++kit/util/conn/manager_test.go,16,Select (number of branch),77,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-kit++kit/util/conn/manager_test.go,3,Send,78,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-kit++kit/util/conn/manager_test.go,2,Receive,79,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-kit++kit/util/conn/manager_test.go,4,Synchronous chan,101,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-kit++kit/util/conn/manager_test.go,4,Synchronous chan,101,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-kit++kit/util/conn/manager_test.go,16,Select (number of branch),114,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-kit++kit/util/conn/manager_test.go,3,Send,115,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-kit++kit/util/conn/manager_test.go,2,Receive,116,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-kit++kit/util/conn/manager.go,4,Synchronous chan,49,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-kit++kit/util/conn/manager.go,4,Synchronous chan,50,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-kit++kit/util/conn/manager.go,1,Goroutine,52,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-kit++kit/util/conn/manager.go,2,Receive,64,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-kit++kit/util/conn/manager.go,3,Send,71,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-kit++kit/util/conn/manager.go,8,Known chan length (length),88,1
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-kit++kit/util/conn/manager.go,8,Known chan length (length),88,1
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-kit++kit/util/conn/manager.go,3,Send,96,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-kit++kit/util/conn/manager.go,16,Select (number of branch),99,4
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-kit++kit/util/conn/manager.go,2,Receive,100,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-kit++kit/util/conn/manager.go,1,Goroutine,102,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-kit++kit/util/conn/manager.go,3,Send,102,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-kit++kit/util/conn/manager.go,2,Receive,104,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-kit++kit/util/conn/manager.go,3,Send,115,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-kit++kit/util/conn/manager.go,2,Receive,117,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-kit++kit/sd/eureka/util_test.go,20,Receive only chan (<-chan),126,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-kit++kit/sd/eureka/util_test.go,8,Known chan length (length),127,1
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-kit++kit/sd/eureka/util_test.go,17,Select with default (number of branch),130,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-kit++kit/sd/eureka/util_test.go,3,Send,131,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-kit++kit/sd/eureka/util_test.go,1,Goroutine,139,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-kit++kit/sd/eureka/util_test.go,16,Select (number of branch),142,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-kit++kit/sd/eureka/util_test.go,2,Receive,143,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-kit++kit/sd/eureka/util_test.go,2,Receive,145,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-kit++kit/sd/eureka/instancer.go,19,Channel of channels,33,s.quitc
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-kit++kit/sd/eureka/instancer.go,4,Synchronous chan,36,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-kit++kit/sd/eureka/instancer.go,2,Receive,38,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-kit++kit/sd/eureka/instancer.go,1,Goroutine,39,
