Line num,9563
packages num,1,1
files num,6,32
Average Line num per featured file,664,3986
,9563
Filename, #,Concurrent Type, Line number , Number
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-sql-driver++mysql/connection_test.go,4,Synchronous chan,136,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-sql-driver++mysql/connection_test.go,4,Synchronous chan,181,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-sql-driver++mysql/packets_test.go,4,Synchronous chan,103,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-sql-driver++mysql/packets_test.go,4,Synchronous chan,267,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-sql-driver++mysql/packets_test.go,4,Synchronous chan,312,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-sql-driver++mysql/connector.go,4,Synchronous chan,30,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-sql-driver++mysql/benchmark_test.go,30,Waitgroup,79,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-sql-driver++mysql/benchmark_test.go,24,Waitgroup Add(const),80,concurrencyLevel val is : 10
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-sql-driver++mysql/benchmark_test.go,31,Waitgroup Wait(),81,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-sql-driver++mysql/benchmark_test.go,5,Go in for,85,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-sql-driver++mysql/benchmark_test.go,7,Goroutine in for with constant (constant),85,10
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-sql-driver++mysql/benchmark_test.go,1,Goroutine,85,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-sql-driver++mysql/benchmark_test.go,26,Waitgroup Done(),88,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-sql-driver++mysql/benchmark_test.go,26,Waitgroup Done(),96,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-sql-driver++mysql/benchmark_test.go,30,Waitgroup,116,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-sql-driver++mysql/benchmark_test.go,24,Waitgroup Add(const),117,concurrencyLevel val is : 10
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-sql-driver++mysql/benchmark_test.go,31,Waitgroup Wait(),118,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-sql-driver++mysql/benchmark_test.go,5,Go in for,122,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-sql-driver++mysql/benchmark_test.go,7,Goroutine in for with constant (constant),122,10
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-sql-driver++mysql/benchmark_test.go,1,Goroutine,122,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-sql-driver++mysql/benchmark_test.go,26,Waitgroup Done(),125,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-sql-driver++mysql/connection.go,16,Select (number of branch),444,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-sql-driver++mysql/connection.go,3,Send,445,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-sql-driver++mysql/connection.go,2,Receive,447,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-sql-driver++mysql/connection.go,17,Select with default (number of branch),539,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-sql-driver++mysql/connection.go,2,Receive,541,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-sql-driver++mysql/connection.go,3,Send,602,
