Line num,2051
packages num,2,6
files num,3,16
Average Line num per featured file,173,521
,1442
consistenthash,113
groupcachepb,49
lru,158
singleflight,96
testpb,193
Filename, #,Concurrent Type, Line number , Number
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/singleflight/singleflight_test.go,4,Synchronous chan,57,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/singleflight/singleflight_test.go,2,Receive,61,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/singleflight/singleflight_test.go,30,Waitgroup,65,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/singleflight/singleflight_test.go,5,Go in for,68,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/singleflight/singleflight_test.go,7,Goroutine in for with constant (constant),68,10
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/singleflight/singleflight_test.go,24,Waitgroup Add(const),67,&{5767357 INT 1} val is : 1
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/singleflight/singleflight_test.go,1,Goroutine,68,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/singleflight/singleflight_test.go,26,Waitgroup Done(),76,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/singleflight/singleflight_test.go,3,Send,80,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/singleflight/singleflight_test.go,31,Waitgroup Wait(),81,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/http_test.go,30,Waitgroup,58,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/http_test.go,5,Go in for,71,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/http_test.go,7,Goroutine in for with constant (constant),71,4
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/http_test.go,24,Waitgroup Add(const),67,&{7731320 INT 1} val is : 1
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/http_test.go,1,Goroutine,71,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/http_test.go,31,Waitgroup Wait(),80,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/http_test.go,26,Waitgroup Done(),151,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/groupcache_test.go,4,Synchronous chan,43,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/groupcache_test.go,2,Receive,64,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/groupcache_test.go,2,Receive,72,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/groupcache_test.go,8,Known chan length (length),89,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/groupcache_test.go,5,Go in for,91,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/groupcache_test.go,7,Goroutine in for with constant (constant),91,2
