Line num,5251
packages num,1,6
files num,5,28
Average Line num per featured file,477,2388
,4377
examples/autobahn,217
examples/chat,162
examples/command,153
examples/echo,176
examples/filewatch,166
Filename, #,Concurrent Type, Line number , Number
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/prepared.go,8,Known chan length (length),76,1
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/prepared.go,3,Send,77,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/conn_broadcast_test.go,4,Synchronous chan,50,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/conn_broadcast_test.go,4,Synchronous chan,51,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/conn_broadcast_test.go,5,Go in for,77,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/conn_broadcast_test.go,1,Goroutine,77,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/conn_broadcast_test.go,16,Select (number of branch),79,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/conn_broadcast_test.go,2,Receive,80,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/conn_broadcast_test.go,3,Send,88,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/conn_broadcast_test.go,2,Receive,90,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/conn_broadcast_test.go,3,Send,105,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/conn_broadcast_test.go,2,Receive,107,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/conn_test.go,2,Receive,652,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/conn_test.go,1,Goroutine,659,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/conn_test.go,2,Receive,664,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/conn.go,8,Known chan length (length),305,1
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/conn.go,3,Send,306,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/conn.go,2,Receive,379,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/conn.go,3,Send,380,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/conn.go,16,Select (number of branch),441,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/conn.go,2,Receive,442,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/conn.go,2,Receive,444,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/conn.go,3,Send,447,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/client_server_test.go,1,Goroutine,775,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/client_server_test.go,4,Synchronous chan,820,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/client_server_test.go,1,Goroutine,821,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/client_server_test.go,15,Close chan,823,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gorilla++websocket/client_server_test.go,2,Receive,826,
