Line num,335324
packages num,48,217
files num,145,833
Average Line num per featured file,442,64179
,50
acl,7387
agent,50429
agent/ae,600
agent/auto-config,2903
agent/cache,2238
agent/cache-types,3062
agent/checks,3022
agent/config,10875
agent/config/testdata,0
agent/connect,1879
agent/connect/ca,3274
agent/consul,58998
agent/consul/authmethod,194
agent/consul/authmethod/kubeauth,746
agent/consul/authmethod/ssoauth,384
agent/consul/authmethod/testauth,152
agent/consul/discoverychain,3218
agent/consul/fsm,3588
agent/consul/prepared_query,600
agent/consul/state,33987
agent/consul/stream,1359
agent/consul/usagemetrics,497
agent/consul/wanfed,349
agent/debug,57
agent/dns,51
agent/exec,53
agent/grpc,1001
agent/grpc/internal/testservice,662
agent/grpc/resolver,228
agent/local,2863
agent/metadata,529
agent/mock,71
agent/pool,743
agent/proxycfg,6563
agent/router,2004
agent/routine-leak-checker,76
agent/rpc/subscribe,1140
agent/rpcclient/health,1318
agent/structs,20265
agent/submatview,1296
agent/systemd,29
agent/token,707
agent/uiserver,1179
agent/xds,12345
agent/xds/proxysupport,11
agent/xds/testdata,0
agent/xds/testdata/clusters,0
agent/xds/testdata/endpoints,0
agent/xds/testdata/listeners,0
agent/xds/testdata/rbac,0
agent/xds/testdata/routes,0
api,16929
api/watch,1677
command,262
command/acl,232
command/acl/agenttokens,191
command/acl/authmethod,158
command/acl/authmethod/create,770
command/acl/authmethod/delete,166
command/acl/authmethod/list,226
command/acl/authmethod/read,241
command/acl/authmethod/update,1079
command/acl/bindingrule,137
command/acl/bindingrule/create,335
command/acl/bindingrule/delete,223
command/acl/bindingrule/list,251
command/acl/bindingrule/read,245
command/acl/bindingrule/update,862
command/acl/bootstrap,149
command/acl/policy,137
command/acl/policy/create,238
command/acl/policy/delete,138
command/acl/policy/list,188
command/acl/policy/read,200
command/acl/policy/update,281
command/acl/role,346
command/acl/role/create,271
command/acl/role/delete,191
command/acl/role/list,195
command/acl/role/read,320
command/acl/role/testdata/FormatRole,0
command/acl/role/testdata/FormatRoleList,0
command/acl/role/update,636
command/acl/rules,201
command/acl/token,448
command/acl/token/clone,288
command/acl/token/create,309
command/acl/token/delete,132
command/acl/token/list,188
command/acl/token/read,205
command/acl/token/testdata/FormatToken,0
command/acl/token/testdata/FormatTokenList,0
command/acl/token/update,455
command/agent,487
command/catalog,91
command/catalog/list/dc,128
command/catalog/list/nodes,332
command/catalog/list/services,254
command/cli,20
command/config,34
command/config/delete,127
command/config/list,130
command/config/read,135
command/config/write,2934
command/connect,39
command/connect/ca,42
command/connect/ca/get,100
command/connect/ca/set,131
command/connect/envoy,3887
command/connect/envoy/pipe-bootstrap,74
command/connect/envoy/testdata,0
command/connect/expose,494
command/connect/proxy,932
command/connect/redirecttraffic,765
command/debug,1001
command/event,152
command/exec,898
command/flags,731
command/forceleave,184
command/helpers,51
command/info,110
command/intention,194
command/intention/check,166
command/intention/create,455
command/intention/delete,199
command/intention/get,237
command/intention/list,109
command/intention/match,218
command/join,144
command/keygen,83
command/keyring,398
command/kv,45
command/kv/del,318
command/kv/exp,150
command/kv/get,552
command/kv/imp,238
command/kv/impexp,19
command/kv/put,522
command/leave,103
command/lock,678
command/login,522
command/logout,293
command/maint,356
command/members,307
command/monitor,225
command/operator,41
command/operator/autopilot,35
command/operator/autopilot/get,102
command/operator/autopilot/set,183
command/operator/autopilot/state,351
command/operator/autopilot/state/testdata/enterprise,0
command/operator/autopilot/state/testdata/oss,0
command/operator/raft,36
command/operator/raft/listpeers,137
command/operator/raft/removepeer,138
command/reload,83
command/rtt,350
command/services,278
command/services/deregister,247
command/services/register,313
command/snapshot,49
command/snapshot/inspect,562
command/snapshot/inspect/testdata,0
command/snapshot/restore,219
command/snapshot/save,266
command/tls,50
command/tls/ca,41
command/tls/ca/create,223
command/tls/cert,45
command/tls/cert/create,458
command/validate,176
command/version,194
command/version/testdata,0
command/watch,382
connect,1722
connect/certgen,54
connect/proxy,1201
internal/go-sso/oidcauth,3032
internal/go-sso/oidcauth/internal/strutil,35
internal/go-sso/oidcauth/oidcauthtest,407
internal/testing/golden,24
ipaddr,242
lib,1291
lib/decode,475
lib/file,63
lib/mutex,95
lib/retry,227
lib/routine,197
lib/semaphore,143
lib/serf,54
lib/stringslice,109
lib/template,195
lib/ttlcache,195
logging,760
logging/monitor,223
proto,111
proto/pbacl,340
proto/pbautoconf,954
proto/pbcommon,2072
proto/pbconfig,3213
proto/pbconnect,2155
proto/pbservice,10898
proto/pbsubscribe,1601
sdk,0
sdk/freeport,525
sdk/iptables,348
sdk/testutil,779
sdk/testutil/retry,237
sentinel,31
service_os,39
snapshot,715
test/integration/connect/envoy,56
testrpc,169
tlsutil,2074
types,8
version,20
Filename, #,Concurrent Type, Line number , Number
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/hashicorp++consul/agent/cache-types/testing.go,4,Synchronous chan,29,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/hashicorp++consul/agent/cache-types/testing.go,1,Goroutine,30,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/hashicorp++consul/agent/cache-types/testing.go,3,Send,33,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/hashicorp++consul/agent/cache-types/testing.go,3,Send,37,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/hashicorp++consul/agent/cache-types/testing.go,20,Receive only chan (<-chan),46,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/hashicorp++consul/agent/cache-types/testing.go,16,Select (number of branch),49,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/hashicorp++consul/agent/cache-types/testing.go,2,Receive,50,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/hashicorp++consul/agent/cache-types/testing.go,2,Receive,60,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/hashicorp++consul/agent/cache-types/connect_ca_leaf.go,22,chan used as a param,137,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/hashicorp++consul/agent/cache-types/connect_ca_leaf.go,1,Goroutine,150,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/hashicorp++consul/agent/cache-types/connect_ca_leaf.go,22,chan used as a param,160,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/hashicorp++consul/agent/cache-types/connect_ca_leaf.go,8,Known chan length (length),176,1
