Line num,34957
packages num,7,57
files num,18,284
Average Line num per featured file,186,3356
,938
acctest,197
acctest/plugin,164
builder/file,294
builder/file/version,10
builder/null,359
builder/null/version,10
cmd/generate-fixer-deprecations,74
cmd/packer-plugins-check,151
cmd/ssh-keygen,82
command,5340
command/enumflag,21
command/flag-kv,189
command/flag-slice,49
datasource/packer-image-iteration,218
fix,3719
hcl2template,6735
hcl2template/addrs,236
hcl2template/function,786
hcl2template/internal,219
hcl2template/repl,90
hcl2template/shim,505
helper/wrappedreadline,89
helper/wrappedstreams,80
internal/packer_registry,1158
internal/packer_registry/env,90
packer,5216
packer/plugin-getter,1152
packer/plugin-getter/github,192
post-processor/artifice,133
post-processor/artifice/version,10
post-processor/checksum,287
post-processor/checksum/version,10
post-processor/compress,850
post-processor/compress/version,10
post-processor/manifest,207
post-processor/manifest/version,10
post-processor/shell-local,251
post-processor/shell-local/version,10
provisioner/breakpoint,103
provisioner/breakpoint/version,10
provisioner/file,637
provisioner/file/version,10
provisioner/powershell,1344
provisioner/powershell/version,10
provisioner/shell,1020
provisioner/shell/version,10
provisioner/shell-local,148
provisioner/shell-local/version,10
provisioner/sleep,93
provisioner/sleep/version,10
provisioner/windows-restart,510
provisioner/windows-restart/version,10
provisioner/windows-shell,600
provisioner/windows-shell/version,10
scripts,261
version,20
Filename, #,Concurrent Type, Line number , Number
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/hashicorp++packer/internal/packer_registry/types.bucket.go,30,Waitgroup,365,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/hashicorp++packer/internal/packer_registry/types.bucket.go,5,Go in for,369,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/hashicorp++packer/internal/packer_registry/types.bucket.go,24,Waitgroup Add(const),368,&{77761041 INT 1} val is : 1
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/hashicorp++packer/internal/packer_registry/types.bucket.go,1,Goroutine,369,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/hashicorp++packer/internal/packer_registry/types.bucket.go,26,Waitgroup Done(),370,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/hashicorp++packer/internal/packer_registry/types.bucket.go,31,Waitgroup Wait(),385,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/hashicorp++packer/provisioner/sleep/provisioner.go,16,Select (number of branch),29,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/hashicorp++packer/provisioner/sleep/provisioner.go,2,Receive,30,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/hashicorp++packer/provisioner/sleep/provisioner.go,2,Receive,32,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/hashicorp++packer/provisioner/windows-restart/provisioner.go,4,Synchronous chan,105,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/hashicorp++packer/provisioner/windows-restart/provisioner.go,8,Known chan length (length),133,1
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/hashicorp++packer/provisioner/windows-restart/provisioner.go,1,Goroutine,169,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/hashicorp++packer/provisioner/windows-restart/provisioner.go,3,Send,172,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/hashicorp++packer/provisioner/windows-restart/provisioner.go,16,Select (number of branch),181,3
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/hashicorp++packer/provisioner/windows-restart/provisioner.go,2,Receive,182,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/hashicorp++packer/provisioner/windows-restart/provisioner.go,2,Receive,191,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/hashicorp++packer/provisioner/windows-restart/provisioner.go,2,Receive,196,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/hashicorp++packer/provisioner/windows-restart/provisioner.go,15,Close chan,197,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/hashicorp++packer/provisioner/windows-restart/provisioner.go,16,Select (number of branch),218,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/hashicorp++packer/provisioner/windows-restart/provisioner.go,2,Receive,219,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/hashicorp++packer/provisioner/windows-restart/provisioner.go,2,Receive,222,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/hashicorp++packer/provisioner/windows-restart/provisioner_test.go,4,Synchronous chan,205,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/hashicorp++packer/provisioner/windows-restart/provisioner_test.go,4,Synchronous chan,206,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/hashicorp++packer/provisioner/windows-restart/provisioner_test.go,16,Select (number of branch),211,1
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/hashicorp++packer/provisioner/windows-restart/provisioner_test.go,2,Receive,212,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/hashicorp++packer/provisioner/windows-restart/provisioner_test.go,3,Send,213,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/hashicorp++packer/provisioner/windows-restart/provisioner_test.go,1,Goroutine,218,
