Line num,245145
packages num,22,122
files num,59,1079
Average Line num per featured file,675,39856
,1259
.git/refs/remotes/origin/dependabot/go_modules,0
internal/addrs,8220
internal/backend,805
internal/backend/init,153
internal/backend/local,2882
internal/backend/remote,6661
internal/backend/remote-state/artifactory,178
internal/backend/remote-state/azure,1492
internal/backend/remote-state/consul,1107
internal/backend/remote-state/cos,754
internal/backend/remote-state/etcdv2,161
internal/backend/remote-state/etcdv3,560
internal/backend/remote-state/gcs,600
internal/backend/remote-state/http,651
internal/backend/remote-state/inmem,287
internal/backend/remote-state/kubernetes,1067
internal/backend/remote-state/manta,589
internal/backend/remote-state/oss,1587
internal/backend/remote-state/pg,674
internal/backend/remote-state/s3,1727
internal/backend/remote-state/swift,1011
internal/builtin/providers/terraform,638
internal/builtin/provisioners/file,258
internal/builtin/provisioners/local-exec,365
internal/builtin/provisioners/remote-exec,503
internal/command,28634
internal/command/arguments,1914
internal/command/cliconfig,1500
internal/command/clistate,465
internal/command/e2etest,1253
internal/command/format,7934
internal/command/jsonconfig,528
internal/command/jsonplan,1436
internal/command/jsonprovider,561
internal/command/jsonstate,1265
internal/command/testdata,39
internal/command/testdata/login-oauth-server,189
internal/command/testdata/login-tfe-server,45
internal/command/views,6504
internal/command/views/json,1691
internal/command/webbrowser,187
internal/communicator,259
internal/communicator/remote,53
internal/communicator/shared,136
internal/communicator/ssh,1902
internal/communicator/winrm,699
internal/configs,6704
internal/configs/configload,958
internal/configs/configschema,3730
internal/configs/hcl2shim,2792
internal/copy,199
internal/dag,2326
internal/depsfile,852
internal/didyoumean,59
internal/e2e,185
internal/earlyconfig,362
internal/experiments,102
internal/getmodules,148
internal/getproviders,0
internal/grpcwrap,759
internal/helper/slowmessage,86
internal/helper/wrappedreadline,82
internal/helper/wrappedstreams,80
internal/httpclient,196
internal/initwd,1640
internal/instances,956
internal/ipaddr,283
internal/lang,2398
internal/lang/blocktoattr,986
internal/lang/funcs,7195
internal/lang/marks,25
internal/legacy/helper/acctest,198
internal/legacy/helper/hashcode,55
internal/legacy/helper/schema,23479
internal/legacy/terraform,10060
internal/logging,363
internal/modsdir,105
internal/moduledeps,326
internal/moduletest,580
internal/plans,792
internal/plans/internal/planproto,997
internal/plans/objchange,5874
internal/plans/planfile,1285
internal/plugin,1562
internal/plugin/convert,995
internal/plugin/discovery,1155
internal/plugin/mock_proto,466
internal/plugin6,1161
internal/plugin6/convert,1264
internal/plugin6/mock_proto,216
internal/provider-simple,105
internal/provider-simple/main,14
internal/provider-simple-v6,105
internal/provider-simple-v6/main,14
internal/provider-terraform/main,14
internal/providercache,2879
internal/providers,228
internal/provisioner-local-exec/main,14
internal/provisioners,42
internal/refactoring,1329
internal/registry,552
internal/registry/regsrc,457
internal/registry/response,256
internal/registry/test,209
internal/repl,632
internal/replacefile,68
internal/states,2250
internal/states/remote,844
internal/states/statefile,1896
internal/states/statemgr,1595
internal/states/statemgr/testdata,20
internal/terminal,363
internal/terraform,44469
internal/tfdiags,2136
internal/tfplugin5,4567
