Line num,233602
packages num,41,242
files num,119,899
Average Line num per featured file,319,38005
,9
api,5059
audit,1448
builtin/audit/file,387
builtin/audit/socket,225
builtin/audit/syslog,148
builtin/credential/app-id,558
builtin/credential/app-id/cmd/app-id,23
builtin/credential/approle,5636
builtin/credential/approle/cmd/approle,23
builtin/credential/aws,7721
builtin/credential/aws/cmd/aws,23
builtin/credential/aws/pkcs7,2457
builtin/credential/cert,2882
builtin/credential/cert/cmd/cert,23
builtin/credential/github,705
builtin/credential/github/cmd/github,23
builtin/credential/ldap,1249
builtin/credential/ldap/cmd/ldap,23
builtin/credential/okta,0
builtin/credential/okta/cmd/okta,23
builtin/credential/radius,481
builtin/credential/radius/cmd/radius,23
builtin/credential/token,125
builtin/credential/userpass,1051
builtin/credential/userpass/cmd/userpass,23
builtin/logical/aws,4157
builtin/logical/aws/cmd/aws,23
builtin/logical/cassandra,837
builtin/logical/cassandra/cmd/cassandra,23
builtin/logical/consul,1142
builtin/logical/consul/cmd/consul,23
builtin/logical/database,6368
builtin/logical/database/dbplugin,214
builtin/logical/mongodb,913
builtin/logical/mongodb/cmd/mongodb,23
builtin/logical/mssql,907
builtin/logical/mssql/cmd/mssql,23
builtin/logical/mysql,997
builtin/logical/mysql/cmd/mysql,23
builtin/logical/nomad,976
builtin/logical/nomad/cmd/nomad,23
builtin/logical/pki,7466
builtin/logical/pki/cmd/pki,23
builtin/logical/postgresql,1331
builtin/logical/postgresql/cmd/postgresql,23
builtin/logical/rabbitmq,1324
builtin/logical/rabbitmq/cmd/rabbitmq,23
builtin/logical/ssh,4509
builtin/logical/ssh/cmd/ssh,23
builtin/logical/totp,1539
builtin/logical/totp/cmd/totp,23
builtin/logical/transit,7686
builtin/logical/transit/cmd/transit,23
builtin/plugin,391
command,25297
command/agent,1653
command/agent/auth,413
command/agent/auth/alicloud,181
command/agent/auth/approle,189
command/agent/auth/aws,235
command/agent/auth/azure,142
command/agent/auth/cert,212
command/agent/auth/cf,75
command/agent/auth/gcp,197
command/agent/auth/jwt,253
command/agent/auth/kerberos,160
command/agent/auth/kubernetes,188
command/agent/cache,3538
command/agent/cache/cacheboltdb,450
command/agent/cache/cachememdb,635
command/agent/cache/keymanager,105
command/agent/config,1367
command/agent/sink,230
command/agent/sink/file,318
command/agent/sink/inmem,33
command/agent/sink/mock,19
command/agent/template,762
command/agent/winsvc,37
command/config,127
command/server,2178
command/token,409
helper/builtinplugins,181
helper/constants,2
helper/dhutil,111
helper/fairshare,1361
helper/flag-kv,69
helper/flag-slice,38
helper/forwarding,722
helper/hostutil,156
helper/identity,1127
helper/identity/mfa,849
helper/metricsutil,1030
helper/mfa,235
helper/mfa/duo,429
helper/monitor,173
helper/namespace,165
helper/pgpkeys,801
helper/policies,63
helper/proxyutil,60
helper/random,1997
helper/storagepacker,727
helper/testhelpers,579
helper/testhelpers/azurite,74
helper/testhelpers/cassandra,145
helper/testhelpers/certhelpers,195
helper/testhelpers/consul,112
helper/testhelpers/docker,258
helper/testhelpers/fakegcsserver,59
helper/testhelpers/ldap,50
helper/testhelpers/logical,396
helper/testhelpers/minio,98
helper/testhelpers/mongodb,118
helper/testhelpers/mssql,54
helper/testhelpers/mysql,60
helper/testhelpers/postgresql,51
helper/testhelpers/seal,68
helper/testhelpers/teststorage,324
helper/testhelpers/teststorage/consul,29
helper/timeutil,393
helper/xor,51
http,9266
internalshared/configutil,1371
internalshared/listenerutil,266
physical/aerospike,274
physical/alicloudoss,236
physical/azure,355
physical/cassandra,336
physical/cockroachdb,802
physical/consul,635
physical/couchdb,392
physical/dynamodb,993
physical/etcd,913
physical/foundationdb,791
physical/gcs,584
physical/manta,289
physical/mssql,298
physical/mysql,841
physical/oci,828
physical/postgresql,666
physical/raft,5192
physical/s3,341
physical/spanner,606
physical/swift,275
physical/zookeeper,568
plugins/database/cassandra,946
plugins/database/cassandra/cassandra-database-plugin,22
plugins/database/hana,508
plugins/database/hana/hana-database-plugin,22
plugins/database/influxdb,839
plugins/database/influxdb/influxdb-database-plugin,22
plugins/database/mongodb,1270
plugins/database/mongodb/mongodb-database-plugin,22
plugins/database/mssql,635
plugins/database/mssql/mssql-database-plugin,22
plugins/database/mysql,1321
plugins/database/mysql/mysql-database-plugin,24
plugins/database/mysql/mysql-legacy-database-plugin,24
plugins/database/postgresql,1253
plugins/database/postgresql/postgresql-database-plugin,22
plugins/database/redshift,786
plugins/database/redshift/redshift-database-plugin,25
sdk/database/dbplugin,2369
sdk/database/dbplugin/v5,2835
sdk/database/dbplugin/v5/proto,1212
sdk/database/dbplugin/v5/testing,67
sdk/database/helper/connutil,196
sdk/database/helper/credsutil,357
sdk/database/helper/dbutil,101
sdk/framework,5208
sdk/helper/authmetadata,668
sdk/helper/base62,11
sdk/helper/certutil,1959
sdk/helper/cidrutil,348
sdk/helper/compressutil,210
sdk/helper/consts,197
sdk/helper/cryptoutil,15
sdk/helper/dbtxn,40
sdk/helper/errutil,13
sdk/helper/hclutil,29
sdk/helper/identitytpl,753
sdk/helper/jsonutil,175
sdk/helper/kdf,95
sdk/helper/keysutil,2639
sdk/helper/ldaputil,1057
sdk/helper/license,6
sdk/helper/locksutil,45
sdk/helper/logging,125
sdk/helper/mlock,10
sdk/helper/parseutil,30
sdk/helper/password,9
sdk/helper/pathmanager,211
sdk/helper/pluginutil,671
sdk/helper/pointerutil,21
sdk/helper/policyutil,149
sdk/helper/salt,196
sdk/helper/strutil,70
sdk/helper/template,650
sdk/helper/tlsutil,22
sdk/helper/tokenutil,339
sdk/helper/useragent,60
sdk/helper/wrapping,13
sdk/logical,2190
sdk/physical,1116
sdk/physical/file,491
sdk/physical/inmem,882
sdk/plugin,1722
sdk/plugin/mock,301
sdk/plugin/pb,5371
sdk/queue,261
sdk/version,71
serviceregistration,17
serviceregistration/consul,964
serviceregistration/kubernetes,777
serviceregistration/kubernetes/client,384
serviceregistration/kubernetes/client/cmd/kubeclient,81
serviceregistration/kubernetes/testing,200
shamir,389
tools,8
vault,22983
vault/activity,822
vault/cluster,980
vault/diagnose,1984
vault/external_tests/activity,100
vault/external_tests/api,2341
vault/external_tests/expiration,249
vault/external_tests/identity,1408
vault/external_tests/metrics,185
vault/external_tests/misc,247
vault/external_tests/policy,450
vault/external_tests/pprof,185
vault/external_tests/quotas,381
vault/external_tests/raft,1311
vault/external_tests/raftha,188
vault/external_tests/response,123
vault/external_tests/router,57
vault/external_tests/sealmigration,709
vault/external_tests/sealmigrationext,54
vault/external_tests/token,0
vault/quotas,1199
vault/replication,11
vault/seal,131
Filename, #,Concurrent Type, Line number , Number
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/hashicorp++vault/command/agent/sink/file/sink_test.go,4,Synchronous chan,34,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/hashicorp++vault/command/agent/sink/file/sink_test.go,4,Synchronous chan,36,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/hashicorp++vault/command/agent/sink/file/sink_test.go,1,Goroutine,37,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/hashicorp++vault/command/agent/sink/file/sink_test.go,3,Send,38,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/hashicorp++vault/command/agent/sink/file/sink_test.go,3,Send,42,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/hashicorp++vault/command/agent/sink/file/sink_test.go,16,Select (number of branch),50,1
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/hashicorp++vault/command/agent/sink/file/sink_test.go,2,Receive,51,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/hashicorp++vault/command/agent/sink/file/sink_test.go,4,Synchronous chan,101,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/hashicorp++vault/command/agent/sink/file/sink_test.go,4,Synchronous chan,103,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/hashicorp++vault/command/agent/sink/file/sink_test.go,1,Goroutine,104,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/hashicorp++vault/command/agent/sink/file/sink_test.go,3,Send,105,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/hashicorp++vault/command/agent/sink/file/sink_test.go,3,Send,109,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/hashicorp++vault/command/agent/sink/file/sink_test.go,3,Send,120,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/hashicorp++vault/command/agent/sink/file/sink_test.go,16,Select (number of branch),132,1
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/hashicorp++vault/command/agent/sink/file/sink_test.go,2,Receive,133,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/hashicorp++vault/command/agent/cache/cachememdb/index.go,4,Synchronous chan,126,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/hashicorp++vault/command/agent/winsvc/service.go,4,Synchronous chan,3,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/hashicorp++vault/physical/dynamodb/dynamodb_test.go,4,Synchronous chan,229,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/hashicorp++vault/physical/dynamodb/dynamodb_test.go,15,Close chan,231,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/hashicorp++vault/physical/dynamodb/dynamodb_test.go,4,Synchronous chan,257,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/hashicorp++vault/physical/dynamodb/dynamodb_test.go,1,Goroutine,260,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/hashicorp++vault/physical/dynamodb/dynamodb_test.go,16,Select (number of branch),261,3
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/hashicorp++vault/physical/dynamodb/dynamodb_test.go,2,Receive,262,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/hashicorp++vault/physical/dynamodb/dynamodb_test.go,2,Receive,264,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/hashicorp++vault/physical/dynamodb/dynamodb_test.go,15,Close chan,266,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/hashicorp++vault/physical/dynamodb/dynamodb_test.go,2,Receive,267,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/hashicorp++vault/physical/dynamodb/dynamodb_test.go,2,Receive,272,
