Line num,38524
packages num,7,51
files num,8,243
Average Line num per featured file,421,3372
,0
cmd/helm,7905
cmd/helm/require,133
cmd/helm/search,401
internal/experimental/action,74
internal/experimental/pusher,181
internal/experimental/registry,699
internal/experimental/uploader,30
internal/fileutil,64
internal/ignore,232
internal/monocular,152
internal/resolver,451
internal/sympath,196
internal/test,67
internal/test/ensure,38
internal/third_party/dep/fs,756
internal/third_party/k8s.io/kubernetes/deployment/util,103
internal/tlsutil,158
internal/urlutil,101
internal/version,39
pkg/action,4905
pkg/chart,525
pkg/chart/loader,973
pkg/chartutil,3137
pkg/cli,231
pkg/cli/output,86
pkg/cli/values,136
pkg/downloader,1483
pkg/engine,1386
pkg/gates,47
pkg/getter,822
pkg/helmpath,277
pkg/helmpath/xdg,6
pkg/kube,1989
pkg/kube/fake,140
pkg/lint,122
pkg/lint/rules,1330
pkg/lint/support,89
pkg/plugin,491
pkg/plugin/cache,39
pkg/plugin/installer,905
pkg/postrender,134
pkg/provenance,475
pkg/release,184
pkg/releaseutil,1019
pkg/repo,1453
pkg/repo/repotest,386
pkg/storage,488
pkg/storage/driver,2441
pkg/strvals,935
pkg/time,110
Filename, #,Concurrent Type, Line number , Number
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/helm++helm/pkg/postrender/exec.go,1,Goroutine,57,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/helm++helm/pkg/action/upgrade.go,4,Synchronous chan,323,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/helm++helm/pkg/action/upgrade.go,1,Goroutine,324,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/helm++helm/pkg/action/upgrade.go,1,Goroutine,325,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/helm++helm/pkg/action/upgrade.go,2,Receive,326,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/helm++helm/pkg/action/upgrade.go,21,Send only chan (chan<-),334,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/helm++helm/pkg/action/upgrade.go,3,Send,339,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/helm++helm/pkg/action/upgrade.go,21,Send only chan (chan<-),344,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/helm++helm/pkg/action/upgrade.go,1,Goroutine,346,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/helm++helm/pkg/action/upgrade.go,2,Receive,347,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/helm++helm/pkg/action/upgrade.go,21,Send only chan (chan<-),353,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/helm++helm/pkg/action/install.go,4,Synchronous chan,346,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/helm++helm/pkg/action/install.go,1,Goroutine,347,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/helm++helm/pkg/action/install.go,1,Goroutine,348,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/helm++helm/pkg/action/install.go,2,Receive,349,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/helm++helm/pkg/action/install.go,21,Send only chan (chan<-),354,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/helm++helm/pkg/action/install.go,21,Send only chan (chan<-),419,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/helm++helm/pkg/action/install.go,1,Goroutine,420,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/helm++helm/pkg/action/install.go,2,Receive,421,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/helm++helm/pkg/action/install.go,21,Send only chan (chan<-),426,
