Line num,3867
packages num,7,14
files num,15,43
Average Line num per featured file,163,2457
src/ngrok/cache,191
src/ngrok/client,1019
src/ngrok/client/mvc,62
src/ngrok/client/views/term,276
src/ngrok/client/views/web,281
src/ngrok/conn,232
src/ngrok/log,95
src/ngrok/main/ngrok,7
src/ngrok/main/ngrokd,7
src/ngrok/msg,163
src/ngrok/proto,243
src/ngrok/server,1090
src/ngrok/util,183
src/ngrok/version,18
Filename, #,Concurrent Type, Line number , Number
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/inconshreveable++ngrok/src/ngrok/client/controller.go,4,Synchronous chan,58,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/inconshreveable++ngrok/src/ngrok/client/controller.go,4,Synchronous chan,60,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/inconshreveable++ngrok/src/ngrok/client/controller.go,2,Receive,67,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/inconshreveable++ngrok/src/ngrok/client/controller.go,3,Send,71,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/inconshreveable++ngrok/src/ngrok/client/controller.go,3,Send,79,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/inconshreveable++ngrok/src/ngrok/client/controller.go,3,Send,83,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/inconshreveable++ngrok/src/ngrok/client/controller.go,1,Goroutine,87,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/inconshreveable++ngrok/src/ngrok/client/controller.go,30,Waitgroup,104,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/inconshreveable++ngrok/src/ngrok/client/controller.go,25,Waitgroup Add(var),107,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/inconshreveable++ngrok/src/ngrok/client/controller.go,26,Waitgroup Done(),113,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/inconshreveable++ngrok/src/ngrok/client/controller.go,26,Waitgroup Done(),119,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/inconshreveable++ngrok/src/ngrok/client/controller.go,31,Waitgroup Wait(),122,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/inconshreveable++ngrok/src/ngrok/client/controller.go,4,Synchronous chan,192,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/inconshreveable++ngrok/src/ngrok/client/controller.go,16,Select (number of branch),194,4
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/inconshreveable++ngrok/src/ngrok/client/controller.go,2,Receive,195,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/inconshreveable++ngrok/src/ngrok/client/controller.go,1,Goroutine,199,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/inconshreveable++ngrok/src/ngrok/client/controller.go,3,Send,202,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/inconshreveable++ngrok/src/ngrok/client/controller.go,2,Receive,209,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/inconshreveable++ngrok/src/ngrok/client/controller.go,3,Send,212,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/inconshreveable++ngrok/src/ngrok/client/controller.go,2,Receive,213,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/inconshreveable++ngrok/src/ngrok/client/model.go,16,Select (number of branch),425,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/inconshreveable++ngrok/src/ngrok/client/model.go,2,Receive,426,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/inconshreveable++ngrok/src/ngrok/client/model.go,2,Receive,437,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/inconshreveable++ngrok/src/ngrok/proto/http.go,4,Synchronous chan,66,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/inconshreveable++ngrok/src/ngrok/proto/http.go,1,Goroutine,67,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/inconshreveable++ngrok/src/ngrok/proto/http.go,1,Goroutine,68,
