Line num,1871
packages num,1,2
files num,5,14
Average Line num per featured file,110,554
,445
libwebsocketd,1426
Filename, #,Concurrent Type, Line number , Number
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/joewalnes++websocketd/libwebsocketd/websocket_endpoint.go,4,Synchronous chan,29,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/joewalnes++websocketd/libwebsocketd/websocket_endpoint.go,1,Goroutine,63,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/joewalnes++websocketd/libwebsocketd/websocket_endpoint.go,3,Send,84,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/joewalnes++websocketd/libwebsocketd/websocket_endpoint.go,3,Send,86,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/joewalnes++websocketd/libwebsocketd/endpoint.go,16,Select (number of branch),22,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/joewalnes++websocketd/libwebsocketd/endpoint.go,2,Receive,23,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/joewalnes++websocketd/libwebsocketd/endpoint.go,2,Receive,27,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/joewalnes++websocketd/libwebsocketd/endpoint_test.go,1,Goroutine,43,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/joewalnes++websocketd/libwebsocketd/endpoint_test.go,3,Send,45,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/joewalnes++websocketd/libwebsocketd/process_endpoint.go,4,Synchronous chan,33,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/joewalnes++websocketd/libwebsocketd/process_endpoint.go,1,Goroutine,34,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/joewalnes++websocketd/libwebsocketd/process_endpoint.go,3,Send,34,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/joewalnes++websocketd/libwebsocketd/process_endpoint.go,16,Select (number of branch),40,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/joewalnes++websocketd/libwebsocketd/process_endpoint.go,2,Receive,41,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/joewalnes++websocketd/libwebsocketd/process_endpoint.go,2,Receive,44,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/joewalnes++websocketd/libwebsocketd/process_endpoint.go,16,Select (number of branch),53,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/joewalnes++websocketd/libwebsocketd/process_endpoint.go,2,Receive,54,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/joewalnes++websocketd/libwebsocketd/process_endpoint.go,2,Receive,57,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/joewalnes++websocketd/libwebsocketd/process_endpoint.go,16,Select (number of branch),66,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/joewalnes++websocketd/libwebsocketd/process_endpoint.go,2,Receive,67,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/joewalnes++websocketd/libwebsocketd/process_endpoint.go,2,Receive,70,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/joewalnes++websocketd/libwebsocketd/process_endpoint.go,16,Select (number of branch),79,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/joewalnes++websocketd/libwebsocketd/process_endpoint.go,2,Receive,80,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/joewalnes++websocketd/libwebsocketd/process_endpoint.go,2,Receive,83,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/joewalnes++websocketd/libwebsocketd/process_endpoint.go,1,Goroutine,99,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/joewalnes++websocketd/libwebsocketd/process_endpoint.go,1,Goroutine,101,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/joewalnes++websocketd/libwebsocketd/process_endpoint.go,1,Goroutine,103,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/joewalnes++websocketd/libwebsocketd/process_endpoint.go,3,Send,119,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/joewalnes++websocketd/libwebsocketd/process_endpoint.go,3,Send,136,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/joewalnes++websocketd/libwebsocketd/http.go,9,Unknown chan length,41,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/joewalnes++websocketd/libwebsocketd/http.go,17,Select with default (number of branch),208,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/joewalnes++websocketd/libwebsocketd/http.go,3,Send,209,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/joewalnes++websocketd/libwebsocketd/http.go,17,Select with default (number of branch),221,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/joewalnes++websocketd/libwebsocketd/http.go,2,Receive,222,
