Line num,16975
packages num,7,30
files num,24,88
Average Line num per featured file,362,8711
apps/nsq_stat,151
apps/nsq_tail,113
apps/nsq_to_file,647
apps/nsq_to_http,357
apps/nsq_to_nsq,332
apps/nsqadmin,144
apps/nsqd,272
apps/nsqlookupd,125
apps/to_nsq,116
bench/bench_channels,82
bench/bench_reader,114
bench/bench_writer,109
internal/app,45
internal/auth,128
internal/clusterinfo,1045
internal/dirlock,61
internal/http_api,416
internal/lg,103
internal/pqueue,127
internal/protocol,172
internal/quantile,177
internal/statsd,39
internal/stringy,78
internal/test,106
internal/util,62
internal/version,9
internal/writers,63
nsqadmin,2169
nsqd,7828
nsqlookupd,1785
Filename, #,Concurrent Type, Line number , Number
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/nsqio++nsq/internal/util/wait_group_wrapper.go,1,Goroutine,13,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/nsqio++nsq/internal/writers/spread_writer.go,22,chan used as a param,15,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/nsqio++nsq/internal/writers/spread_writer.go,16,Select (number of branch),36,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/nsqio++nsq/internal/writers/spread_writer.go,2,Receive,37,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/nsqio++nsq/internal/writers/spread_writer.go,2,Receive,38,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/nsqio++nsq/internal/protocol/tcp_server.go,30,Waitgroup,20,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/nsqio++nsq/internal/protocol/tcp_server.go,5,Go in for,38,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/nsqio++nsq/internal/protocol/tcp_server.go,24,Waitgroup Add(const),37,&{6728079 INT 1} val is : 1
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/nsqio++nsq/internal/protocol/tcp_server.go,1,Goroutine,38,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/nsqio++nsq/internal/protocol/tcp_server.go,26,Waitgroup Done(),40,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/nsqio++nsq/internal/protocol/tcp_server.go,31,Waitgroup Wait(),45,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/nsqio++nsq/nsqadmin/notify.go,1,Goroutine,70,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/nsqio++nsq/nsqadmin/notify.go,3,Send,70,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/nsqio++nsq/nsqadmin/nsqadmin_test.go,1,Goroutine,59,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/nsqio++nsq/nsqadmin/nsqadmin_test.go,1,Goroutine,96,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/nsqio++nsq/nsqadmin/nsqadmin.go,4,Synchronous chan,41,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/nsqio++nsq/nsqadmin/nsqadmin.go,4,Synchronous chan,171,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/nsqio++nsq/nsqadmin/nsqadmin.go,3,Send,178,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/nsqio++nsq/nsqadmin/nsqadmin.go,2,Receive,188,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/nsqio++nsq/nsqadmin/http_test.go,1,Goroutine,56,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/nsqio++nsq/nsqadmin/http_test.go,1,Goroutine,81,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/nsqio++nsq/nsqadmin/http_test.go,1,Goroutine,105,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/nsqio++nsq/nsqadmin/http_test.go,1,Goroutine,123,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/nsqio++nsq/nsqadmin/http_test.go,1,Goroutine,628,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/nsqio++nsq/nsqd/statsd.go,16,Select (number of branch),34,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/nsqio++nsq/nsqd/statsd.go,2,Receive,35,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/nsqio++nsq/nsqd/statsd.go,2,Receive,37,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/nsqio++nsq/nsqd/channel.go,9,Unknown chan length,88,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/nsqio++nsq/nsqd/channel.go,17,Select with default (number of branch),201,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/nsqio++nsq/nsqd/channel.go,2,Receive,202,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/nsqio++nsq/nsqd/channel.go,17,Select with default (number of branch),221,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/nsqio++nsq/nsqd/channel.go,2,Receive,222,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/nsqio++nsq/nsqd/channel.go,17,Select with default (number of branch),306,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/nsqio++nsq/nsqd/channel.go,3,Send,307,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/nsqio++nsq/nsqd/channel.go,1,Goroutine,442,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/nsqio++nsq/nsqd/topic.go,8,Known chan length (length),50,1
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/nsqio++nsq/nsqd/topic.go,4,Synchronous chan,51,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/nsqio++nsq/nsqd/topic.go,4,Synchronous chan,52,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/nsqio++nsq/nsqd/topic.go,4,Synchronous chan,55,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/nsqio++nsq/nsqd/topic.go,9,Unknown chan length,61,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/nsqio++nsq/nsqd/topic.go,17,Select with default (number of branch),91,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/nsqio++nsq/nsqd/topic.go,3,Send,92,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/nsqio++nsq/nsqd/topic.go,16,Select (number of branch),112,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/nsqio++nsq/nsqd/topic.go,3,Send,113,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/nsqio++nsq/nsqd/topic.go,2,Receive,114,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/nsqio++nsq/nsqd/topic.go,16,Select (number of branch),171,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/nsqio++nsq/nsqd/topic.go,3,Send,172,
