Line num,551783
packages num,72,227
files num,171,1310
Average Line num per featured file,674,115342
,0
bindinfo,3528
br,0
br/cmd/br,874
br/cmd/tidb-lightning,98
br/cmd/tidb-lightning-ctl,400
br/pkg/backup,1615
br/pkg/cdclog,657
br/pkg/checksum,444
br/pkg/conn,512
br/pkg/errors,56
br/pkg/glue,27
br/pkg/gluetidb,131
br/pkg/gluetikv,56
br/pkg/httputil,16
br/pkg/kv,740
br/pkg/lightning,1026
br/pkg/lightning/backend,603
br/pkg/lightning/backend/importer,545
br/pkg/lightning/backend/kv,1321
br/pkg/lightning/backend/local,5687
br/pkg/lightning/backend/noop,97
br/pkg/lightning/backend/tidb,940
br/pkg/lightning/checkpoints,3144
br/pkg/lightning/checkpoints/checkpointspb,2409
br/pkg/lightning/common,1073
br/pkg/lightning/config,1929
br/pkg/lightning/glue,143
br/pkg/lightning/log,307
br/pkg/lightning/manual,36
br/pkg/lightning/metric,254
br/pkg/lightning/mydump,7274
br/pkg/lightning/restore,8067
br/pkg/lightning/tikv,385
br/pkg/lightning/verification,131
br/pkg/lightning/web,310
br/pkg/lightning/worker,74
br/pkg/logutil,457
br/pkg/membuf,157
br/pkg/metautil,638
br/pkg/mock,4795
br/pkg/mock/mockid,14
br/pkg/mock/storage,106
br/pkg/pdutil,884
br/pkg/redact,44
br/pkg/restore,6929
br/pkg/rtree,405
br/pkg/storage,3196
br/pkg/summary,252
br/pkg/task,1883
br/pkg/trace,134
br/pkg/utils,1721
br/pkg/version,422
br/pkg/version/build,75
br/tests/br_gcs,10
br/tests/br_key_locked,351
br/tests/br_rawkv,309
br/tests/br_z_gc_safepoint,59
br/tests/lightning_checkpoint_parquet,56
br/tools,13
cmd/benchdb,264
cmd/benchfilesort,355
cmd/benchkv,107
cmd/benchraw,66
cmd/ddltest,1282
cmd/explaintest,617
cmd/importer,1195
cmd/pluginpkg,139
cmd/portgenerator,30
config,1613
ddl,39739
ddl/failtest,476
ddl/label,364
ddl/placement,1684
ddl/testutil,61
ddl/util,909
distsql,2527
domain,2808
domain/infosync,932
errno,2258
executor,84952
executor/aggfuncs,8947
executor/oomtest,169
executor/seqtest,1213
expression,91020
expression/aggregation,2229
expression/generator,2416
expression/generator/helper,17
infoschema,8467
infoschema/perfschema,1031
kv,1817
lock,95
meta,1520
meta/autoid,1787
metrics,1042
owner,622
planner,569
planner/cascades,3868
planner/core,53006
planner/implementation,448
planner/memo,1026
planner/property,288
planner/util,156
plugin,998
plugin/conn_ip_example,151
privilege,41
privilege/privileges,4320
server,13225
session,16167
session/txninfo,113
sessionctx,132
sessionctx/binloginfo,933
sessionctx/stmtctx,704
sessionctx/variable,6080
statistics,9344
statistics/handle,9231
store,693
store/copr,2875
store/driver,498
store/driver/backoff,44
store/driver/error,104
store/driver/options,16
store/driver/txn,2016
store/gcworker,3247
store/helper,1101
store/mockstore,374
store/mockstore/mockcopr,2444
store/mockstore/mockstorage,86
store/mockstore/unistore,870
store/mockstore/unistore/client,10
store/mockstore/unistore/config,125
store/mockstore/unistore/cophandler,3555
store/mockstore/unistore/lockstore,907
store/mockstore/unistore/metrics,95
store/mockstore/unistore/pd,612
store/mockstore/unistore/server,120
store/mockstore/unistore/tikv,6129
store/mockstore/unistore/tikv/dbreader,239
store/mockstore/unistore/tikv/mvcc,308
store/mockstore/unistore/tikv/pberror,10
store/mockstore/unistore/util/lockwaiter,301
structure,850
table,1184
table/tables,4392
tablecodec,1744
telemetry,1340
telemetry/cte_test,87
testkit,407
testkit/testdata,170
