Line num,31049
packages num,1,10
files num,3,5
Average Line num per featured file,197,593
,276
requester,702
vendor/golang.org/x/net/http/httpguts,263
vendor/golang.org/x/net/http2,7698
vendor/golang.org/x/net/http2/hpack,1049
vendor/golang.org/x/net/idna,0
vendor/golang.org/x/text/secure/bidirule,226
vendor/golang.org/x/text/transform,423
vendor/golang.org/x/text/unicode/bidi,4272
vendor/golang.org/x/text/unicode/norm,16140
Filename, #,Concurrent Type, Line number , Number
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rakyll++hey/requester/requester_test.go,30,Waitgroup,49,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rakyll++hey/requester/requester_test.go,24,Waitgroup Add(const),64,&{9192607 INT 1} val is : 1
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rakyll++hey/requester/requester_test.go,26,Waitgroup Done(),69,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rakyll++hey/requester/requester_test.go,1,Goroutine,71,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rakyll++hey/requester/requester_test.go,31,Waitgroup Wait(),72,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rakyll++hey/requester/report.go,22,chan used as a param,66,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rakyll++hey/requester/report.go,3,Send,113,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rakyll++hey/requester/requester.go,9,Unknown chan length,113,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rakyll++hey/requester/requester.go,9,Unknown chan length,114,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rakyll++hey/requester/requester.go,1,Goroutine,125,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rakyll++hey/requester/requester.go,3,Send,135,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rakyll++hey/requester/requester.go,2,Receive,143,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rakyll++hey/requester/requester.go,3,Send,195,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rakyll++hey/requester/requester.go,17,Select with default (number of branch),222,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rakyll++hey/requester/requester.go,2,Receive,223,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rakyll++hey/requester/requester.go,2,Receive,227,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rakyll++hey/requester/requester.go,30,Waitgroup,235,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rakyll++hey/requester/requester.go,25,Waitgroup Add(var),236,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rakyll++hey/requester/requester.go,5,Go in for,257,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rakyll++hey/requester/requester.go,1,Goroutine,257,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rakyll++hey/requester/requester.go,26,Waitgroup Done(),259,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/rakyll++hey/requester/requester.go,31,Waitgroup Wait(),262,
