Line num,414970
packages num,52,487
files num,59,667
Average Line num per featured file,249,14707
,217
cmd/agent,410
cmd/rancherd,37
cmd/rancherd/auth,357
pkg/agent/clean,0
pkg/agent/cluster,99
pkg/agent/node,85
pkg/agent/rancher,138
pkg/api/norman,39
pkg/api/norman/customization/aks,544
pkg/api/norman/customization/alert,299
pkg/api/norman/customization/app,238
pkg/api/norman/customization/authn,68
pkg/api/norman/customization/catalog,850
pkg/api/norman/customization/cluster,2388
pkg/api/norman/customization/clusterregistrationtokens,45
pkg/api/norman/customization/clusterscan,104
pkg/api/norman/customization/clustertemplate,229
pkg/api/norman/customization/cred,85
pkg/api/norman/customization/etcdbackup,19
pkg/api/norman/customization/feature,77
pkg/api/norman/customization/gke,426
pkg/api/norman/customization/globaldns,260
pkg/api/norman/customization/globalnamespaceaccess,508
pkg/api/norman/customization/globalrole,41
pkg/api/norman/customization/globalrolebinding,18
pkg/api/norman/customization/kontainerdriver,324
pkg/api/norman/customization/logging,373
pkg/api/norman/customization/monitor,1433
pkg/api/norman/customization/multiclusterapp,675
pkg/api/norman/customization/namespace,220
pkg/api/norman/customization/namespacedresource,32
pkg/api/norman/customization/node,367
pkg/api/norman/customization/nodepool,72
pkg/api/norman/customization/nodetemplate,83
pkg/api/norman/customization/oci,420
pkg/api/norman/customization/persistentvolumeclaim,38
pkg/api/norman/customization/pipeline,843
pkg/api/norman/customization/podsecuritypolicybinding,28
pkg/api/norman/customization/podsecuritypolicytemplate,133
pkg/api/norman/customization/project,645
pkg/api/norman/customization/roletemplate,123
pkg/api/norman/customization/roletemplatebinding,71
pkg/api/norman/customization/secret,50
pkg/api/norman/customization/setting,99
pkg/api/norman/customization/vsphere,558
pkg/api/norman/customization/workload,328
pkg/api/norman/customization/yaml,65
pkg/api/norman/server,40
pkg/api/norman/server/managementstored,779
pkg/api/norman/server/userstored,190
pkg/api/norman/store/apiservice,73
pkg/api/norman/store/app,154
pkg/api/norman/store/catalog,70
pkg/api/norman/store/cert,52
pkg/api/norman/store/cluster,1291
pkg/api/norman/store/clustertemplate,250
pkg/api/norman/store/crd,16
pkg/api/norman/store/feature,16
pkg/api/norman/store/globaldns,141
pkg/api/norman/store/globalrole,26
pkg/api/norman/store/globalrolebindings,49
pkg/api/norman/store/hpa,56
pkg/api/norman/store/ingress,227
pkg/api/norman/store/namespace,155
pkg/api/norman/store/nocondition,22
pkg/api/norman/store/node,173
pkg/api/norman/store/nodetemplate,200
pkg/api/norman/store/noopwatching,13
pkg/api/norman/store/password,381
pkg/api/norman/store/pod,175
pkg/api/norman/store/preference,31
pkg/api/norman/store/projectsetter,210
pkg/api/norman/store/roletemplate,114
pkg/api/norman/store/scoped,38
pkg/api/norman/store/secret,68
pkg/api/norman/store/service,99
pkg/api/norman/store/setting,93
pkg/api/norman/store/storageclass,104
pkg/api/norman/store/userscope,107
pkg/api/norman/store/workload,699
pkg/api/steve,90
pkg/api/steve/aggregation,216
pkg/api/steve/catalog,291
pkg/api/steve/catalog/types,63
pkg/api/steve/clusters,304
pkg/api/steve/disallow,51
pkg/api/steve/github,71
pkg/api/steve/health,19
pkg/api/steve/machine,290
pkg/api/steve/navlinks,84
pkg/api/steve/norman,112
pkg/api/steve/projects,127
pkg/api/steve/proxy,210
pkg/api/steve/settings,18
pkg/api/steve/userpreferences,177
pkg/apis/catalog.cattle.io,4
pkg/apis/catalog.cattle.io/v1,608
pkg/apis/cluster.cattle.io,4
pkg/apis/cluster.cattle.io/v3,203
pkg/apis/management.cattle.io,4
pkg/apis/management.cattle.io/v3,12254
pkg/apis/project.cattle.io,4
pkg/apis/project.cattle.io/v3,2914
pkg/apis/provisioning.cattle.io,4
pkg/apis/provisioning.cattle.io/v1,350
pkg/apis/rke.cattle.io,4
pkg/apis/rke.cattle.io/v1,1087
pkg/apis/rke.cattle.io/v1/plan,62
pkg/apis/ui.cattle.io,4
pkg/apis/ui.cattle.io/v1,159
pkg/app,131
pkg/auth,157
pkg/auth/api,61
pkg/auth/api/secrets,88
pkg/auth/api/user,322
pkg/auth/audit,501
pkg/auth/data,72
pkg/auth/principals,141
pkg/auth/providerrefresh,334
pkg/auth/providers,218
pkg/auth/providers/activedirectory,737
pkg/auth/providers/azure,685
pkg/auth/providers/common,858
pkg/auth/providers/common/ldap,304
pkg/auth/providers/github,812
pkg/auth/providers/googleoauth,822
pkg/auth/providers/keycloakoidc,343
pkg/auth/providers/ldap,885
pkg/auth/providers/local,374
pkg/auth/providers/oidc,518
pkg/auth/providers/publicapi,434
pkg/auth/providers/saml,980
pkg/auth/requests,384
pkg/auth/requests/sar,79
pkg/auth/settings,23
pkg/auth/tokens,1188
pkg/auth/util,49
pkg/auth/webhook,71
pkg/cacerts,59
pkg/catalog/manager,1514
pkg/catalog/utils,282
pkg/catalog/utils/version,139
pkg/catalogv2,16
pkg/catalogv2/chart,65
pkg/catalogv2/content,494
pkg/catalogv2/git,220
pkg/catalogv2/helm,548
pkg/catalogv2/helmop,763
pkg/catalogv2/http,188
pkg/catalogv2/system,388
pkg/cert,111
pkg/channelserver,100
pkg/client/generated/cluster/v3,1338
pkg/client/generated/management/v3,15751
pkg/client/generated/management/v3public,781
pkg/client/generated/project/v3,12294
pkg/cluster,67
pkg/clustermanager,563
pkg/clusterprovisioninglogger,70
pkg/clusterrouter,135
pkg/clusterrouter/proxy,249
pkg/codegen,205
pkg/codegen/generator,145
pkg/codegen/generator/cleanup,35
pkg/controllers/dashboard,60
pkg/controllers/dashboard/apiservice,207
pkg/controllers/dashboard/chart,11
pkg/controllers/dashboard/clusterindex,30
pkg/controllers/dashboard/clusterregistrationtoken,278
pkg/controllers/dashboard/fleetcharts,93
pkg/controllers/dashboard/helm,771
pkg/controllers/dashboard/hostedcluster,169
pkg/controllers/dashboard/kubernetesprovider,58
pkg/controllers/dashboard/mcmagent,14
pkg/controllers/dashboard/scaleavailable,89
pkg/controllers/dashboard/systemcharts,101
pkg/controllers/dashboardapi,13
pkg/controllers/dashboardapi/feature,85
pkg/controllers/dashboardapi/settings,123
pkg/controllers/management,91
pkg/controllers/management/agentupgrade,69
pkg/controllers/management/aks,364
pkg/controllers/management/auth,3349
pkg/controllers/management/authprovisioningv2,699
pkg/controllers/management/certsexpiration,74
pkg/controllers/management/cloudcredential,54
pkg/controllers/management/cluster,412
pkg/controllers/management/clusterconfigcopier,34
pkg/controllers/management/clusterconnected,106
pkg/controllers/management/clusterdeploy,520
pkg/controllers/management/clustergc,235
pkg/controllers/management/clusteroperator,182
pkg/controllers/management/clusterprovisioner,1193
pkg/controllers/management/clusterstats,205
pkg/controllers/management/clusterstatus,42
pkg/controllers/management/clustertemplate,182
pkg/controllers/management/clusterupstreamrefresher,433
pkg/controllers/management/drivers,432
pkg/controllers/management/drivers/kontainerdriver,386
pkg/controllers/management/drivers/nodedriver,570
pkg/controllers/management/eks,464
pkg/controllers/management/etcdbackup,456
pkg/controllers/management/feature,81
pkg/controllers/management/gke,383
pkg/controllers/management/k3sbasedupgrade,636
pkg/controllers/management/kontainerdrivermetadata,1205
pkg/controllers/management/node,1371
pkg/controllers/management/nodepool,736
pkg/controllers/management/nodetemplate,212
pkg/controllers/management/podsecuritypolicy,57
pkg/controllers/management/rbac,406
pkg/controllers/management/restrictedadminrbac,420
pkg/controllers/management/rkeworkerupgrader,855
pkg/controllers/management/test/e2e,512
pkg/controllers/management/usercontrollers,374
pkg/controllers/managementagent,58
pkg/controllers/managementagent/dnsrecord,243
pkg/controllers/managementagent/externalservice,119
pkg/controllers/managementagent/ingress,251
pkg/controllers/managementagent/nslabels,100
pkg/controllers/managementagent/servicemonitor,509
pkg/controllers/managementagent/targetworkloadservice,258
pkg/controllers/managementagent/workload,1014
pkg/controllers/managementapi,58
pkg/controllers/managementapi/catalog,125
pkg/controllers/managementapi/dynamicschema,76
pkg/controllers/managementapi/samlconfig,67
pkg/controllers/managementapi/usercontrollers,158
pkg/controllers/managementapi/whitelistproxy/kontainerdriver,26
pkg/controllers/managementapi/whitelistproxy/nodedriver,26
pkg/controllers/managementlegacy,18
pkg/controllers/managementlegacy/catalog,87
pkg/controllers/managementlegacy/cis,300
pkg/controllers/managementlegacy/compose,305
pkg/controllers/managementlegacy/compose/common,119
pkg/controllers/managementlegacy/globaldns,679
pkg/controllers/managementlegacy/multiclusterapp,1153
pkg/controllers/managementuser,77
pkg/controllers/managementuser/certsexpiration,392
pkg/controllers/managementuser/clusterauthtoken,439
pkg/controllers/managementuser/clusterauthtoken/common,174
pkg/controllers/managementuser/healthsyncer,132
pkg/controllers/managementuser/machinerole,51
pkg/controllers/managementuser/networkpolicy,1106
pkg/controllers/managementuser/nodesyncer,1390
pkg/controllers/managementuser/nsserviceaccount,61
pkg/controllers/managementuser/pspdelete,49
pkg/controllers/managementuser/rbac,2504
pkg/controllers/managementuser/rbac/podsecuritypolicy,809
pkg/controllers/managementuser/resourcequota,968
pkg/controllers/managementuser/secret,218
pkg/controllers/managementuser/settings,45
pkg/controllers/managementuser/snapshotbackpopulate,124
pkg/controllers/managementuser/windows,148
pkg/controllers/managementuserlegacy,35
pkg/controllers/managementuserlegacy/alert,780
pkg/controllers/managementuserlegacy/alert/common,42
pkg/controllers/managementuserlegacy/alert/config,807
pkg/controllers/managementuserlegacy/alert/configsyncer,1046
pkg/controllers/managementuserlegacy/alert/deployer,869
pkg/controllers/managementuserlegacy/alert/manager,459
pkg/controllers/managementuserlegacy/alert/statesyncer,123
pkg/controllers/managementuserlegacy/alert/watcher,1058
pkg/controllers/managementuserlegacy/approuter,418
pkg/controllers/managementuserlegacy/cis,916
pkg/controllers/managementuserlegacy/endpoints,712
pkg/controllers/managementuserlegacy/globaldns,306
pkg/controllers/managementuserlegacy/helm,795
pkg/controllers/managementuserlegacy/helm/common,489
pkg/controllers/managementuserlegacy/ingresshostgen,61
pkg/controllers/managementuserlegacy/istio,746
pkg/controllers/managementuserlegacy/logging,28
pkg/controllers/managementuserlegacy/logging/config,83
pkg/controllers/managementuserlegacy/logging/configsyncer,351
pkg/controllers/managementuserlegacy/logging/deployer,683
pkg/controllers/managementuserlegacy/logging/generator,1166
pkg/controllers/managementuserlegacy/logging/passwordgetter,144
pkg/controllers/managementuserlegacy/logging/utils,1023
pkg/controllers/managementuserlegacy/logging/watcher,122
pkg/controllers/managementuserlegacy/monitoring,7054
pkg/controllers/managementuserlegacy/pipeline,13
pkg/controllers/managementuserlegacy/pipeline/controller/pipeline,129
pkg/controllers/managementuserlegacy/pipeline/controller/pipelineexecution,1848
pkg/controllers/managementuserlegacy/pipeline/controller/project,159
pkg/controllers/managementuserlegacy/pipeline/upgrade,145
pkg/controllers/managementuserlegacy/systemimage,133
pkg/controllers/provisioningv2,70
pkg/controllers/provisioningv2/cluster,567
pkg/controllers/provisioningv2/fleetcluster,90
pkg/controllers/provisioningv2/fleetworkspace,127
pkg/controllers/provisioningv2/managedchart,155
pkg/controllers/provisioningv2/rke2/bootstrap,265
pkg/controllers/provisioningv2/rke2/dynamicschema,260
pkg/controllers/provisioningv2/rke2/machinedrain,125
pkg/controllers/provisioningv2/rke2/machinenodelookup,166
pkg/controllers/provisioningv2/rke2/machineorphan,43
pkg/controllers/provisioningv2/rke2/machineprovision,795
pkg/controllers/provisioningv2/rke2/machinestatus,274
pkg/controllers/provisioningv2/rke2/managesystemagent,309
pkg/controllers/provisioningv2/rke2/planner,62
pkg/controllers/provisioningv2/rke2/planstatus,43
pkg/controllers/provisioningv2/rke2/provisioningcluster,548
pkg/controllers/provisioningv2/rke2/rkecluster,63
pkg/controllers/provisioningv2/rke2/rkecontrolplane,40
pkg/controllers/provisioningv2/rke2/secret,113
pkg/controllers/provisioningv2/rke2/unmanaged,326
pkg/crds/dashboard,187
pkg/crds/management,36
pkg/crds/provisioningv2,175
pkg/cron,65
pkg/data/dashboard,405
pkg/data/management,2308
pkg/dialer,320
pkg/encryptedstore,136
pkg/features,335
pkg/generated/clientset/versioned,70
pkg/generated/clientset/versioned/fake,74
pkg/generated/clientset/versioned/scheme,23
pkg/generated/clientset/versioned/typed/provisioning.cattle.io/v1,203
pkg/generated/clientset/versioned/typed/provisioning.cattle.io/v1/fake,106
pkg/generated/clientset/versioned/typed/upgrade.cattle.io/v1,203
pkg/generated/clientset/versioned/typed/upgrade.cattle.io/v1/fake,106
pkg/generated/compose,117
