Line num,47400
packages num,19,47
files num,33,283
Average Line num per featured file,279,9234
,334
cmd/restic,9859
helpers/build-release-binaries,202
helpers/prepare-release,387
internal/archiver,5067
internal/backend,1670
internal/backend/azure,552
internal/backend/b2,479
internal/backend/dryrun,177
internal/backend/gs,475
internal/backend/local,528
internal/backend/location,517
internal/backend/mem,226
internal/backend/rclone,481
internal/backend/rest,808
internal/backend/s3,834
internal/backend/sftp,762
internal/backend/swift,503
internal/backend/test,974
internal/cache,911
internal/checker,984
internal/crypto,700
internal/debug,290
internal/dump,737
internal/errors,53
internal/filter,485
internal/fs,2062
internal/fuse,1176
internal/hashing,212
internal/limiter,329
internal/migrations,106
internal/mock,104
internal/options,462
internal/pack,445
internal/repository,3737
internal/restic,4788
internal/restorer,1751
internal/selfupdate,443
internal/test,231
internal/textfile,109
internal/ui,487
internal/ui/json,398
internal/ui/progress,166
internal/ui/signals,34
internal/ui/table,313
internal/ui/termstatus,470
internal/walker,582
Filename, #,Concurrent Type, Line number , Number
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/restic++restic/internal/backend/rclone/backend.go,30,Waitgroup,47,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/restic++restic/internal/backend/rclone/backend.go,24,Waitgroup Add(const),50,&{17585199 INT 1} val is : 1
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/restic++restic/internal/backend/rclone/backend.go,1,Goroutine,51,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/restic++restic/internal/backend/rclone/backend.go,26,Waitgroup Done(),52,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/restic++restic/internal/backend/rclone/backend.go,30,Waitgroup,160,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/restic++restic/internal/backend/rclone/backend.go,4,Synchronous chan,185,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/restic++restic/internal/backend/rclone/backend.go,24,Waitgroup Add(const),194,&{17587995 INT 1} val is : 1
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/restic++restic/internal/backend/rclone/backend.go,1,Goroutine,195,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/restic++restic/internal/backend/rclone/backend.go,26,Waitgroup Done(),196,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/restic++restic/internal/backend/rclone/backend.go,15,Close chan,203,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/restic++restic/internal/backend/rclone/backend.go,24,Waitgroup Add(const),209,&{17588337 INT 1} val is : 1
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/restic++restic/internal/backend/rclone/backend.go,1,Goroutine,210,
