Line num,3839
packages num,6,11
files num,8,16
Average Line num per featured file,348,2789
,10
src/cli,485
src/comm,201
src/compress,119
src/croc,1561
src/crypt,175
src/install,69
src/message,142
src/models,101
src/tcp,500
src/utils,476
Filename, #,Concurrent Type, Line number , Number
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/schollz++croc/src/models/constants.go,9,Unknown chan length,71,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/schollz++croc/src/models/constants.go,5,Go in for,73,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/schollz++croc/src/models/constants.go,1,Goroutine,73,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/schollz++croc/src/models/constants.go,3,Send,76,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/schollz++croc/src/models/constants.go,2,Receive,81,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/schollz++croc/src/tcp/tcp_test.go,1,Goroutine,15,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/schollz++croc/src/tcp/tcp_test.go,1,Goroutine,27,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/schollz++croc/src/tcp/tcp.go,1,Goroutine,62,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/schollz++croc/src/tcp/tcp.go,5,Go in for,101,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/schollz++croc/src/tcp/tcp.go,1,Goroutine,101,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/schollz++croc/src/tcp/tcp.go,30,Waitgroup,284,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/schollz++croc/src/tcp/tcp.go,24,Waitgroup Add(const),285,&{9863900 INT 1} val is : 1
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/schollz++croc/src/tcp/tcp.go,1,Goroutine,288,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/schollz++croc/src/tcp/tcp.go,26,Waitgroup Done(),291,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/schollz++croc/src/tcp/tcp.go,31,Waitgroup Wait(),305,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/schollz++croc/src/tcp/tcp.go,8,Known chan length (length),333,1
