Line num,12283
packages num,2,7
files num,5,35
Average Line num per featured file,1152,5761
,16
_codegen,258
assert,6369
http,38
mock,1834
require,3090
suite,678
Filename, #,Concurrent Type, Line number , Number
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/stretchr++testify/assert/forward_assertions_test.go,8,Known chan length (length),401,5
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/stretchr++testify/assert/forward_assertions_test.go,3,Send,402,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/stretchr++testify/assert/forward_assertions_test.go,3,Send,403,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/stretchr++testify/assert/forward_assertions_test.go,3,Send,404,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/stretchr++testify/assert/assertions_test.go,8,Known chan length (length),1120,1
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/stretchr++testify/assert/assertions_test.go,3,Send,1121,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/stretchr++testify/assert/assertions_test.go,8,Known chan length (length),1147,1
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/stretchr++testify/assert/assertions_test.go,3,Send,1148,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/stretchr++testify/assert/assertions_test.go,8,Known chan length (length),1190,1
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/stretchr++testify/assert/assertions_test.go,3,Send,1191,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/stretchr++testify/assert/assertions_test.go,8,Known chan length (length),1223,5
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/stretchr++testify/assert/assertions_test.go,3,Send,1224,
