Line num,574703
packages num,128,456
files num,357,1702
Average Line num per featured file,353,126331
,598
examples/are-you-alive/cmd/are-you-alive,263
examples/are-you-alive/pkg/client,260
examples/compose,85
examples/compose/vtcompose,803
examples/demo,228
examples/local,66
go/acl,163
go/bucketpool,251
go/bytes2,55
go/cache,473
go/cache/ristretto,2185
go/cache/ristretto/bloom,156
go/cmd,28
go/cmd/automation_client,100
go/cmd/automation_server,45
go/cmd/mysqlctl,219
go/cmd/mysqlctld,118
go/cmd/query_analyzer,109
go/cmd/rulesctl,11
go/cmd/rulesctl/cmd,308
go/cmd/rulesctl/common,33
go/cmd/topo2topo,114
go/cmd/vtaclcheck,73
go/cmd/vtadmin,130
go/cmd/vtbackup,499
go/cmd/vtbench,103
go/cmd/vtclient,457
go/cmd/vtcombo,260
go/cmd/vtctl,117
go/cmd/vtctlclient,51
go/cmd/vtctld,186
go/cmd/vtctldclient,28
go/cmd/vtctldclient/cli,201
go/cmd/vtctldclient/internal/command,1721
go/cmd/vtexplain,149
go/cmd/vtgate,255
go/cmd/vtgateclienttest,26
go/cmd/vtgateclienttest/services,410
go/cmd/vtgr,15
go/cmd/vtorc,121
go/cmd/vttablet,358
go/cmd/vttestserver,507
go/cmd/vttlstest,74
go/cmd/vtworker,143
go/cmd/vtworkerclient,41
go/cmd/zk,830
go/cmd/zkctl,61
go/cmd/zkctld,50
go/event,280
go/event/syslogger,282
go/exit,98
go/fileutil,35
go/flagutil,322
go/hack,52
go/history,124
go/ioutil2,57
go/json2,97
go/jsonutil,112
go/mathstats,544
go/mysql,17745
go/mysql/endtoend,1773
go/mysql/fakesqldb,443
go/mysql/ldapauthserver,235
go/netutil,438
go/pools,1344
go/protoutil,133
go/race,4
go/ratelimiter,82
go/sqlescape,40
go/sqltypes,4111
go/stats,2040
go/stats/opentsdb,615
go/stats/prometheusbackend,672
go/stats/statsd,633
go/streamlog,342
go/sync2,574
go/tb,83
go/test/endtoend/backup/mysqlctld,8
go/test/endtoend/backup/transform,259
go/test/endtoend/backup/transform/mysqlctld,14
go/test/endtoend/backup/vtbackup,291
go/test/endtoend/backup/vtctlbackup,469
go/test/endtoend/backup/xtrabackup,8
go/test/endtoend/backup/xtrabackupstream,8
go/test/endtoend/cellalias,317
go/test/endtoend/cluster,2815
go/test/endtoend/clustertest,377
go/test/endtoend/docker,278
go/test/endtoend/encryption,18
go/test/endtoend/encryption/encryptedreplication,127
go/test/endtoend/encryption/encryptedtransport,318
go/test/endtoend/keyspace,252
go/test/endtoend/messaging,523
go/test/endtoend/migration,229
go/test/endtoend/mysqlctl,124
go/test/endtoend/mysqlctld,119
go/test/endtoend/mysqlserver,258
go/test/endtoend/onlineddl,266
go/test/endtoend/onlineddl/declarative,501
go/test/endtoend/onlineddl/ghost,359
go/test/endtoend/onlineddl/revert,594
go/test/endtoend/onlineddl/singleton,321
go/test/endtoend/onlineddl/vrepl,506
go/test/endtoend/onlineddl/vrepl_stress,560
go/test/endtoend/onlineddl/vrepl_stress_suite,679
go/test/endtoend/onlineddl/vrepl_suite,285
go/test/endtoend/preparestmt,540
go/test/endtoend/recovery,60
go/test/endtoend/recovery/pitr,431
go/test/endtoend/recovery/pitrtls,334
go/test/endtoend/recovery/shardedrecovery,376
go/test/endtoend/recovery/unshardedrecovery,256
go/test/endtoend/recovery/xtrabackup,14
go/test/endtoend/reparent,715
go/test/endtoend/sharded,203
go/test/endtoend/sharding,386
go/test/endtoend/sharding/initialsharding,569
go/test/endtoend/sharding/initialsharding/bytes,16
go/test/endtoend/sharding/initialsharding/multi,26
go/test/endtoend/sharding/initialsharding/v3,16
go/test/endtoend/sharding/mergesharding,447
go/test/endtoend/sharding/mergesharding/int,8
go/test/endtoend/sharding/mergesharding/string,8
go/test/endtoend/sharding/resharding,949
go/test/endtoend/sharding/resharding/string,8
go/test/endtoend/sharding/resharding/v3,8
go/test/endtoend/sharding/verticalsplit,558
go/test/endtoend/stress,60
go/test/endtoend/tabletgateway,226
go/test/endtoend/tabletgateway/buffer,343
go/test/endtoend/tabletgateway/cellalias,285
go/test/endtoend/tabletmanager,842
go/test/endtoend/tabletmanager/primary,177
go/test/endtoend/tabletmanager/tablegc,267
go/test/endtoend/tabletmanager/throttler,190
go/test/endtoend/tabletmanager/throttler_custom_config,186
go/test/endtoend/topotest/consul,127
go/test/endtoend/topotest/etcd2,111
go/test/endtoend/topotest/zk2,112
go/test/endtoend/vault,340
go/test/endtoend/versionupgrade,136
go/test/endtoend/vreplication,2872
go/test/endtoend/vtcombo,187
go/test/endtoend/vtctldweb,529
go/test/endtoend/vtgate,1509
go/test/endtoend/vtgate/buffer,295
go/test/endtoend/vtgate/concurrentdml,326
go/test/endtoend/vtgate/createdb_plugin,144
go/test/endtoend/vtgate/errors_as_warnings,138
go/test/endtoend/vtgate/gen4,477
go/test/endtoend/vtgate/keyspace_watches,90
go/test/endtoend/vtgate/mysql80,117
go/test/endtoend/vtgate/prefixfanout,212
go/test/endtoend/vtgate/readafterwrite,139
go/test/endtoend/vtgate/reservedconn,770
go/test/endtoend/vtgate/reservedconn/reconnect1,102
go/test/endtoend/vtgate/reservedconn/reconnect2,93
go/test/endtoend/vtgate/schema,205
go/test/endtoend/vtgate/schematracker/loadkeyspace,97
go/test/endtoend/vtgate/schematracker/restarttablet,90
go/test/endtoend/vtgate/schematracker/sharded,260
go/test/endtoend/vtgate/schematracker/unsharded,120
go/test/endtoend/vtgate/sequence,253
go/test/endtoend/vtgate/transaction,176
go/test/endtoend/vtgate/transaction/rollback,113
go/test/endtoend/vtgate/unsharded,404
go/test/endtoend/vtgate/vindex_bindvars,189
go/test/endtoend/vtgate/vschema,110
go/test/endtoend/vtgr,291
go/test/endtoend/vtorc,939
go/test/endtoend/worker,406
go/test/fuzzing,194
go/test/stress,484
go/test/utils,59
go/testfiles,26
go/textutil,114
go/timer,308
go/tools/astfmtgen,183
go/tools/asthelpergen,997
go/tools/asthelpergen/integration,1808
go/tools/asthelpergen/main,33
go/tools/common,15
go/tools/release-notes,453
go/tools/sizegen,455
go/tools/sizegen/integration,293
go/trace,465
go/vt/automation,1437
go/vt/binlog,3128
go/vt/binlog/binlogplayer,1268
go/vt/binlog/binlogplayertest,188
go/vt/binlog/eventtoken,238
go/vt/binlog/grpcbinlogplayer,117
go/vt/binlog/grpcbinlogstreamer,37
go/vt/callerid,63
go/vt/callerid/testsuite,86
go/vt/callinfo,95
go/vt/callinfo/fakecallinfo,23
go/vt/concurrency,139
go/vt/dbconfigs,826
go/vt/dbconnpool,362
go/vt/discovery,6781
go/vt/dtids,100
go/vt/env,80
go/vt/events,57
go/vt/grpcclient,273
go/vt/grpccommon,22
go/vt/grpcoptionaltls,170
go/vt/hook,231
go/vt/key,1482
go/vt/log,28
go/vt/logutil,933
go/vt/logz,112
go/vt/mysqlctl,4728
go/vt/mysqlctl/azblobbackupstorage,300
go/vt/mysqlctl/backupstorage,35
go/vt/mysqlctl/cephbackupstorage,224
go/vt/mysqlctl/fakemysqldaemon,347
