Line num,17646
packages num,35,61
files num,72,175
Average Line num per featured file,114,5736
,90
adapter,227
adapter/inbound,137
adapter/outbound,1344
adapter/outboundgroup,709
adapter/provider,530
common/batch,155
common/cache,439
common/murmur3,146
common/net,38
common/observable,209
common/picker,90
common/pool,93
common/queue,52
common/singledo,110
common/sockopt,22
common/structure,431
component/auth,37
component/dhcp,86
component/dialer,360
component/fakeip,168
component/iface,89
component/mmdb,35
component/nat,28
component/pool,148
component/process,648
component/profile,7
component/profile/cachefile,79
component/resolver,148
component/trie,194
config,698
constant,332
constant/provider,80
context,89
dns,1017
hub,39
hub/executor,206
hub/route,645
listener,268
listener/auth,13
listener/http,249
listener/mixed,67
listener/redir,214
listener/socks,191
listener/tproxy,309
log,144
rule,375
test,1632
transport/gun,199
transport/simple-obfs,230
transport/snell,207
transport/socks4,154
transport/socks5,336
transport/ssr/obfs,0
transport/ssr/protocol,973
transport/ssr/tools,91
transport/trojan,175
transport/v2ray-plugin,183
transport/vmess,1091
tunnel,394
tunnel/statistic,196
Filename, #,Concurrent Type, Line number , Number
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/Dreamacro++clash/component/iface/iface.go,27,Mutex,21,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/Dreamacro++clash/component/iface/iface.go,30,Waitgroup,21,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/Dreamacro++clash/adapter/adapter.go,27,Mutex,122,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/Dreamacro++clash/adapter/adapter.go,27,Mutex,122,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/Dreamacro++clash/adapter/adapter.go,27,Mutex,122,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/Dreamacro++clash/adapter/adapter.go,27,Mutex,122,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/Dreamacro++clash/adapter/adapter.go,27,Mutex,122,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/Dreamacro++clash/adapter/adapter.go,27,Mutex,122,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/Dreamacro++clash/common/picker/picker_test.go,16,Select (number of branch),14,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/Dreamacro++clash/common/picker/picker_test.go,2,Receive,15,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/Dreamacro++clash/common/picker/picker_test.go,2,Receive,17,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/Dreamacro++clash/common/picker/picker_test.go,30,Waitgroup,24,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/Dreamacro++clash/common/picker/picker_test.go,27,Mutex,24,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/Dreamacro++clash/common/picker/picker_test.go,27,Mutex,24,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/Dreamacro++clash/common/picker/picker_test.go,30,Waitgroup,34,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/Dreamacro++clash/common/picker/picker_test.go,27,Mutex,34,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/Dreamacro++clash/common/picker/picker_test.go,27,Mutex,34,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/Dreamacro++clash/common/picker/picker.go,31,Waitgroup Wait(),47,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/Dreamacro++clash/common/picker/picker.go,24,Waitgroup Add(const),62,&{3579963 INT 1} val is : 1
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/Dreamacro++clash/common/picker/picker.go,1,Goroutine,64,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/Dreamacro++clash/common/picker/picker.go,26,Waitgroup Done(),65,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/Dreamacro++clash/dns/client.go,8,Known chan length (length),55,1
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/Dreamacro++clash/dns/client.go,1,Goroutine,56,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/Dreamacro++clash/dns/client.go,3,Send,68,
