Line num,4912
packages num,7,13
files num,14,50
Average Line num per featured file,99,1287
,1011
config,399
connector,650
connector/collector,447
connector/manager,182
container,245
cwidgets,74
cwidgets/compact,587
cwidgets/single,487
logging,174
models,46
widgets,406
widgets/menu,204
Filename, #,Concurrent Type, Line number , Number
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bcicen++ctop/logging/server.go,1,Goroutine,37,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bcicen++ctop/logging/server.go,5,Go in for,46,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bcicen++ctop/logging/server.go,1,Goroutine,46,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bcicen++ctop/logging/server.go,31,Waitgroup Wait(),54,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bcicen++ctop/logging/server.go,24,Waitgroup Add(const),61,&{7573237 INT 1} val is : 1
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bcicen++ctop/logging/server.go,26,Waitgroup Done(),62,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bcicen++ctop/logging/main.go,4,Synchronous chan,37,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bcicen++ctop/logging/main.go,1,Goroutine,38,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bcicen++ctop/logging/main.go,3,Send,40,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bcicen++ctop/logging/main.go,15,Close chan,42,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bcicen++ctop/logging/main.go,27,Mutex,82,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bcicen++ctop/logging/main.go,4,Synchronous chan,99,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bcicen++ctop/logging/main.go,1,Goroutine,102,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bcicen++ctop/logging/main.go,3,Send,104,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bcicen++ctop/logging/main.go,15,Close chan,112,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bcicen++ctop/container/main.go,22,chan used as a param,84,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bcicen++ctop/container/main.go,1,Goroutine,85,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bcicen++ctop/config/main.go,27,Mutex,15,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bcicen++ctop/cwidgets/single/logs.go,22,chan used as a param,52,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bcicen++ctop/cwidgets/single/logs.go,1,Goroutine,61,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bcicen++ctop/widgets/view.go,20,Receive only chan (<-chan),25,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bcicen++ctop/widgets/view.go,4,Synchronous chan,29,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bcicen++ctop/widgets/view.go,3,Send,53,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bcicen++ctop/widgets/view.go,3,Send,60,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bcicen++ctop/widgets/view.go,1,Goroutine,83,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bcicen++ctop/widgets/view.go,1,Goroutine,102,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bcicen++ctop/widgets/view.go,3,Send,105,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bcicen++ctop/widgets/input.go,4,Synchronous chan,62,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bcicen++ctop/widgets/input.go,3,Send,72,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bcicen++ctop/widgets/input.go,3,Send,82,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bcicen++ctop/connector/collector/mock_logs.go,4,Synchronous chan,16,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bcicen++ctop/connector/collector/mock_logs.go,1,Goroutine,17,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bcicen++ctop/connector/collector/mock_logs.go,17,Select with default (number of branch),19,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bcicen++ctop/connector/collector/mock_logs.go,2,Receive,20,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bcicen++ctop/connector/collector/mock_logs.go,3,Send,23,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bcicen++ctop/connector/collector/mock_logs.go,3,Send,31,
