Line num,68603
packages num,37,43
files num,98,222
Average Line num per featured file,177,7118
,80
caplets,197
core,218
firewall,390
js,349
log,21
modules,67
modules/any_proxy,156
modules/api_rest,858
modules/arp_spoof,273
modules/ble,863
modules/c2,320
modules/caplets,116
modules/dhcp6_spoof,312
modules/dns_spoof,342
modules/events_stream,1064
modules/gps,174
modules/hid,3101
modules/http_proxy,1426
modules/http_server,101
modules/https_proxy,154
modules/https_server,139
modules/mac_changer,101
modules/mdns_server,132
modules/mysql_server,148
modules/ndp_spoof,148
modules/net_probe,276
modules/net_recon,433
modules/net_sniff,1204
modules/packet_proxy,249
modules/syn_scan,560
modules/tcp_proxy,259
modules/ticker,81
modules/ui,159
modules/update,75
modules/utils,87
modules/wifi,1874
modules/wol,127
network,45408
packets,2874
routing,154
session,3318
tls,215
Filename, #,Concurrent Type, Line number , Number
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/modules/caplets/caplets.go,27,Mutex,24,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/modules/caplets/caplets.go,27,Mutex,24,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/firewall/firewall_darwin.go,27,Mutex,31,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/modules/mac_changer/mac_changer.go,27,Mutex,24,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/modules/mac_changer/mac_changer.go,27,Mutex,24,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/modules/net_probe/net_probe_mdns.go,22,chan used as a param,39,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/modules/net_probe/net_probe_mdns.go,27,Mutex,53,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/modules/net_probe/net_probe_mdns.go,24,Waitgroup Add(const),83,&{16623421 INT 1} val is : 1
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/modules/net_probe/net_probe_mdns.go,26,Waitgroup Done(),84,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/bettercap++bettercap/modules/net_probe/net_probe_mdns.go,4,Synchronous chan,88,
