Line num,34651
packages num,30,43
files num,89,237
Average Line num per featured file,234,5639
,51
bootstrap,210
middleware,1891
models,3964
models/scripts,180
pkg/aria2,876
pkg/aria2/rpc,930
pkg/auth,297
pkg/authn,27
pkg/cache,744
pkg/conf,270
pkg/crontab,72
pkg/email,193
pkg/filesystem,4297
pkg/filesystem/driver/cos,446
pkg/filesystem/driver/local,476
pkg/filesystem/driver/onedrive,2775
pkg/filesystem/driver/oss,909
pkg/filesystem/driver/qiniu,245
pkg/filesystem/driver/remote,690
pkg/filesystem/driver/s3,342
pkg/filesystem/driver/template,38
pkg/filesystem/driver/upyun,288
pkg/filesystem/fsctx,23
pkg/filesystem/response,23
pkg/hashid,102
pkg/recaptcha,150
pkg/request,556
pkg/serializer,970
pkg/task,1447
pkg/thumb,180
pkg/util,532
pkg/webdav,1818
pkg/webdav/internal/xml,3234
routers,633
routers/controllers,1775
service/admin,906
service/aria2,100
service/callback,263
service/explorer,932
service/setting,48
service/share,377
service/user,371
Filename, #,Concurrent Type, Line number , Number
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/cloudreve++Cloudreve/pkg/util/logger_test.go,27,Mutex,38,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/cloudreve++Cloudreve/pkg/util/logger_test.go,27,Mutex,52,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/cloudreve++Cloudreve/pkg/util/logger_test.go,27,Mutex,65,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/cloudreve++Cloudreve/pkg/util/logger_test.go,27,Mutex,79,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/cloudreve++Cloudreve/pkg/util/logger_test.go,27,Mutex,93,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/cloudreve++Cloudreve/pkg/util/logger.go,27,Mutex,21,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/cloudreve++Cloudreve/pkg/util/logger.go,29,Mutex Lock(),55,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/cloudreve++Cloudreve/pkg/util/logger.go,28,Mutex Unlock(),56,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/cloudreve++Cloudreve/pkg/util/logger.go,27,Mutex,135,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/cloudreve++Cloudreve/pkg/util/logger.go,27,Mutex,144,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/cloudreve++Cloudreve/pkg/conf/conf.go,27,Mutex,87,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/cloudreve++Cloudreve/pkg/conf/conf.go,27,Mutex,160,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/cloudreve++Cloudreve/pkg/conf/conf.go,27,Mutex,160,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/cloudreve++Cloudreve/pkg/auth/hmac_test.go,27,Mutex,25,
