Line num,8642
packages num,17,25
files num,36,58
Average Line num per featured file,175,4034
bridge,498
client,1082
cmd/npc,268
cmd/nps,197
gui/npc,176
lib/cache,73
lib/common,832
lib/config,375
lib/conn,483
lib/crypt,367
lib/daemon,138
lib/file,729
lib/goroutine,65
lib/install,333
lib/pmux,279
lib/rate,101
lib/sheap,15
lib/version,5
server,414
server/connection,75
server/proxy,1133
server/test,77
server/tool,86
web/controllers,817
web/routers,24
Filename, #,Concurrent Type, Line number , Number
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ehang-io++nps/server/tool/utils.go,1,Goroutine,24,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ehang-io++nps/lib/daemon/reload.go,8,Known chan length (length),16,1
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ehang-io++nps/lib/daemon/reload.go,1,Goroutine,18,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ehang-io++nps/lib/daemon/reload.go,2,Receive,20,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ehang-io++nps/lib/daemon/daemon.go,27,Mutex,54,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ehang-io++nps/lib/daemon/daemon.go,27,Mutex,70,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ehang-io++nps/lib/daemon/daemon.go,27,Mutex,91,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ehang-io++nps/lib/daemon/daemon.go,27,Mutex,107,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ehang-io++nps/lib/crypt/tls.go,27,Mutex,40,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ehang-io++nps/lib/crypt/tls.go,27,Mutex,45,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ehang-io++nps/bridge/bridge.go,1,Goroutine,72,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ehang-io++nps/bridge/bridge.go,27,Mutex,99,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ehang-io++nps/bridge/bridge.go,27,Mutex,99,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ehang-io++nps/bridge/bridge.go,27,Mutex,99,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ehang-io++nps/bridge/bridge.go,27,Mutex,99,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ehang-io++nps/bridge/bridge.go,27,Mutex,99,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ehang-io++nps/bridge/bridge.go,27,Mutex,115,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ehang-io++nps/bridge/bridge.go,27,Mutex,115,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ehang-io++nps/bridge/bridge.go,27,Mutex,115,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ehang-io++nps/bridge/bridge.go,27,Mutex,115,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ehang-io++nps/bridge/bridge.go,27,Mutex,115,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ehang-io++nps/bridge/bridge.go,27,Mutex,132,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ehang-io++nps/bridge/bridge.go,27,Mutex,132,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ehang-io++nps/bridge/bridge.go,27,Mutex,132,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ehang-io++nps/bridge/bridge.go,27,Mutex,132,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ehang-io++nps/bridge/bridge.go,27,Mutex,132,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ehang-io++nps/bridge/bridge.go,27,Mutex,143,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ehang-io++nps/bridge/bridge.go,27,Mutex,143,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ehang-io++nps/bridge/bridge.go,27,Mutex,143,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ehang-io++nps/bridge/bridge.go,27,Mutex,143,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ehang-io++nps/bridge/bridge.go,27,Mutex,143,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ehang-io++nps/bridge/bridge.go,27,Mutex,221,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ehang-io++nps/bridge/bridge.go,27,Mutex,221,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ehang-io++nps/bridge/bridge.go,3,Send,222,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ehang-io++nps/bridge/bridge.go,1,Goroutine,250,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ehang-io++nps/bridge/bridge.go,27,Mutex,253,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ehang-io++nps/bridge/bridge.go,27,Mutex,258,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ehang-io++nps/bridge/bridge.go,27,Mutex,258,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ehang-io++nps/bridge/bridge.go,1,Goroutine,264,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ehang-io++nps/bridge/bridge.go,1,Goroutine,266,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ehang-io++nps/bridge/bridge.go,3,Send,269,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ehang-io++nps/bridge/bridge.go,27,Mutex,274,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ehang-io++nps/bridge/bridge.go,27,Mutex,282,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ehang-io++nps/bridge/bridge.go,27,Mutex,282,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ehang-io++nps/bridge/bridge.go,27,Mutex,282,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ehang-io++nps/bridge/bridge.go,27,Mutex,282,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ehang-io++nps/bridge/bridge.go,27,Mutex,282,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ehang-io++nps/bridge/bridge.go,27,Mutex,332,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ehang-io++nps/bridge/bridge.go,16,Select (number of branch),365,1
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ehang-io++nps/bridge/bridge.go,2,Receive,366,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ehang-io++nps/bridge/bridge.go,27,Mutex,410,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ehang-io++nps/bridge/bridge.go,27,Mutex,410,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ehang-io++nps/bridge/bridge.go,27,Mutex,410,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ehang-io++nps/bridge/bridge.go,27,Mutex,410,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ehang-io++nps/bridge/bridge.go,27,Mutex,410,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ehang-io++nps/bridge/bridge.go,27,Mutex,417,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ehang-io++nps/bridge/bridge.go,27,Mutex,417,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ehang-io++nps/bridge/bridge.go,27,Mutex,417,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ehang-io++nps/bridge/bridge.go,27,Mutex,417,
