Line num,67511
packages num,11,28
files num,30,92
Average Line num per featured file,768,13841
cmd/esbuild,1385
internal/api_helpers,2
internal/ast,70
internal/bundler,17679
internal/cache,232
internal/cli_helpers,36
internal/compat,496
internal/config,1247
internal/css_ast,1085
internal/css_lexer,882
internal/css_parser,3563
internal/css_printer,885
internal/fs,1237
internal/graph,349
internal/helpers,226
internal/js_ast,1335
internal/js_lexer,5297
internal/js_parser,19584
internal/js_printer,3441
internal/logger,1292
internal/renamer,438
internal/resolver,2411
internal/runtime,220
internal/sourcemap,507
internal/test,99
internal/xxhash,243
pkg/api,2466
pkg/cli,804
Filename, #,Concurrent Type, Line number , Number
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/evanw++esbuild/internal/cache/cache_fs.go,29,Mutex Lock(),27,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/evanw++esbuild/internal/cache/cache_fs.go,28,Mutex Unlock(),28,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/evanw++esbuild/internal/cache/cache_fs.go,29,Mutex Lock(),44,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/evanw++esbuild/internal/cache/cache_fs.go,28,Mutex Unlock(),45,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/evanw++esbuild/internal/cache/cache.go,29,Mutex Lock(),82,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/evanw++esbuild/internal/cache/cache.go,28,Mutex Unlock(),83,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/evanw++esbuild/internal/cache/cache.go,29,Mutex Lock(),92,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/evanw++esbuild/internal/cache/cache.go,28,Mutex Unlock(),93,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/evanw++esbuild/internal/cache/cache_ast.go,29,Mutex Lock(),44,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/evanw++esbuild/internal/cache/cache_ast.go,28,Mutex Unlock(),45,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/evanw++esbuild/internal/cache/cache_ast.go,29,Mutex Lock(),74,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/evanw++esbuild/internal/cache/cache_ast.go,28,Mutex Unlock(),75,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/evanw++esbuild/internal/cache/cache_ast.go,29,Mutex Lock(),99,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/evanw++esbuild/internal/cache/cache_ast.go,28,Mutex Unlock(),100,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/evanw++esbuild/internal/cache/cache_ast.go,29,Mutex Lock(),130,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/evanw++esbuild/internal/cache/cache_ast.go,28,Mutex Unlock(),131,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/evanw++esbuild/internal/cache/cache_ast.go,29,Mutex Lock(),155,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/evanw++esbuild/internal/cache/cache_ast.go,28,Mutex Unlock(),156,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/evanw++esbuild/internal/cache/cache_ast.go,29,Mutex Lock(),186,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/evanw++esbuild/internal/cache/cache_ast.go,28,Mutex Unlock(),187,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/evanw++esbuild/internal/helpers/timer.go,29,Mutex Lock(),51,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/evanw++esbuild/internal/helpers/timer.go,28,Mutex Unlock(),52,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/evanw++esbuild/internal/renamer/renamer.go,30,Waitgroup,498,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/evanw++esbuild/internal/renamer/renamer.go,25,Waitgroup Add(var),499,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/evanw++esbuild/internal/renamer/renamer.go,5,Go in for,503,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/evanw++esbuild/internal/renamer/renamer.go,1,Goroutine,503,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/evanw++esbuild/internal/renamer/renamer.go,26,Waitgroup Done(),508,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/evanw++esbuild/internal/renamer/renamer.go,31,Waitgroup Wait(),512,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/evanw++esbuild/internal/logger/logger.go,27,Mutex,186,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/evanw++esbuild/internal/logger/logger.go,27,Mutex,393,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/evanw++esbuild/internal/logger/logger.go,29,Mutex Lock(),443,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/evanw++esbuild/internal/logger/logger.go,28,Mutex Unlock(),444,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/evanw++esbuild/internal/logger/logger.go,29,Mutex Lock(),506,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/evanw++esbuild/internal/logger/logger.go,28,Mutex Unlock(),507,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/evanw++esbuild/internal/logger/logger.go,29,Mutex Lock(),512,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/evanw++esbuild/internal/logger/logger.go,28,Mutex Unlock(),513,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/evanw++esbuild/internal/logger/logger.go,29,Mutex Lock(),519,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/evanw++esbuild/internal/logger/logger.go,28,Mutex Unlock(),520,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/evanw++esbuild/internal/logger/logger.go,27,Mutex,840,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/evanw++esbuild/internal/logger/logger.go,29,Mutex Lock(),850,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/evanw++esbuild/internal/logger/logger.go,28,Mutex Unlock(),851,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/evanw++esbuild/internal/logger/logger.go,29,Mutex Lock(),859,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/evanw++esbuild/internal/logger/logger.go,28,Mutex Unlock(),860,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/evanw++esbuild/internal/logger/logger.go,29,Mutex Lock(),868,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/evanw++esbuild/internal/logger/logger.go,28,Mutex Unlock(),869,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/evanw++esbuild/internal/config/config.go,27,Mutex,412,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/evanw++esbuild/internal/config/config.go,29,Mutex Lock(),424,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/evanw++esbuild/internal/config/config.go,28,Mutex Unlock(),425,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/evanw++esbuild/internal/config/config.go,29,Mutex Lock(),441,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/evanw++esbuild/internal/config/config.go,28,Mutex Unlock(),442,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/evanw++esbuild/internal/config/globals.go,27,Mutex,12,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/evanw++esbuild/internal/config/globals.go,29,Mutex Lock(),863,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/evanw++esbuild/internal/config/globals.go,28,Mutex Unlock(),865,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/evanw++esbuild/internal/config/globals.go,28,Mutex Unlock(),868,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/evanw++esbuild/internal/config/globals.go,29,Mutex Lock(),934,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/evanw++esbuild/internal/config/globals.go,28,Mutex Unlock(),935,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/evanw++esbuild/internal/resolver/resolver.go,27,Mutex,272,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/evanw++esbuild/internal/resolver/resolver.go,29,Mutex Lock(),345,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/evanw++esbuild/internal/resolver/resolver.go,28,Mutex Unlock(),346,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/evanw++esbuild/internal/resolver/resolver.go,27,Mutex,390,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/evanw++esbuild/internal/resolver/resolver.go,29,Mutex Lock(),395,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/evanw++esbuild/internal/resolver/resolver.go,28,Mutex Unlock(),396,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/evanw++esbuild/internal/resolver/resolver.go,27,Mutex,406,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/evanw++esbuild/internal/resolver/resolver.go,29,Mutex Lock(),412,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/evanw++esbuild/internal/resolver/resolver.go,28,Mutex Unlock(),413,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/evanw++esbuild/internal/resolver/resolver.go,27,Mutex,553,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/evanw++esbuild/internal/resolver/resolver.go,27,Mutex,983,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/evanw++esbuild/internal/resolver/resolver.go,27,Mutex,995,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/evanw++esbuild/internal/resolver/resolver.go,27,Mutex,1013,
