Line num,9469
packages num,5,7
files num,22,81
Average Line num per featured file,491,3928
,5439
binding,2732
ginS,87
internal/bytesconv,91
internal/json,28
render,846
testdata/protoexample,246
Filename, #,Concurrent Type, Line number , Number
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gin-gonic++gin/render/msgpack.go,27,Mutex,42,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gin-gonic++gin/render/msgpack.go,27,Mutex,42,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gin-gonic++gin/render/render_msgpack_test.go,27,Mutex,35,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gin-gonic++gin/render/render_msgpack_test.go,27,Mutex,35,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gin-gonic++gin/render/render_test.go,4,Synchronous chan,45,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gin-gonic++gin/render/render_test.go,4,Synchronous chan,67,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gin-gonic++gin/render/render_test.go,4,Synchronous chan,104,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gin-gonic++gin/render/render_test.go,4,Synchronous chan,156,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gin-gonic++gin/render/render_test.go,4,Synchronous chan,186,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gin-gonic++gin/render/render_test.go,27,Mutex,263,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gin-gonic++gin/render/render_test.go,27,Mutex,282,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gin-gonic++gin/render/render_test.go,27,Mutex,391,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gin-gonic++gin/render/render_test.go,27,Mutex,393,
