Line num,37196
packages num,24,161
files num,50,134
Average Line num per featured file,135,2576
,464
api/metadata,677
cmd/kratos,29
cmd/kratos/internal/base,292
cmd/kratos/internal/change,233
cmd/kratos/internal/project,108
cmd/kratos/internal/proto,20
cmd/kratos/internal/proto/add,134
cmd/kratos/internal/proto/client,116
cmd/kratos/internal/proto/server,215
cmd/kratos/internal/run,106
cmd/kratos/internal/upgrade,25
cmd/protoc-gen-go-errors,155
cmd/protoc-gen-go-errors/errors,194
cmd/protoc-gen-go-http,353
config,1095
config/env,483
config/file,420
container/group,128
contrib/config/apollo,137
contrib/config/etcd,161
contrib/config/kubernetes,260
contrib/config/nacos,137
contrib/log/fluent,244
contrib/log/zap,54
contrib/metrics/datadog,152
contrib/metrics/prometheus,105
contrib/registry/consul,375
contrib/registry/etcd,382
contrib/registry/kubernetes,294
contrib/registry/nacos,215
contrib/registry/zookeeper,280
encoding,92
encoding/form,579
encoding/json,139
encoding/proto,45
encoding/xml,127
encoding/yaml,120
errors,427
examples/auth/jwt,62
examples/benchmark,176
examples/blog,1
examples/blog/api/blog/v1,1706
examples/blog/cmd/blog,120
examples/blog/internal/biz,63
examples/blog/internal/conf,660
examples/blog/internal/data,164
examples/blog/internal/data/ent,7414
examples/blog/internal/data/ent/article,478
examples/blog/internal/data/ent/comment,456
examples/blog/internal/data/ent/enttest,57
examples/blog/internal/data/ent/hook,156
examples/blog/internal/data/ent/migrate,126
examples/blog/internal/data/ent/predicate,7
examples/blog/internal/data/ent/runtime,5
examples/blog/internal/data/ent/schema,97
examples/blog/internal/data/ent/tag,450
examples/blog/internal/server,73
examples/blog/internal/service,70
examples/config,43
examples/config/apollo,51
examples/errors/api,129
examples/errors/client,58
examples/errors/server,49
examples/event/event,15
examples/event/kafka,99
examples/event/memory,98
examples/event/receiver,31
examples/event/sender,25
examples/header/client,49
examples/header/server,45
examples/helloworld/client,66
examples/helloworld/helloworld,314
examples/helloworld/server,54
examples/http/cors,31
examples/http/echo,24
examples/http/errors,56
examples/http/gin,46
examples/http/middlewares,136
examples/http/mux,26
examples/http/static,25
examples/http/upload,40
examples/i18n,1
examples/i18n/api/helloworld/v1,585
examples/i18n/cmd/i18n,103
examples/i18n/internal/biz,28
examples/i18n/internal/conf,563
examples/i18n/internal/data,37
examples/i18n/internal/pkg/middleware/localize,29
examples/i18n/internal/server,79
examples/i18n/internal/service,42
examples/log,210
examples/metadata/client,56
examples/metadata/server,51
examples/metrics,73
examples/middleware,62
examples/registry,111
examples/registry/consul/client,61
examples/registry/consul/server,58
examples/registry/etcd/client,61
examples/registry/etcd/server,54
examples/registry/nacos/client,50
examples/registry/nacos/server,72
examples/registry/zookeeper/client,56
examples/registry/zookeeper/server,50
examples/stream/client,90
examples/stream/hello,618
examples/stream/server,27
examples/stream/service,52
examples/swagger/helloworld,343
examples/swagger/reply,120
examples/swagger/server,46
examples/tls,121
examples/tls/client,58
examples/tls/server,48
examples/traces/api/message,384
examples/traces/api/user,374
examples/traces/app/message,82
examples/traces/app/user,101
examples/validate,44
examples/validate/api,814
examples/ws,23
examples/ws/client,62
examples/ws/handler,28
internal/complex,203
internal/context,300
internal/endpoint,140
internal/host,183
internal/httputil,68
internal/testdata/binding,181
internal/testdata/encoding,149
log,500
metadata,350
metrics,16
middleware,60
middleware/auth/jwt,428
middleware/circuitbreaker,47
middleware/logging,177
middleware/metadata,198
middleware/metrics,106
middleware/ratelimit,37
middleware/recovery,82
middleware/selector,254
middleware/tracing,463
middleware/validate,57
registry,21
selector,99
selector/filter,16
selector/node,44
selector/node/direct,36
selector/node/ewma,149
selector/p2c,56
selector/random,27
transport,53
transport/grpc,631
transport/grpc/balancer,82
transport/grpc/resolver/direct,66
transport/grpc/resolver/discovery,329
transport/http,1907
transport/http/binding,176
transport/http/status,155
Filename, #,Concurrent Type, Line number , Number
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-kratos++kratos/selector/node/ewma/node.go,27,Mutex,56,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/go-kratos++kratos/middleware/logging/logging.go,27,Mutex,30,
