Line num,100610
packages num,107,146
files num,367,633
Average Line num per featured file,294,12949
,311
.git/refs/remotes/origin/dependabot/go_modules,0
bufferpool,30
cache/filecache,964
cache/namedmemcache,94
codegen,445
commands,2609
common/collections,274
common/constants,7
common/herrors,486
common/hexec,20
common/hreflect,103
common/htime,186
common/hugio,138
common/hugo,372
common/loggers,306
common/maps,898
common/math,204
common/para,107
common/paths,614
common/terminal,39
common/text,116
common/types,290
common/urls,5
compare,124
config,1006
config/privacy,123
config/services,88
create,558
deploy,1750
deps,287
docshelper,28
helpers,2860
htesting,125
htesting/hqt,93
hugofs,2876
hugofs/files,194
hugofs/glob,133
hugolib,20406
hugolib/filesystems,886
hugolib/paths,301
identity,173
langs,368
langs/i18n,726
lazy,337
livereload,178
markup,116
markup/asciidocext,651
markup/asciidocext/asciidocext_config,55
markup/blackfriday,399
markup/blackfriday/blackfriday_config,43
markup/converter,82
markup/converter/hooks,89
markup/goldmark,1352
markup/goldmark/goldmark_config,56
markup/goldmark/internal/extensions/attributes,96
markup/highlight,395
markup/internal,47
markup/markup_config,144
markup/mmark,174
markup/org,70
markup/pandoc,73
markup/rst,98
markup/tableofcontents,243
media,560
metrics,243
minifiers,378
modules,1775
modules/npm,241
navigation,503
output,1761
parser,160
parser/metadecoders,555
parser/pageparser,1516
publisher,610
related,552
releaser,956
resources,3462
resources/images,1185
resources/images/exif,306
resources/images/webp,26
resources/internal,33
resources/jsconfig,73
resources/page,2865
resources/page/page_generate,176
resources/page/pagemeta,618
resources/postpub,196
resources/resource,302
resources/resource_factories/bundler,125
resources/resource_factories/create,88
resources/resource_transformers/babel,163
resources/resource_transformers/htesting,53
resources/resource_transformers/integrity,124
resources/resource_transformers/js,566
resources/resource_transformers/minifier,57
resources/resource_transformers/postcss,399
resources/resource_transformers/templates,48
resources/resource_transformers/tocss/dartsass,229
resources/resource_transformers/tocss/scss,230
scripts/fork_go_templates,183
source,512
tpl,141
tpl/cast,217
tpl/collections,4169
tpl/compare,691
tpl/crypto,236
tpl/data,733
tpl/debug,63
tpl/encoding,194
tpl/fmt,123
tpl/hugo,46
tpl/images,198
tpl/inflect,144
tpl/internal,219
tpl/internal/go_templates/cfg,55
tpl/internal/go_templates/fmtsort,411
tpl/internal/go_templates/htmltemplate,8184
tpl/internal/go_templates/testenv,251
tpl/internal/go_templates/texttemplate,4046
tpl/internal/go_templates/texttemplate/parse,2961
tpl/internal/resourcehelpers,43
tpl/js,57
tpl/lang,341
tpl/math,597
tpl/openapi/openapi3,84
tpl/os,247
tpl/partials,238
tpl/path,274
tpl/reflect,103
tpl/resources,292
tpl/safe,263
tpl/site,49
tpl/strings,1537
tpl/templates,64
tpl/time,298
tpl/tplimpl,1744
tpl/tplimpl/embedded,656
tpl/tplimpl/embedded/generate,51
tpl/transform,854
tpl/urls,253
transform,111
transform/livereloadinject,94
transform/metainject,76
transform/urlreplacers,379
watcher,57
watcher/filenotify,516
Filename, #,Concurrent Type, Line number , Number
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/internal/go_templates/fmtsort/sort_test.go,12,Constant array of chans (length),191,3
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/append_test.go,27,Mutex,27,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/append_test.go,27,Mutex,29,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/append_test.go,27,Mutex,29,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/append_test.go,27,Mutex,29,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/symdiff_test.go,27,Mutex,28,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/symdiff_test.go,27,Mutex,30,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/symdiff_test.go,27,Mutex,30,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/symdiff_test.go,27,Mutex,30,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/init.go,27,Mutex,25,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/init.go,27,Mutex,25,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/init.go,27,Mutex,25,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/apply_test.go,27,Mutex,64,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/apply_test.go,27,Mutex,65,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/apply_test.go,27,Mutex,65,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/apply_test.go,27,Mutex,65,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/apply_test.go,27,Mutex,67,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/apply_test.go,27,Mutex,67,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/apply_test.go,27,Mutex,67,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/init_test.go,27,Mutex,27,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/sort_test.go,27,Mutex,31,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/sort_test.go,27,Mutex,31,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/sort_test.go,27,Mutex,31,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/index_test.go,27,Mutex,28,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/index_test.go,27,Mutex,29,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/index_test.go,27,Mutex,29,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/index_test.go,27,Mutex,29,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/complement_test.go,27,Mutex,35,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/complement_test.go,27,Mutex,37,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/complement_test.go,27,Mutex,37,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/complement_test.go,27,Mutex,37,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/where_test.go,27,Mutex,32,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/where_test.go,27,Mutex,32,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/where_test.go,27,Mutex,32,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/where_test.go,27,Mutex,686,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/where_test.go,27,Mutex,686,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/where_test.go,27,Mutex,686,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/merge_test.go,27,Mutex,30,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/merge_test.go,27,Mutex,30,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/merge_test.go,27,Mutex,30,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/merge_test.go,27,Mutex,147,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/merge_test.go,27,Mutex,163,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/merge_test.go,27,Mutex,164,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/merge_test.go,27,Mutex,164,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/merge_test.go,27,Mutex,164,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/merge_test.go,27,Mutex,216,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/collections_test.go,27,Mutex,42,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/collections_test.go,27,Mutex,44,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/collections_test.go,27,Mutex,44,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/collections_test.go,27,Mutex,44,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/collections_test.go,27,Mutex,100,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/collections_test.go,27,Mutex,101,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/collections_test.go,27,Mutex,101,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/collections_test.go,27,Mutex,101,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/collections_test.go,27,Mutex,135,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/collections_test.go,27,Mutex,137,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/collections_test.go,27,Mutex,137,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/collections_test.go,27,Mutex,137,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/collections_test.go,27,Mutex,187,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/collections_test.go,27,Mutex,189,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/collections_test.go,27,Mutex,189,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/collections_test.go,27,Mutex,189,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/collections_test.go,27,Mutex,227,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/collections_test.go,27,Mutex,228,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/collections_test.go,27,Mutex,228,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/collections_test.go,27,Mutex,228,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/collections_test.go,27,Mutex,245,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/collections_test.go,27,Mutex,247,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/collections_test.go,27,Mutex,247,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/collections_test.go,27,Mutex,247,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/collections_test.go,27,Mutex,277,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/collections_test.go,27,Mutex,279,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/collections_test.go,27,Mutex,279,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/collections_test.go,27,Mutex,279,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/collections_test.go,27,Mutex,315,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/collections_test.go,27,Mutex,317,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/collections_test.go,27,Mutex,317,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/collections_test.go,27,Mutex,317,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/collections_test.go,27,Mutex,391,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/collections_test.go,27,Mutex,393,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/collections_test.go,27,Mutex,393,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/collections_test.go,27,Mutex,393,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/collections_test.go,27,Mutex,482,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/collections_test.go,27,Mutex,483,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/collections_test.go,27,Mutex,483,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/collections_test.go,27,Mutex,483,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/collections_test.go,27,Mutex,518,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/collections_test.go,27,Mutex,520,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/collections_test.go,27,Mutex,520,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/collections_test.go,27,Mutex,520,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/collections_test.go,27,Mutex,558,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/collections_test.go,27,Mutex,559,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/collections_test.go,27,Mutex,559,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/collections_test.go,27,Mutex,559,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/collections_test.go,27,Mutex,593,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/collections_test.go,27,Mutex,593,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/collections_test.go,27,Mutex,593,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/collections_test.go,27,Mutex,606,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/collections_test.go,27,Mutex,606,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/collections_test.go,27,Mutex,606,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/collections_test.go,27,Mutex,620,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/collections_test.go,27,Mutex,621,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/collections_test.go,27,Mutex,621,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/collections_test.go,27,Mutex,621,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/collections_test.go,27,Mutex,664,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/collections_test.go,27,Mutex,665,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/collections_test.go,27,Mutex,665,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/collections_test.go,27,Mutex,665,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/collections_test.go,27,Mutex,704,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/collections_test.go,27,Mutex,705,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/collections_test.go,27,Mutex,705,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/collections_test.go,27,Mutex,705,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/collections_test.go,27,Mutex,735,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/collections_test.go,27,Mutex,736,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/collections_test.go,27,Mutex,736,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/gohugoio++hugo/tpl/collections/collections_test.go,27,Mutex,736,
