Line num,2051
packages num,2,6
files num,6,16
Average Line num per featured file,142,713
,1442
consistenthash,113
groupcachepb,49
lru,158
singleflight,96
testpb,193
Filename, #,Concurrent Type, Line number , Number
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/http_test.go,30,Waitgroup,58,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/http_test.go,5,Go in for,71,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/http_test.go,7,Goroutine in for with constant (constant),71,4
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/http_test.go,27,Mutex,60,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/http_test.go,24,Waitgroup Add(const),67,&{7777938 INT 1} val is : 1
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/http_test.go,1,Goroutine,71,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/http_test.go,31,Waitgroup Wait(),80,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/http_test.go,27,Mutex,83,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/http_test.go,27,Mutex,92,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/http_test.go,27,Mutex,92,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/http_test.go,27,Mutex,92,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/http_test.go,27,Mutex,117,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/http_test.go,26,Waitgroup Done(),151,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/golang++groupcache/groupcache.go,27,Mutex,59,
