Line num,1954781
packages num,51,1463
files num,197,535
Average Line num per featured file,255,33471
,0
clients/cmd/docker-driver,887
clients/cmd/fluent-bit,1320
clients/cmd/promtail,96
clients/pkg/logentry/logql,790
clients/pkg/logentry/metric,501
clients/pkg/logentry/stages,7189
clients/pkg/promtail,677
clients/pkg/promtail/api,65
clients/pkg/promtail/client,1367
clients/pkg/promtail/client/fake,47
clients/pkg/promtail/config,65
clients/pkg/promtail/discovery/consulagent,839
clients/pkg/promtail/positions,345
clients/pkg/promtail/scrapeconfig,288
clients/pkg/promtail/server,315
clients/pkg/promtail/server/ui,752
clients/pkg/promtail/targets,216
clients/pkg/promtail/targets/file,0
clients/pkg/promtail/targets/gcplog,625
clients/pkg/promtail/targets/journal,617
clients/pkg/promtail/targets/lokipush,407
clients/pkg/promtail/targets/stdin,289
clients/pkg/promtail/targets/syslog,558
clients/pkg/promtail/targets/syslog/syslogparser,87
clients/pkg/promtail/targets/target,49
clients/pkg/promtail/targets/testutils,16
clients/pkg/promtail/targets/windows,593
clients/pkg/promtail/targets/windows/win_eventlog,1006
cmd/chunks-inspect,458
cmd/logcli,261
cmd/loki,102
cmd/loki-canary,116
cmd/migrate,447
cmd/querytee,218
pkg/canary/comparator,779
pkg/canary/reader,390
pkg/canary/writer,79
pkg/chunkenc,3793
pkg/chunkenc/testdata,1016
pkg/distributor,1203
pkg/ingester,8750
pkg/ingester/client,85
pkg/ingester/index,488
pkg/iter,2133
pkg/logcli/client,286
pkg/logcli/labelquery,33
pkg/logcli/output,472
pkg/logcli/query,947
pkg/logcli/seriesquery,70
pkg/loghttp,1439
pkg/loghttp/legacy,32
pkg/loghttp/push,208
pkg/logproto,8506
pkg/logql,13181
pkg/logql/log,4934
pkg/logql/log/jsonexpr,699
pkg/logql/log/logfmt,288
pkg/logql/log/pattern,1039
pkg/logqlmodel,100
pkg/logqlmodel/stats,2530
pkg/loki,1578
pkg/lokifrontend,23
pkg/querier,2455
pkg/querier/queryrange,9974
pkg/ruler,1773
pkg/runtime,41
pkg/storage,4597
pkg/storage/chunk,7955
pkg/storage/chunk/aws,3078
pkg/storage/chunk/azure,214
pkg/storage/chunk/cache,2222
pkg/storage/chunk/cassandra,831
pkg/storage/chunk/encoding,2383
pkg/storage/chunk/gcp,882
pkg/storage/chunk/grpc,6786
pkg/storage/chunk/local,922
pkg/storage/chunk/objectclient,91
pkg/storage/chunk/openstack,116
pkg/storage/chunk/purger,3483
pkg/storage/chunk/storage,2444
pkg/storage/chunk/testutils,122
pkg/storage/chunk/util,196
pkg/storage/hack,136
pkg/storage/stores/shipper,559
pkg/storage/stores/shipper/compactor,990
pkg/storage/stores/shipper/compactor/deletion,1420
pkg/storage/stores/shipper/compactor/retention,3000
pkg/storage/stores/shipper/downloads,1199
pkg/storage/stores/shipper/indexgateway,170
pkg/storage/stores/shipper/indexgateway/indexgatewaypb,1484
pkg/storage/stores/shipper/storage,135
pkg/storage/stores/shipper/testutil,155
pkg/storage/stores/shipper/uploads,1116
pkg/storage/stores/shipper/util,533
pkg/tracing,10
pkg/util,856
pkg/util/build,21
pkg/util/cfg,427
pkg/util/flagext,244
pkg/util/marshal,764
pkg/util/marshal/legacy,230
pkg/util/pool,70
pkg/util/server,284
pkg/util/unmarshal,169
pkg/util/unmarshal/legacy,66
pkg/validation,486
tools/lambda-promtail/lambda-promtail,83
vendor,0
vendor/cloud.google.com/go,8
vendor/cloud.google.com/go/bigtable,2201
vendor/cloud.google.com/go/bigtable/bttest,1300
vendor/cloud.google.com/go/bigtable/internal/option,62
vendor/cloud.google.com/go/compute/metadata,301
vendor/cloud.google.com/go/iam,257
vendor/cloud.google.com/go/internal,53
vendor/cloud.google.com/go/internal/optional,59
vendor/cloud.google.com/go/internal/testutil,369
vendor/cloud.google.com/go/internal/trace,79
vendor/cloud.google.com/go/internal/version,41
vendor/cloud.google.com/go/longrunning,99
vendor/cloud.google.com/go/longrunning/autogen,382
vendor/cloud.google.com/go/pubsub,1881
vendor/cloud.google.com/go/pubsub/apiv1,1120
vendor/cloud.google.com/go/pubsub/internal/distribution,41
vendor/cloud.google.com/go/pubsub/pstest,812
vendor/cloud.google.com/go/storage,3497
vendor/github.com/Azure/azure-pipeline-go/pipeline,584
vendor/github.com/Azure/azure-sdk-for-go/services/compute/mgmt/2018-10-01/compute,17323
vendor/github.com/Azure/azure-sdk-for-go/services/network/mgmt/2018-10-01/network,45190
vendor/github.com/Azure/azure-sdk-for-go/version,2
vendor/github.com/Azure/azure-storage-blob-go/azblob,10861
vendor/github.com/Azure/go-ansiterm,734
vendor/github.com/Azure/go-ansiterm/winterm,1265
vendor/github.com/Azure/go-autorest,1
vendor/github.com/Azure/go-autorest/autorest,1990
vendor/github.com/Azure/go-autorest/autorest/adal,1567
vendor/github.com/Azure/go-autorest/autorest/azure,1560
vendor/github.com/Azure/go-autorest/autorest/azure/auth,583
vendor/github.com/Azure/go-autorest/autorest/azure/cli,172
vendor/github.com/Azure/go-autorest/autorest/date,242
vendor/github.com/Azure/go-autorest/autorest/to,96
vendor/github.com/Azure/go-autorest/autorest/validation,364
vendor/github.com/Azure/go-autorest/logger,233
vendor/github.com/Azure/go-autorest/tracing,38
vendor/github.com/Masterminds/goutils,501
vendor/github.com/Masterminds/semver/v3,799
