Line num,38524
packages num,18,51
files num,45,243
Average Line num per featured file,305,5200
,0
cmd/helm,7905
cmd/helm/require,133
cmd/helm/search,401
internal/experimental/action,74
internal/experimental/pusher,181
internal/experimental/registry,699
internal/experimental/uploader,30
internal/fileutil,64
internal/ignore,232
internal/monocular,152
internal/resolver,451
internal/sympath,196
internal/test,67
internal/test/ensure,38
internal/third_party/dep/fs,756
internal/third_party/k8s.io/kubernetes/deployment/util,103
internal/tlsutil,158
internal/urlutil,101
internal/version,39
pkg/action,4905
pkg/chart,525
pkg/chart/loader,973
pkg/chartutil,3137
pkg/cli,231
pkg/cli/output,86
pkg/cli/values,136
pkg/downloader,1483
pkg/engine,1386
pkg/gates,47
pkg/getter,822
pkg/helmpath,277
pkg/helmpath/xdg,6
pkg/kube,1989
pkg/kube/fake,140
pkg/lint,122
pkg/lint/rules,1330
pkg/lint/support,89
pkg/plugin,491
pkg/plugin/cache,39
pkg/plugin/installer,905
pkg/postrender,134
pkg/provenance,475
pkg/release,184
pkg/releaseutil,1019
pkg/repo,1453
pkg/repo/repotest,386
pkg/storage,488
pkg/storage/driver,2441
pkg/strvals,935
pkg/time,110
Filename, #,Concurrent Type, Line number , Number
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/helm++helm/pkg/cli/environment_test.go,27,Mutex,92,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/helm++helm/pkg/cli/environment.go,27,Mutex,74,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/helm++helm/pkg/storage/driver/sql_test.go,27,Mutex,29,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/helm++helm/pkg/storage/driver/sql_test.go,27,Mutex,29,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/helm++helm/pkg/storage/driver/sql_test.go,27,Mutex,44,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/helm++helm/pkg/storage/driver/sql_test.go,27,Mutex,44,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/helm++helm/pkg/storage/driver/sql_test.go,27,Mutex,87,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/helm++helm/pkg/storage/driver/sql_test.go,27,Mutex,87,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/helm++helm/pkg/storage/driver/sql_test.go,27,Mutex,162,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/helm++helm/pkg/storage/driver/sql_test.go,27,Mutex,162,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/helm++helm/pkg/storage/driver/sql_test.go,27,Mutex,202,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/helm++helm/pkg/storage/driver/sql_test.go,27,Mutex,202,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/helm++helm/pkg/storage/driver/sql_test.go,27,Mutex,263,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/helm++helm/pkg/storage/driver/sql_test.go,27,Mutex,263,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/helm++helm/pkg/storage/driver/sql_test.go,27,Mutex,316,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/helm++helm/pkg/storage/driver/sql_test.go,27,Mutex,316,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/helm++helm/pkg/storage/driver/sql_test.go,27,Mutex,417,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/helm++helm/pkg/storage/driver/sql_test.go,27,Mutex,417,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/helm++helm/pkg/storage/driver/sql.go,27,Mutex,185,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/helm++helm/pkg/storage/driver/sql.go,27,Mutex,185,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/helm++helm/pkg/storage/driver/sql.go,27,Mutex,190,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/helm++helm/pkg/storage/driver/sql.go,27,Mutex,190,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/helm++helm/pkg/storage/driver/sql.go,27,Mutex,348,
