Line num,2682
packages num,0,16
files num,0,5
Average Line num per featured file,0,0
go/benchmark,44
go/concurrency,704
go/design,858
go/language,651
go/language/exporting/exporting_1,9
go/language/exporting/exporting_1/counters,3
go/language/exporting/exporting_2,9
go/language/exporting/exporting_2/counters,5
go/language/exporting/exporting_3,13
go/language/exporting/exporting_3/users,6
go/language/exporting/exporting_4,13
go/language/exporting/exporting_4/users,9
go/profiling,30
go/testing,226
go/testing/web_server,11
go/testing/web_server/handlers,91
Filename, #,Concurrent Type, Line number , Number
