Line num,7761
packages num,2,8
files num,7,24
Average Line num per featured file,209,1048
app,1555
pkg/metadata,600
pkg/plugins,3623
pkg/update,401
pkg/update/updatetest,23
tools/sitegen,1421
tools/xbarmdcheck,33
xbarapp.com,105
Filename, #,Concurrent Type, Line number , Number
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/matryer++xbar/pkg/plugins/action.go,27,Mutex,90,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/matryer++xbar/pkg/plugins/action.go,27,Mutex,96,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/matryer++xbar/pkg/plugins/action.go,27,Mutex,102,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/matryer++xbar/pkg/plugins/action.go,27,Mutex,128,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/matryer++xbar/pkg/plugins/variables.go,30,Waitgroup,70,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/matryer++xbar/pkg/plugins/variables.go,24,Waitgroup Add(const),73,&{8197219 INT 1} val is : 1
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/matryer++xbar/pkg/plugins/variables.go,1,Goroutine,74,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/matryer++xbar/pkg/plugins/variables.go,26,Waitgroup Done(),76,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/matryer++xbar/pkg/plugins/variables.go,24,Waitgroup Add(const),78,&{8197328 INT 1} val is : 1
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/matryer++xbar/pkg/plugins/variables.go,1,Goroutine,79,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/matryer++xbar/pkg/plugins/variables.go,26,Waitgroup Done(),81,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/matryer++xbar/pkg/plugins/variables.go,31,Waitgroup Wait(),83,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/matryer++xbar/pkg/plugins/install_test.go,27,Mutex,18,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/matryer++xbar/pkg/plugins/install_test.go,27,Mutex,18,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/matryer++xbar/pkg/plugins/install_test.go,27,Mutex,18,
