Line num,77756
packages num,29,39
files num,269,755
Average Line num per featured file,150,9150
cmd/photoprism,47
internal/acl,172
internal/api,3586
internal/auto,218
internal/classify,7271
internal/commands,1781
internal/config,3584
internal/crop,376
internal/entity,18543
internal/event,244
internal/face,926
internal/form,1684
internal/hub,560
internal/hub/places,222
internal/i18n,410
internal/maps,733
internal/maps/osm,477
internal/meta,2979
internal/mutex,102
internal/nsfw,278
internal/photoprism,7912
internal/query,6192
internal/remote,196
internal/remote/webdav,253
internal/server,470
internal/service,348
internal/session,332
internal/thumb,954
internal/video,44
internal/workers,830
pkg/capture,64
pkg/clusters,1574
pkg/colors,650
pkg/fastwalk,499
pkg/fs,2518
pkg/pluscode,118
pkg/rnd,227
pkg/s2,292
pkg/txt,10090
Filename, #,Concurrent Type, Line number , Number
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/photoprism++photoprism/pkg/fastwalk/fastwalk.go,30,Waitgroup,65,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/photoprism++photoprism/pkg/fastwalk/fastwalk.go,31,Waitgroup Wait(),66,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/photoprism++photoprism/pkg/fastwalk/fastwalk.go,9,Unknown chan length,70,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/photoprism++photoprism/pkg/fastwalk/fastwalk.go,9,Unknown chan length,71,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/photoprism++photoprism/pkg/fastwalk/fastwalk.go,4,Synchronous chan,72,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/photoprism++photoprism/pkg/fastwalk/fastwalk.go,9,Unknown chan length,75,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/photoprism++photoprism/pkg/fastwalk/fastwalk.go,5,Go in for,81,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/photoprism++photoprism/pkg/fastwalk/fastwalk.go,24,Waitgroup Add(const),80,&{5398248 INT 1} val is : 1
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/photoprism++photoprism/pkg/fastwalk/fastwalk.go,1,Goroutine,81,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/photoprism++photoprism/pkg/fastwalk/fastwalk.go,16,Select (number of branch),93,3
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/photoprism++photoprism/pkg/fastwalk/fastwalk.go,3,Send,94,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/photoprism++photoprism/pkg/fastwalk/fastwalk.go,2,Receive,97,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/photoprism++photoprism/pkg/fastwalk/fastwalk.go,2,Receive,99,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/photoprism++photoprism/pkg/fastwalk/fastwalk.go,17,Select with default (number of branch),111,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/photoprism++photoprism/pkg/fastwalk/fastwalk.go,2,Receive,112,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/photoprism++photoprism/pkg/fastwalk/fastwalk.go,26,Waitgroup Done(),125,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/photoprism++photoprism/pkg/fastwalk/fastwalk.go,16,Select (number of branch),127,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/photoprism++photoprism/pkg/fastwalk/fastwalk.go,2,Receive,128,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/photoprism++photoprism/pkg/fastwalk/fastwalk.go,2,Receive,130,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/photoprism++photoprism/pkg/fastwalk/fastwalk.go,16,Select (number of branch),131,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/photoprism++photoprism/pkg/fastwalk/fastwalk.go,2,Receive,132,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/photoprism++photoprism/pkg/fastwalk/fastwalk.go,3,Send,134,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/photoprism++photoprism/pkg/fastwalk/fastwalk.go,16,Select (number of branch),155,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/photoprism++photoprism/pkg/fastwalk/fastwalk.go,3,Send,156,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/photoprism++photoprism/pkg/fastwalk/fastwalk.go,2,Receive,157,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/photoprism++photoprism/internal/hub/places/cache.go,27,Mutex,9,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/photoprism++photoprism/internal/hub/places/places.go,27,Mutex,38,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/photoprism++photoprism/internal/hub/config.go,29,Mutex Lock(),126,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/photoprism++photoprism/internal/hub/config.go,28,Mutex Unlock(),127,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/photoprism++photoprism/internal/hub/config.go,29,Mutex Lock(),187,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/photoprism++photoprism/internal/hub/config.go,28,Mutex Unlock(),188,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/photoprism++photoprism/internal/hub/config.go,29,Mutex Lock(),214,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/photoprism++photoprism/internal/hub/config.go,28,Mutex Unlock(),215,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/photoprism++photoprism/internal/hub/hub.go,27,Mutex,40,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/photoprism++photoprism/internal/hub/hub.go,27,Mutex,41,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/photoprism++photoprism/internal/session/save.go,27,Mutex,16,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/photoprism++photoprism/internal/session/session.go,27,Mutex,39,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/photoprism++photoprism/internal/session/session_test.go,27,Mutex,15,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/photoprism++photoprism/internal/session/session_test.go,27,Mutex,15,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/photoprism++photoprism/internal/session/session_test.go,27,Mutex,15,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/photoprism++photoprism/internal/face/net_test.go,30,Waitgroup,55,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/photoprism++photoprism/internal/face/net_test.go,27,Mutex,55,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/photoprism++photoprism/internal/face/net_test.go,27,Mutex,55,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/photoprism++photoprism/internal/face/face.go,27,Mutex,49,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/photoprism++photoprism/internal/face/net.go,29,Mutex Lock(),73,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/photoprism++photoprism/internal/face/net.go,28,Mutex Unlock(),74,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/photoprism++photoprism/internal/face/net.go,30,Waitgroup,85,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/photoprism++photoprism/internal/face/net.go,27,Mutex,85,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/photoprism++photoprism/internal/face/face_test.go,30,Waitgroup,60,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/photoprism++photoprism/internal/face/face_test.go,27,Mutex,60,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/photoprism++photoprism/internal/face/face_test.go,27,Mutex,60,
