Line num,2639
packages num,3,3
files num,11,16
Average Line num per featured file,183,2020
,151
services,1238
utils,1250
Filename, #,Concurrent Type, Line number , Number
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/snail007++goproxy/utils/pool.go,9,Unknown chan length,27,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/snail007++goproxy/utils/pool.go,27,Mutex,25,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/snail007++goproxy/utils/pool.go,29,Mutex Lock(),51,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/snail007++goproxy/utils/pool.go,28,Mutex Unlock(),60,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/snail007++goproxy/utils/pool.go,17,Select with default (number of branch),64,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/snail007++goproxy/utils/pool.go,3,Send,65,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/snail007++goproxy/utils/pool.go,28,Mutex Unlock(),77,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/snail007++goproxy/utils/pool.go,1,Goroutine,86,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/snail007++goproxy/utils/pool.go,29,Mutex Lock(),98,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/snail007++goproxy/utils/pool.go,28,Mutex Unlock(),99,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/snail007++goproxy/utils/pool.go,17,Select with default (number of branch),101,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/snail007++goproxy/utils/pool.go,2,Receive,102,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/snail007++goproxy/utils/pool.go,29,Mutex Lock(),122,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/snail007++goproxy/utils/pool.go,28,Mutex Unlock(),123,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/snail007++goproxy/utils/pool.go,17,Select with default (number of branch),127,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/snail007++goproxy/utils/pool.go,3,Send,128,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/snail007++goproxy/utils/pool.go,29,Mutex Lock(),134,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/snail007++goproxy/utils/pool.go,28,Mutex Unlock(),135,
