Line num,28319
packages num,9,17
files num,44,95
Average Line num per featured file,537,19367
,25642
examples/fileserver,84
examples/helloworldserver,41
examples/letsencrypt,32
examples/multidomain,41
expvarhandler,103
fasthttpadaptor,260
fasthttpproxy,166
fasthttputil,928
fuzzit/cookie,17
fuzzit/request,18
fuzzit/response,18
fuzzit/url,15
pprofhandler,37
prefork,360
reuseport,171
stackless,386
Filename, #,Concurrent Type, Line number , Number
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/valyala++fasthttp/reuseport/reuseport_test.go,9,Unknown chan length,41,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/valyala++fasthttp/reuseport/reuseport_test.go,5,Go in for,48,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/valyala++fasthttp/reuseport/reuseport_test.go,1,Goroutine,48,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/valyala++fasthttp/reuseport/reuseport_test.go,3,Send,50,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/valyala++fasthttp/reuseport/reuseport_test.go,5,Go in for,70,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/valyala++fasthttp/reuseport/reuseport_test.go,4,Synchronous chan,69,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/valyala++fasthttp/reuseport/reuseport_test.go,1,Goroutine,70,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/valyala++fasthttp/reuseport/reuseport_test.go,15,Close chan,74,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/valyala++fasthttp/reuseport/reuseport_test.go,16,Select (number of branch),76,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/valyala++fasthttp/reuseport/reuseport_test.go,2,Receive,77,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/valyala++fasthttp/reuseport/reuseport_test.go,2,Receive,78,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/valyala++fasthttp/reuseport/reuseport_test.go,16,Select (number of branch),97,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/valyala++fasthttp/reuseport/reuseport_test.go,2,Receive,98,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/valyala++fasthttp/reuseport/reuseport_test.go,2,Receive,99,
