Line num,6956
packages num,6,18
files num,9,74
Average Line num per featured file,137,550
,17
cmd,303
dive,63
dive/filetree,1987
dive/image,91
dive/image/docker,450
dive/image/podman,111
runtime,419
runtime/ci,356
runtime/export,206
runtime/ui,234
runtime/ui/format,67
runtime/ui/key,102
runtime/ui/layout,565
runtime/ui/layout/compound,95
runtime/ui/view,1170
runtime/ui/viewmodel,686
utils,34
Filename, #,Concurrent Type, Line number , Number
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/wagoodman++dive/runtime/ci/evaluator_test.go,27,Mutex,30,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/wagoodman++dive/runtime/ui/app.go,27,Mutex,26,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/wagoodman++dive/dive/image/docker/cli.go,27,Mutex,18,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/wagoodman++dive/runtime/event.go,3,Send,13,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/wagoodman++dive/runtime/event.go,3,Send,19,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/wagoodman++dive/runtime/event.go,3,Send,26,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/wagoodman++dive/runtime/run.go,1,Goroutine,132,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/wagoodman++dive/runtime/run_test.go,27,Mutex,84,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/wagoodman++dive/runtime/run_test.go,5,Go in for,242,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/wagoodman++dive/runtime/run_test.go,1,Goroutine,242,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/wagoodman++dive/dive/filetree/comparer.go,4,Synchronous chan,89,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/wagoodman++dive/dive/filetree/comparer.go,1,Goroutine,91,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/wagoodman++dive/dive/filetree/comparer.go,15,Close chan,92,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/wagoodman++dive/dive/filetree/comparer.go,3,Send,108,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/wagoodman++dive/dive/filetree/comparer.go,4,Synchronous chan,122,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/wagoodman++dive/dive/filetree/comparer.go,1,Goroutine,124,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/wagoodman++dive/dive/filetree/comparer.go,15,Close chan,125,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/wagoodman++dive/dive/filetree/comparer.go,3,Send,140,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/wagoodman++dive/cmd/analyze.go,27,Mutex,37,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/wagoodman++dive/cmd/root.go,27,Mutex,22,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/wagoodman++dive/cmd/root.go,27,Mutex,156,
