Line num,8715
packages num,3,19
files num,6,29
Average Line num per featured file,140,842
,145
backend,1
backend/localcommand,163
pkg/homedir,11
pkg/randomstring,16
server,981
utils,147
vendor/github.com/NYTimes/gziphandler,288
vendor/github.com/codegangsta/cli,2153
vendor/github.com/elazarl/go-bindata-assetfs,117
vendor/github.com/fatih/structs,306
vendor/github.com/gorilla/websocket,1029
vendor/github.com/hashicorp/go-multierror,84
vendor/github.com/kr/pty,327
vendor/github.com/pkg/errors,251
vendor/github.com/yudai/hcl,383
vendor/github.com/yudai/hcl/hcl,1138
vendor/github.com/yudai/hcl/json,808
webtty,367
Filename, #,Concurrent Type, Line number , Number
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/yudai++gotty/backend/localcommand/local_command.go,27,Mutex,32,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/yudai++gotty/backend/localcommand/local_command.go,4,Synchronous chan,39,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/yudai++gotty/backend/localcommand/local_command.go,1,Goroutine,59,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/yudai++gotty/backend/localcommand/local_command.go,16,Select (number of branch),84,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/yudai++gotty/backend/localcommand/local_command.go,2,Receive,85,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/yudai++gotty/backend/localcommand/local_command.go,2,Receive,87,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/yudai++gotty/webtty/webtty.go,27,Mutex,37,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/yudai++gotty/webtty/webtty.go,8,Known chan length (length),67,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/yudai++gotty/webtty/webtty.go,1,Goroutine,69,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/yudai++gotty/webtty/webtty.go,3,Send,70,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/yudai++gotty/webtty/webtty.go,1,Goroutine,86,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/yudai++gotty/webtty/webtty.go,3,Send,87,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/yudai++gotty/webtty/webtty.go,16,Select (number of branch),103,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/yudai++gotty/webtty/webtty.go,2,Receive,104,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/yudai++gotty/webtty/webtty.go,2,Receive,106,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/yudai++gotty/webtty/webtty.go,29,Mutex Lock(),147,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/yudai++gotty/webtty/webtty.go,28,Mutex Unlock(),148,
