Line num,0
packages num,13,28
files num,36,118
Average Line num per featured file,8037
cmd/admin/main,1233
cmd/dashboard/main,152
cmd/fe/main,288
cmd/ha/main,326
cmd/proxy/main,300
extern/deprecated/redis-test/main,1578
extern/deprecated/redis-test/bench/main,249
pkg/models/models,416
pkg/models/etcd/etcdclient,313
pkg/models/fs/fsclient,300
pkg/models/zk/zkclient,405
pkg/proxy/proxy,4047
pkg/proxy/redis/redis,921
pkg/topom/topom,4881
pkg/utils/utils,326
pkg/utils/assert/assert,14
pkg/utils/bufio2/bufio2,377
pkg/utils/bytesize/bytesize,169
pkg/utils/errors/errors,75
pkg/utils/log/log,623
pkg/utils/math2/math2,69
pkg/utils/redis/redis,1168
pkg/utils/rpc/rpc,217
pkg/utils/sync2/sync2,29
pkg/utils/sync2/atomic2/atomic2,59
pkg/utils/timesize/timesize,124
pkg/utils/trace/trace,75
pkg/utils/unsafe2/unsafe2,230
Filename, #,Concurrent Type, Line number , Number
cmd/dashboard/main.go,1,Goroutine,159,
cmd/dashboard/main.go,8,Known chan length (length),161,1
cmd/dashboard/main.go,2,Receive,164,
cmd/fe/main.go,1,Goroutine,47,
cmd/proxy/main.go,1,Goroutine,107,
cmd/proxy/main.go,1,Goroutine,210,
cmd/proxy/main.go,8,Known chan length (length),212,1
cmd/proxy/main.go,2,Receive,215,
cmd/proxy/main.go,1,Goroutine,221,
cmd/proxy/main.go,1,Goroutine,223,
cmd/proxy/main.go,1,Goroutine,225,
extern/deprecated/redis-test/extra_memleak.go,5,Go in for,39,
extern/deprecated/redis-test/extra_memleak.go,1,Goroutine,39,
extern/deprecated/redis-test/test_incr1.go,5,Go in for,35,
extern/deprecated/redis-test/test_incr1.go,1,Goroutine,35,
extern/deprecated/redis-test/test_incr2.go,5,Go in for,40,
extern/deprecated/redis-test/test_incr2.go,1,Goroutine,40,
extern/deprecated/redis-test/test_pttl.go,5,Go in for,40,
extern/deprecated/redis-test/test_pttl.go,1,Goroutine,40,
extern/deprecated/redis-test/basic_incr.go,5,Go in for,32,
extern/deprecated/redis-test/basic_incr.go,1,Goroutine,32,
extern/deprecated/redis-test/test_mset.go,5,Go in for,38,
extern/deprecated/redis-test/test_mset.go,1,Goroutine,38,
extern/deprecated/redis-test/test_hset.go,5,Go in for,41,
extern/deprecated/redis-test/test_hset.go,1,Goroutine,41,
extern/deprecated/redis-test/test_mget.go,5,Go in for,38,
extern/deprecated/redis-test/test_mget.go,1,Goroutine,38,
extern/deprecated/redis-test/extra_incr.go,5,Go in for,48,
extern/deprecated/redis-test/extra_incr.go,1,Goroutine,48,
extern/deprecated/redis-test/test_list.go,5,Go in for,41,
extern/deprecated/redis-test/test_list.go,1,Goroutine,41,
extern/deprecated/redis-test/utils.go,4,Synchronous chan,602,
extern/deprecated/redis-test/utils.go,2,Receive,619,
extern/deprecated/redis-test/utils.go,1,Goroutine,677,
extern/deprecated/redis-test/bench/benchmark.go,4,Synchronous chan,117,
extern/deprecated/redis-test/bench/benchmark.go,5,Go in for,131,
extern/deprecated/redis-test/bench/benchmark.go,1,Goroutine,131,
extern/deprecated/redis-test/bench/benchmark.go,5,Go in for,143,
extern/deprecated/redis-test/bench/benchmark.go,1,Goroutine,143,
extern/deprecated/redis-test/bench/benchmark.go,5,Go in for,166,
extern/deprecated/redis-test/bench/benchmark.go,1,Goroutine,166,
extern/deprecated/redis-test/bench/benchmark.go,2,Receive,196,
extern/deprecated/redis-test/bench/benchmark.go,2,Receive,220,
extern/deprecated/redis-test/bench/benchmark.go,2,Receive,244,
pkg/models/etcd/etcdclient.go,4,Synchronous chan,269,
pkg/models/etcd/etcdclient.go,1,Goroutine,270,
pkg/models/etcd/etcdclient.go,15,Close chan,271,
pkg/models/etcd/etcdclient.go,4,Synchronous chan,327,
pkg/models/etcd/etcdclient.go,1,Goroutine,328,
pkg/models/etcd/etcdclient.go,15,Close chan,329,
pkg/models/zk/zkclient.go,1,Goroutine,97,
pkg/models/zk/zkclient.go,4,Synchronous chan,257,
pkg/models/zk/zkclient.go,1,Goroutine,258,
pkg/models/zk/zkclient.go,15,Close chan,259,
pkg/models/zk/zkclient.go,2,Receive,260,
pkg/models/zk/zkclient.go,4,Synchronous chan,427,
pkg/models/zk/zkclient.go,1,Goroutine,428,
pkg/models/zk/zkclient.go,15,Close chan,429,
pkg/models/zk/zkclient.go,2,Receive,430,
pkg/proxy/jodis.go,1,Goroutine,109,
pkg/proxy/jodis.go,2,Receive,120,
pkg/proxy/metrics.go,1,Goroutine,20,
pkg/proxy/metrics.go,2,Receive,31,
pkg/proxy/request_test.go,1,Goroutine,61,
pkg/proxy/request_test.go,1,Goroutine,72,
pkg/proxy/request_test.go,1,Goroutine,85,
pkg/proxy/request_test.go,8,Known chan length (length),98,1024
pkg/proxy/request_test.go,8,Known chan length (length),98,1024
pkg/proxy/request_test.go,1,Goroutine,99,
pkg/proxy/request_test.go,3,Send,101,
pkg/proxy/request_test.go,2,Receive,106,
pkg/proxy/request_test.go,1,Goroutine,115,
pkg/proxy/backend_test.go,8,Known chan length (length),25,1
pkg/proxy/backend_test.go,1,Goroutine,26,
pkg/proxy/backend_test.go,15,Close chan,27,
pkg/proxy/backend_test.go,3,Send,30,
pkg/proxy/backend_test.go,2,Receive,34,
pkg/proxy/backend_test.go,1,Goroutine,50,
pkg/proxy/backend_test.go,1,Goroutine,65,
pkg/proxy/backend_test.go,2,Receive,67,
pkg/proxy/stats.go,1,Goroutine,65,
pkg/proxy/stats.go,1,Goroutine,201,
pkg/proxy/backend.go,8,Known chan length (length),48,1024
pkg/proxy/backend.go,1,Goroutine,54,
pkg/proxy/backend.go,3,Send,78,
pkg/proxy/backend.go,3,Send,101,
pkg/proxy/backend.go,8,Known chan length (length),147,128
pkg/proxy/backend.go,1,Goroutine,150,
pkg/proxy/backend.go,6,Range over chan,151,
pkg/proxy/backend.go,9,Unknown chan length,177,
pkg/proxy/backend.go,1,Goroutine,178,
pkg/proxy/backend.go,20,Receive only chan (<-chan),276,
pkg/proxy/backend.go,16,Select (number of branch),316,2
pkg/proxy/backend.go,2,Receive,317,
pkg/proxy/backend.go,2,Receive,319,
pkg/proxy/backend.go,2,Receive,331,
pkg/proxy/backend.go,3,Send,364,
pkg/proxy/proxy.go,1,Goroutine,95,
pkg/proxy/proxy.go,1,Goroutine,96,
pkg/proxy/proxy.go,1,Goroutine,321,
pkg/proxy/proxy.go,8,Known chan length (length),322,1
pkg/proxy/proxy.go,8,Known chan length (length),322,1
pkg/proxy/proxy.go,1,Goroutine,332,
pkg/proxy/proxy.go,15,Close chan,333,
pkg/proxy/proxy.go,17,Select with default (number of branch),335,2
pkg/proxy/proxy.go,3,Send,336,
pkg/proxy/proxy.go,1,Goroutine,350,
pkg/proxy/proxy.go,6,Range over chan,351,
pkg/proxy/proxy.go,8,Known chan length (length),380,1
pkg/proxy/proxy.go,1,Goroutine,381,
pkg/proxy/proxy.go,3,Send,385,
pkg/proxy/proxy.go,16,Select (number of branch),388,2
pkg/proxy/proxy.go,2,Receive,389,
pkg/proxy/proxy.go,2,Receive,391,
pkg/proxy/proxy.go,8,Known chan length (length),404,1
pkg/proxy/proxy.go,1,Goroutine,405,
pkg/proxy/proxy.go,3,Send,407,
pkg/proxy/proxy.go,1,Goroutine,419,
pkg/proxy/proxy.go,16,Select (number of branch),422,2
pkg/proxy/proxy.go,2,Receive,423,
pkg/proxy/proxy.go,2,Receive,425,
pkg/proxy/proxy.go,16,Select (number of branch),434,2
pkg/proxy/proxy.go,2,Receive,435,
pkg/proxy/proxy.go,2,Receive,437,
pkg/proxy/session.go,1,Goroutine,117,
pkg/proxy/session.go,1,Goroutine,128,
pkg/proxy/session.go,1,Goroutine,140,
pkg/proxy/session.go,1,Goroutine,145,
pkg/proxy/redis/conn_test.go,8,Known chan length (length),22,1
pkg/proxy/redis/conn_test.go,1,Goroutine,23,
pkg/proxy/redis/conn_test.go,15,Close chan,24,
pkg/proxy/redis/conn_test.go,3,Send,27,
pkg/proxy/redis/conn_test.go,2,Receive,35,
pkg/topom/topom_proxy.go,5,Go in for,154,
pkg/topom/topom_proxy.go,1,Goroutine,154,
pkg/topom/topom_stats_test.go,1,Goroutine,134,
