Line num,17646
packages num,24,61
files num,39,175
Average Line num per featured file,106,4152
,90
adapter,227
adapter/inbound,137
adapter/outbound,1344
adapter/outboundgroup,709
adapter/provider,530
common/batch,155
common/cache,439
common/murmur3,146
common/net,38
common/observable,209
common/picker,90
common/pool,93
common/queue,52
common/singledo,110
common/sockopt,22
common/structure,431
component/auth,37
component/dhcp,86
component/dialer,360
component/fakeip,168
component/iface,89
component/mmdb,35
component/nat,28
component/pool,148
component/process,648
component/profile,7
component/profile/cachefile,79
component/resolver,148
component/trie,194
config,698
constant,332
constant/provider,80
context,89
dns,1017
hub,39
hub/executor,206
hub/route,645
listener,268
listener/auth,13
listener/http,249
listener/mixed,67
listener/redir,214
listener/socks,191
listener/tproxy,309
log,144
rule,375
test,1632
transport/gun,199
transport/simple-obfs,230
transport/snell,207
transport/socks4,154
transport/socks5,336
transport/ssr/obfs,0
transport/ssr/protocol,973
transport/ssr/tools,91
transport/trojan,175
transport/v2ray-plugin,183
transport/vmess,1091
tunnel,394
tunnel/statistic,196
Filename, #,Concurrent Type, Line number , Number
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/Dreamacro++clash/adapter/outbound/socks5.go,1,Goroutine,118,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/Dreamacro++clash/listener/mixed/mixed.go,21,Send only chan (chan<-),39,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/Dreamacro++clash/listener/mixed/mixed.go,1,Goroutine,50,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/Dreamacro++clash/listener/mixed/mixed.go,5,Go in for,59,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/Dreamacro++clash/listener/mixed/mixed.go,1,Goroutine,59,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/Dreamacro++clash/listener/mixed/mixed.go,21,Send only chan (chan<-),66,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/Dreamacro++clash/listener/redir/tcp.go,21,Send only chan (chan<-),32,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/Dreamacro++clash/listener/redir/tcp.go,1,Goroutine,42,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/Dreamacro++clash/listener/redir/tcp.go,5,Go in for,51,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/Dreamacro++clash/listener/redir/tcp.go,1,Goroutine,51,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/Dreamacro++clash/listener/redir/tcp.go,21,Send only chan (chan<-),58,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/Dreamacro++clash/listener/redir/tcp.go,3,Send,65,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/Dreamacro++clash/hub/executor/executor.go,27,Mutex,29,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/Dreamacro++clash/hub/executor/executor.go,29,Mutex Lock(),70,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/Dreamacro++clash/hub/executor/executor.go,28,Mutex Unlock(),71,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/Dreamacro++clash/common/singledo/singledo_test.go,30,Waitgroup,22,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/Dreamacro++clash/common/singledo/singledo_test.go,24,Waitgroup Add(const),24,n val is : 5
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/Dreamacro++clash/common/singledo/singledo_test.go,5,Go in for,26,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/Dreamacro++clash/common/singledo/singledo_test.go,7,Goroutine in for with constant (constant),26,5
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/Dreamacro++clash/common/singledo/singledo_test.go,1,Goroutine,26,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/Dreamacro++clash/common/singledo/singledo_test.go,26,Waitgroup Done(),31,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/Dreamacro++clash/common/singledo/singledo_test.go,31,Waitgroup Wait(),35,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/Dreamacro++clash/listener/http/client.go,21,Send only chan (chan<-),14,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/Dreamacro++clash/listener/http/client.go,3,Send,30,
