Line num,0
packages num,2,17
files num,3,78
Average Line num per featured file,950
main,767
action/action,1787
cache/cache,380
cfg/cfg,894
dependency/dependency,1056
gb/gb,72
godep/godep,90
godep/strip/strip,137
gom/gom,200
gpm/gpm,54
importer/importer,62
mirrors/mirrors,143
msg/msg,200
path/path,593
repo/repo,1302
tree/tree,167
util/util,325
Filename, #,Concurrent Type, Line number , Number
cache/global_lock.go,3,Send,37,
cache/global_lock.go,8,Known chan length (length),41,1
cache/global_lock.go,1,Goroutine,80,
cache/global_lock.go,17,Select with default (number of branch),82,2
cache/global_lock.go,2,Receive,83,
cache/global_lock.go,4,Synchronous chan,96,
cache/global_lock.go,1,Goroutine,98,
cache/global_lock.go,2,Receive,99,
repo/set_reference.go,9,Unknown chan length,21,
repo/set_reference.go,9,Unknown chan length,22,
repo/set_reference.go,5,Go in for,28,
repo/set_reference.go,1,Goroutine,28,
repo/set_reference.go,16,Select (number of branch),30,2
repo/set_reference.go,2,Receive,31,
repo/set_reference.go,2,Receive,59,
repo/set_reference.go,3,Send,69,
repo/set_reference.go,3,Send,77,
repo/set_reference.go,3,Send,85,
repo/installer.go,9,Unknown chan length,264,
repo/installer.go,9,Unknown chan length,265,
repo/installer.go,5,Go in for,271,
repo/installer.go,1,Goroutine,271,
repo/installer.go,16,Select (number of branch),273,2
repo/installer.go,2,Receive,274,
repo/installer.go,2,Receive,302,
repo/installer.go,3,Send,322,
repo/installer.go,3,Send,340,
repo/installer.go,3,Send,349,
repo/installer.go,9,Unknown chan length,511,
repo/installer.go,9,Unknown chan length,512,
repo/installer.go,5,Go in for,518,
repo/installer.go,1,Goroutine,518,
repo/installer.go,16,Select (number of branch),520,2
repo/installer.go,2,Receive,521,
repo/installer.go,2,Receive,542,
repo/installer.go,3,Send,552,
repo/installer.go,3,Send,560,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/Masterminds++glide/action/ensure.go,0,Mutex,71,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/Masterminds++glide/action/plugin.go,0,Mutex,49,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/Masterminds++glide/cache/cache.go,0,Mutex Lock(),58,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/Masterminds++glide/cache/cache.go,0,Mutex Unlock(),59,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/Masterminds++glide/cache/cache.go,0,Mutex Lock(),204,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/Masterminds++glide/cache/cache.go,0,Mutex,205,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/Masterminds++glide/cache/cache.go,0,Mutex Unlock(),210,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/Masterminds++glide/cache/cache.go,0,Mutex Lock(),212,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/Masterminds++glide/cache/cache.go,0,Mutex Lock(),218,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/Masterminds++glide/cache/cache.go,0,Mutex,219,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/Masterminds++glide/cache/cache.go,0,Mutex Unlock(),220,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/Masterminds++glide/cache/cache.go,0,Mutex Unlock(),223,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/Masterminds++glide/path/winbug.go,0,Mutex,47,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/Masterminds++glide/path/winbug.go,0,Mutex,57,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/Masterminds++glide/path/winbug.go,0,Mutex,75,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/Masterminds++glide/path/winbug.go,0,Mutex,83,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/Masterminds++glide/repo/installer.go,0,Mutex,52,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/Masterminds++glide/repo/installer.go,0,Mutex,138,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/Masterminds++glide/repo/installer.go,0,Waitgroup,266,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/Masterminds++glide/repo/installer.go,0,Mutex,267,
