Line num,0
packages num,3,16
files num,7,91
Average Line num per featured file,1128
.dredd/hooks/main,437
api/api,703
api/helpers/helpers,99
api/projects/projects,1058
api/sockets/sockets,146
api/tasks/tasks,1035
cli/main,7
cli/cmd/cmd,487
cli/setup/setup,155
db/db,468
db/bolt/bolt,1514
db/factory/factory,23
db/sql/sql,1244
hook_helpers/hook_helpers,5
util/util,314
util/version_gen/main,35
Filename, #,Concurrent Type, Line number , Number
api/sockets/pool.go,4,Synchronous chan,25,
api/sockets/pool.go,4,Synchronous chan,26,
api/sockets/pool.go,4,Synchronous chan,27,
api/sockets/pool.go,16,Select (number of branch),34,3
api/sockets/pool.go,2,Receive,35,
api/sockets/pool.go,2,Receive,37,
api/sockets/pool.go,2,Receive,42,
api/sockets/pool.go,17,Select with default (number of branch),48,2
api/sockets/pool.go,3,Send,49,
api/sockets/handler.go,3,Send,46,
api/sockets/handler.go,16,Select (number of branch),86,2
api/sockets/handler.go,2,Receive,87,
api/sockets/handler.go,2,Receive,96,
api/sockets/handler.go,8,Known chan length (length),114,256
api/sockets/handler.go,3,Send,119,
api/sockets/handler.go,1,Goroutine,121,
api/sockets/handler.go,3,Send,127,
api/tasks/logging.go,3,Send,31,
api/tasks/logging.go,1,Goroutine,71,
api/tasks/logging.go,1,Goroutine,72,
api/tasks/http.go,3,Send,38,
api/tasks/pool.go,4,Synchronous chan,35,
api/tasks/pool.go,8,Known chan length (length),40,10000
api/tasks/pool.go,4,Synchronous chan,43,
api/tasks/pool.go,15,Close chan,71,
api/tasks/pool.go,1,Goroutine,76,
api/tasks/pool.go,16,Select (number of branch),110,3
api/tasks/pool.go,2,Receive,111,
api/tasks/pool.go,2,Receive,121,
api/tasks/pool.go,2,Receive,128,
api/tasks/pool.go,3,Send,147,
api/tasks/pool.go,1,Goroutine,149,
api/tasks/pool.go,1,Goroutine,152,
api/tasks/runner.go,3,Send,133,
api/tasks/runner.go,3,Send,209,
cli/cmd/root.go,1,Goroutine,75,
cli/cmd/root.go,1,Goroutine,76,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ansible-semaphore++semaphore/util/mail.go,0,Mutex,12,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ansible-semaphore++semaphore/db/bolt/BoltDb.go,0,Mutex,96,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ansible-semaphore++semaphore/db/bolt/BoltDb.go,0,Mutex,96,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ansible-semaphore++semaphore/db/bolt/BoltDb.go,0,Mutex,96,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ansible-semaphore++semaphore/db/bolt/BoltDb.go,0,Mutex,307,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/ansible-semaphore++semaphore/db/bolt/BoltDb.go,0,Mutex,307,
