Line num,0
packages num,4,54
files num,5,66
Average Line num per featured file,895
_examples/go/functions/simple/main,15
archive/archive,87
boot/boot,143
boot/boilerplate/boilerplate,184
cmd/apex/main,84
cmd/apex/alias/alias,45
cmd/apex/autocomplete/autocomplete,80
cmd/apex/build/build,63
cmd/apex/delete/delete,42
cmd/apex/deploy/deploy,61
cmd/apex/docs/docs,38
cmd/apex/exec/exec,52
cmd/apex/infra/infra,36
cmd/apex/init/init,39
cmd/apex/invoke/invoke,79
cmd/apex/list/list,91
cmd/apex/logs/logs,60
cmd/apex/metrics/metrics,71
cmd/apex/rollback/rollback,38
cmd/apex/root/root,115
cmd/apex/upgrade/upgrade,19
cmd/apex/version/version,19
colors/colors,9
cost/cost,39
docs/docs,782
dryrun/dryrun,129
exec/exec,43
function/function,1182
hooks/hooks,6
infra/infra,122
internal/colors/colors,32
internal/progressreader/progressreader,30
internal/util/util,374
logs/logs,127
metrics/metrics,140
mock/mock_lambdaiface,1026
mock/service/mock_service,33
plugins/clojure/clojure,70
plugins/golang/golang,30
plugins/hooks/hooks,57
plugins/inference/inference,40
plugins/java/java,84
plugins/nodejs/nodejs,24
plugins/python/python,22
plugins/ruby/ruby,24
plugins/rust_gnu/rust_gnu,38
plugins/rust_musl/rust_musl,38
plugins/shim/shim,22
project/project_test,523
service/service,30
shim/shim,234
upgrade/upgrade,45
utils/utils_test,181
vpc/vpc,5
Filename, #,Concurrent Type, Line number , Number
internal/util/util.go,16,Select (number of branch),189,2
internal/util/util.go,2,Receive,190,
internal/util/util.go,2,Receive,192,
logs/log.go,4,Synchronous chan,23,
logs/log.go,1,Goroutine,24,
logs/log.go,21,Send only chan (chan<-),29,
logs/log.go,21,Send only chan (chan<-),61,
logs/log.go,3,Send,82,
logs/logs.go,4,Synchronous chan,35,
logs/logs.go,4,Synchronous chan,36,
logs/logs.go,5,Go in for,39,
logs/logs.go,1,Goroutine,39,
logs/logs.go,1,Goroutine,42,
logs/logs.go,15,Close chan,44,
logs/logs.go,20,Receive only chan (<-chan),56,
logs/logs.go,2,Receive,58,
logs/logs.go,22,chan used as a param,66,
logs/logs.go,22,chan used as a param,66,
logs/logs.go,3,Send,74,
logs/logs.go,3,Send,77,
metrics/metric.go,20,Receive only chan (<-chan),68,
metrics/metric.go,4,Synchronous chan,70,
metrics/metric.go,5,Go in for,76,
metrics/metric.go,1,Goroutine,76,
metrics/metric.go,3,Send,86,
metrics/metric.go,1,Goroutine,93,
metrics/metric.go,15,Close chan,95,
metrics/metric.go,9,Unknown chan length,103,
metrics/metric.go,3,Send,105,
metrics/metric.go,15,Close chan,107,
project/project.go,4,Synchronous chan,194,
project/project.go,1,Goroutine,196,
project/project.go,5,Go in for,201,
project/project.go,1,Goroutine,201,
project/project.go,3,Send,209,
project/project.go,15,Close chan,214,
project/project.go,6,Range over chan,217,
project/project.go,4,Synchronous chan,381,
project/project.go,1,Goroutine,383,
project/project.go,5,Go in for,388,
project/project.go,1,Goroutine,388,
project/project.go,3,Send,401,
project/project.go,15,Close chan,406,
project/project.go,6,Range over chan,409,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/apex++apex/function/function_test.go,0,Mutex,79,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/apex++apex/function/function_test.go,0,Mutex,81,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/apex++apex/function/function_test.go,0,Mutex,149,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/apex++apex/function/function_test.go,0,Mutex,151,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/apex++apex/function/function_test.go,0,Mutex,168,
