Line num,0
packages num,25,59
files num,97,356
Average Line num per featured file,20458
cmd/noms/main,2753
cmd/noms/splore/splore,1737
cmd/util/util,4
go/chunks/chunks,821
go/config/config,498
go/constants/constants,14
go/d/d,328
go/datas/datas,3277
go/diff/diff,1570
go/hash/hash,282
go/marshal/marshal,3646
go/merge/merge,949
go/metrics/metrics,280
go/nbs/nbs,6707
go/nbs/benchmarks/main,498
go/nbs/benchmarks/cachedrop/main,15
go/nbs/benchmarks/chunker/main,35
go/nbs/benchmarks/gen/gen,140
go/nbs/frag/main,106
go/ngql/ngql,2156
go/nomdl/nomdl,808
go/perf/codec-perf-rig/main,183
go/perf/hash-perf-rig/main,58
go/perf/suite/suite,590
go/sloppy/sloppy,603
go/spec/spec,1154
go/types/types,17289
go/types/perf/perf,135
go/util/clienttest/clienttest,92
go/util/datetime/datetime,189
go/util/exit/exit,17
go/util/functions/functions,26
go/util/json/json,321
go/util/math/math,13
go/util/outputpager/outputpager,62
go/util/profile/profile,65
go/util/progressreader/progressreader,25
go/util/random/random,47
go/util/sizecache/sizecache,209
go/util/status/status,41
go/util/verbose/verbose,36
go/util/writers/writers,186
samples/go/counter/main,58
samples/go/csv/csv,1328
samples/go/csv/csv-analyze/main,48
samples/go/csv/csv-export/main,137
samples/go/csv/csv-import/main,683
samples/go/csv/csv-invert/main,92
samples/go/decent/dbg/dbg,36
samples/go/decent/ipfs-chat/main,148
samples/go/decent/lib/lib,1148
samples/go/decent/p2p-chat/main,119
samples/go/hr/main,118
samples/go/nomdex/main,1220
samples/go/nomsfs/main,1035
samples/go/xml-import/main,126
tools/file/file,96
tools/loadtest/main,131
tools/runner/runner,205
Filename, #,Concurrent Type, Line number , Number
cmd/noms/noms_blob_get.go,1,Goroutine,54,
cmd/noms/noms_serve.go,8,Known chan length (length),33,1
cmd/noms/noms_serve.go,1,Goroutine,36,
cmd/noms/noms_serve.go,2,Receive,37,
cmd/noms/noms_sync.go,4,Synchronous chan,43,
cmd/noms/noms_sync.go,4,Synchronous chan,44,
cmd/noms/noms_sync.go,1,Goroutine,46,
cmd/noms/noms_sync.go,6,Range over chan,49,
cmd/noms/noms_sync.go,3,Send,61,
cmd/noms/noms_sync.go,15,Close chan,84,
cmd/noms/noms_sync.go,2,Receive,85,
cmd/noms/noms_merge.go,8,Known chan length (length),103,128
cmd/noms/noms_merge.go,1,Goroutine,104,
cmd/noms/noms_merge.go,6,Range over chan,106,
cmd/noms/noms_log.go,19,Channel of channels,101,bytesChan
cmd/noms/noms_log.go,1,Goroutine,105,
cmd/noms/noms_log.go,10,Make chan in for,107,
cmd/noms/noms_log.go,5,Go in for,110,
cmd/noms/noms_log.go,4,Synchronous chan,107,
cmd/noms/noms_log.go,3,Send,108,
cmd/noms/noms_log.go,1,Goroutine,110,
cmd/noms/noms_log.go,3,Send,113,
cmd/noms/noms_log.go,15,Close chan,118,
cmd/noms/noms_log.go,6,Range over chan,124,
cmd/noms/noms_log.go,2,Receive,125,
cmd/noms/noms_log.go,6,Range over chan,129,
cmd/noms/splore/noms_splore_test.go,4,Synchronous chan,37,
cmd/noms/splore/noms_splore_test.go,3,Send,39,
cmd/noms/splore/noms_splore_test.go,1,Goroutine,44,
cmd/noms/splore/noms_splore_test.go,2,Receive,45,
go/chunks/test_utils.go,22,chan used as a param,44,
go/chunks/chunk_serializer_test.go,4,Synchronous chan,26,
go/chunks/chunk_serializer_test.go,1,Goroutine,27,
go/chunks/chunk_serializer_test.go,15,Close chan,28,
go/chunks/chunk_serializer_test.go,6,Range over chan,33,
go/chunks/chunk_serializer_test.go,4,Synchronous chan,42,
go/chunks/chunk_serializer_test.go,15,Close chan,43,
go/chunks/remote_requests.go,21,Send only chan (chan<-),18,
go/chunks/remote_requests.go,21,Send only chan (chan<-),27,
go/chunks/remote_requests.go,21,Send only chan (chan<-),37,
go/chunks/remote_requests.go,21,Send only chan (chan<-),46,
go/chunks/remote_requests.go,3,Send,105,
go/chunks/remote_requests.go,3,Send,109,
go/chunks/remote_requests.go,3,Send,113,
go/chunks/remote_requests.go,3,Send,122,
go/chunks/remote_requests.go,3,Send,126,
go/chunks/remote_requests.go,3,Send,130,
go/chunks/remote_requests_test.go,8,Known chan length (length),31,1
go/chunks/remote_requests_test.go,8,Known chan length (length),32,1
go/chunks/remote_requests_test.go,8,Known chan length (length),33,1
go/chunks/remote_requests_test.go,8,Known chan length (length),34,1
go/chunks/remote_requests_test.go,8,Known chan length (length),35,1
go/chunks/remote_requests_test.go,15,Close chan,36,
go/chunks/remote_requests_test.go,15,Close chan,36,
go/chunks/remote_requests_test.go,15,Close chan,36,
go/chunks/remote_requests_test.go,15,Close chan,36,
go/chunks/remote_requests_test.go,15,Close chan,36,
go/chunks/remote_requests_test.go,1,Goroutine,43,
go/chunks/remote_requests_test.go,2,Receive,59,
go/chunks/remote_requests_test.go,2,Receive,61,
go/chunks/remote_requests_test.go,2,Receive,63,
go/chunks/remote_requests_test.go,2,Receive,65,
go/chunks/remote_requests_test.go,2,Receive,67,
go/chunks/remote_requests_test.go,4,Synchronous chan,86,
go/chunks/remote_requests_test.go,1,Goroutine,90,
go/chunks/remote_requests_test.go,15,Close chan,90,
go/chunks/remote_requests_test.go,1,Goroutine,98,
go/chunks/remote_requests_test.go,6,Range over chan,113,
