Line num,0
packages num,2,2
files num,5,34
Average Line num per featured file,3796
bolt_test,7490
cmd/bolt/main_test,1570
Filename, #,Concurrent Type, Line number , Number
tx.go,2,Receive,209,
tx.go,4,Synchronous chan,378,
tx.go,1,Goroutine,379,
tx.go,22,chan used as a param,383,
tx.go,3,Send,390,
tx.go,3,Send,410,
tx.go,22,chan used as a param,418,
tx.go,3,Send,427,
tx.go,3,Send,434,
tx.go,3,Send,441,
tx.go,3,Send,443,
db.go,8,Known chan length (length),661,1
db.go,1,Goroutine,674,
db.go,2,Receive,678,
db.go,3,Send,734,
db.go,3,Send,740,
simulation_test.go,9,Unknown chan length,52,
simulation_test.go,9,Unknown chan length,52,
simulation_test.go,5,Go in for,68,
simulation_test.go,3,Send,55,
simulation_test.go,1,Goroutine,68,
simulation_test.go,2,Receive,109,
db_test.go,2,Receive,318,
db_test.go,2,Receive,329,
db_test.go,4,Synchronous chan,405,
db_test.go,1,Goroutine,407,
db_test.go,3,Send,411,
db_test.go,16,Select (number of branch),414,2
db_test.go,2,Receive,415,
db_test.go,2,Receive,417,
db_test.go,4,Synchronous chan,479,
db_test.go,1,Goroutine,480,
db_test.go,15,Close chan,484,
db_test.go,17,Select with default (number of branch),489,2
db_test.go,2,Receive,490,
db_test.go,17,Select with default (number of branch),502,2
db_test.go,2,Receive,503,
db_test.go,4,Synchronous chan,884,
db_test.go,5,Go in for,886,
db_test.go,1,Goroutine,886,
db_test.go,3,Send,887,
db_test.go,2,Receive,895,
db_test.go,8,Known chan length (length),957,3
db_test.go,3,Send,959,
db_test.go,1,Goroutine,968,
db_test.go,1,Goroutine,969,
db_test.go,17,Select with default (number of branch),975,2
db_test.go,2,Receive,976,
db_test.go,1,Goroutine,981,
db_test.go,2,Receive,985,
db_test.go,8,Known chan length (length),1016,1
db_test.go,3,Send,1018,
db_test.go,1,Goroutine,1026,
db_test.go,2,Receive,1032,
db_test.go,4,Synchronous chan,1205,
db_test.go,5,Go in for,1211,
db_test.go,7,Goroutine in for with constant (constant),1211,1000
db_test.go,1,Goroutine,1211,
db_test.go,2,Receive,1213,
db_test.go,15,Close chan,1230,
db_test.go,4,Synchronous chan,1250,
db_test.go,5,Go in for,1255,
db_test.go,7,Goroutine in for with constant (constant),1255,1000
db_test.go,1,Goroutine,1255,
db_test.go,2,Receive,1257,
db_test.go,15,Close chan,1274,
