Line num,0
packages num,13,70
files num,13,257
Average Line num per featured file,3132
cayley,50
appengine/main,100
client/client,95
clog/clog,55
clog/glog/glog,28
cmd/cayley/main,166
cmd/cayley/command/command,893
cmd/cayleyexport/main,145
cmd/cayleyimport/main,154
cmd/docgen/main,182
cmd/download_ui/main,93
examples/hello_bolt/main,45
examples/hello_schema/main,90
examples/hello_world/main,23
examples/transaction/main,31
graph/graph_test,984
graph/all/all,13
graph/gaedatastore/gaedatastore,1046
graph/graphmock/graphmock,201
graph/graphtest/graphtest,1650
graph/graphtest/testutil/testutil,45
graph/http/httpgraph,9
graph/iterator/iterator_test,4461
graph/kv/kv_test,2646
graph/kv/all/all,6
graph/kv/badger/badger,56
graph/kv/bolt/bolt,86
graph/kv/btree/btree,49
graph/kv/kvtest/kvtest,121
graph/kv/leveldb/leveldb,74
graph/log/graphlog,127
graph/memstore/memstore,2097
graph/nosql/nosql,1179
graph/nosql/all/all,18
graph/nosql/elastic/elastic,14
graph/nosql/mongo/mongo,14
graph/nosql/nosqltest/nosqltest,51
graph/nosql/ouch/ouch,4
graph/proto/proto,1477
graph/refs/refs,134
graph/sql/sql,2348
graph/sql/cockroach/cockroach,243
graph/sql/mysql/mysql,167
graph/sql/postgres/postgres,180
graph/sql/sqlite/sqlite,167
graph/sql/sqltest/sqltest,85
inference/inference,917
internal/internal,130
internal/decompressor/decompressor,106
internal/dock/dock,123
internal/gephi/gephi,360
internal/http/http,437
internal/linkedql/schema/schema,340
internal/lru/lru,74
internal/repl/repl,268
packrd/packrd,2
query/query,78
query/gizmo/gizmo,2132
query/graphql/graphql,894
query/linkedql/linkedql,1008
query/linkedql/steps/steps,1537
query/mql/mql,590
query/path/path_test,701
query/path/pathtest/pathtest,645
query/sexp/sexp,548
query/shape/shape_test,1861
schema/schema_test,1966
server/http/cayleyhttp,820
version/version,6
writer/writer,89
Filename, #,Concurrent Type, Line number , Number
client/client.go,8,Known chan length (length),83,1
client/client.go,1,Goroutine,84,
client/client.go,15,Close chan,86,
client/client.go,3,Send,96,
client/client.go,2,Receive,104,
cmd/cayley/cayley.go,1,Goroutine,86,
cmd/cayley/cayley.go,1,Goroutine,93,
cmd/cayley/command/repl.go,8,Known chan length (length),27,1
cmd/cayley/command/repl.go,1,Goroutine,29,
cmd/cayley/command/repl.go,16,Select (number of branch),30,2
cmd/cayley/command/repl.go,2,Receive,31,
cmd/cayley/command/repl.go,2,Receive,32,
cmd/cayleyexport/cayleyexport_test.go,1,Goroutine,55,
cmd/cayleyimport/cayleyimport_test.go,1,Goroutine,37,
graph/iterator/iterate.go,17,Select with default (number of branch),40,2
graph/iterator/iterate.go,2,Receive,41,
graph/iterator/iterate.go,17,Select with default (number of branch),52,2
graph/iterator/iterate.go,2,Receive,53,
graph/iterator/iterate.go,17,Select with default (number of branch),106,2
graph/iterator/iterate.go,2,Receive,107,
graph/iterator/iterate.go,17,Select with default (number of branch),116,2
graph/iterator/iterate.go,2,Receive,117,
graph/iterator/iterate.go,17,Select with default (number of branch),147,2
graph/iterator/iterate.go,2,Receive,148,
graph/iterator/iterate.go,17,Select with default (number of branch),154,2
graph/iterator/iterate.go,2,Receive,155,
graph/iterator/iterate.go,17,Select with default (number of branch),173,2
graph/iterator/iterate.go,2,Receive,174,
graph/iterator/iterate.go,17,Select with default (number of branch),180,2
graph/iterator/iterate.go,2,Receive,181,
graph/iterator/iterate.go,21,Send only chan (chan<-),204,
graph/iterator/iterate.go,16,Select (number of branch),209,2
graph/iterator/iterate.go,2,Receive,210,
graph/iterator/iterate.go,3,Send,212,
graph/iterator/iterate.go,16,Select (number of branch),215,2
graph/iterator/iterate.go,2,Receive,216,
graph/iterator/iterate.go,3,Send,218,
graph/iterator/iterate.go,17,Select with default (number of branch),233,2
graph/iterator/iterate.go,2,Receive,234,
