Line num,0
packages num,1,2
files num,1,21
Average Line num per featured file,66
main,686
benchmarks/benchmarks,221
Filename, #,Concurrent Type, Line number , Number
watch.go,8,Known chan length (length),27,1
watch.go,1,Goroutine,33,
watch.go,16,Select (number of branch),36,3
watch.go,2,Receive,37,
watch.go,2,Receive,44,
watch.go,2,Receive,46,
watch.go,3,Send,73,
watch.go,2,Receive,76,
watch.go,15,Close chan,77,
/Users/nicolasdilley/Library/Caches/go-build/df/df7c9d5b7ecbd4c3da103e9f8d45c8692f518b8a05e6d52a38b3d261b8746353-d,0,Mutex,49,
