Line num,34651
packages num,10,43
files num,20,237
Average Line num per featured file,247,4957
,51
bootstrap,210
middleware,1891
models,3964
models/scripts,180
pkg/aria2,876
pkg/aria2/rpc,930
pkg/auth,297
pkg/authn,27
pkg/cache,744
pkg/conf,270
pkg/crontab,72
pkg/email,193
pkg/filesystem,4297
pkg/filesystem/driver/cos,446
pkg/filesystem/driver/local,476
pkg/filesystem/driver/onedrive,2775
pkg/filesystem/driver/oss,909
pkg/filesystem/driver/qiniu,245
pkg/filesystem/driver/remote,690
pkg/filesystem/driver/s3,342
pkg/filesystem/driver/template,38
pkg/filesystem/driver/upyun,288
pkg/filesystem/fsctx,23
pkg/filesystem/response,23
pkg/hashid,102
pkg/recaptcha,150
pkg/request,556
pkg/serializer,970
pkg/task,1447
pkg/thumb,180
pkg/util,532
pkg/webdav,1818
pkg/webdav/internal/xml,3234
routers,633
routers/controllers,1775
service/admin,906
service/aria2,100
service/callback,263
service/explorer,932
service/setting,48
service/share,377
service/user,371
Filename, #,Concurrent Type, Line number , Number
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/cloudreve++Cloudreve/pkg/filesystem/driver/onedrive/handler.go,1,Goroutine,243,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/cloudreve++Cloudreve/pkg/filesystem/driver/onedrive/api.go,17,Select with default (number of branch),288,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/cloudreve++Cloudreve/pkg/filesystem/driver/onedrive/api.go,2,Receive,289,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/cloudreve++Cloudreve/pkg/filesystem/driver/onedrive/api.go,4,Synchronous chan,485,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/cloudreve++Cloudreve/pkg/filesystem/driver/onedrive/api.go,16,Select (number of branch),492,3
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/cloudreve++Cloudreve/pkg/filesystem/driver/onedrive/api.go,2,Receive,493,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/cloudreve++Cloudreve/pkg/filesystem/driver/onedrive/api.go,2,Receive,496,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/cloudreve++Cloudreve/pkg/filesystem/driver/onedrive/api.go,2,Receive,504,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/cloudreve++Cloudreve/pkg/filesystem/driver/onedrive/handler_test.go,1,Goroutine,113,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/cloudreve++Cloudreve/pkg/filesystem/driver/onedrive/api_test.go,1,Goroutine,540,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/cloudreve++Cloudreve/pkg/filesystem/driver/onedrive/api_test.go,1,Goroutine,989,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/cloudreve++Cloudreve/pkg/aria2/rpc/call.go,30,Waitgroup,45,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/cloudreve++Cloudreve/pkg/aria2/rpc/call.go,1,Goroutine,69,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/cloudreve++Cloudreve/pkg/aria2/rpc/call.go,16,Select (number of branch),72,1
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/cloudreve++Cloudreve/pkg/aria2/rpc/call.go,2,Receive,73,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/cloudreve++Cloudreve/pkg/aria2/rpc/call.go,1,Goroutine,83,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/cloudreve++Cloudreve/pkg/aria2/rpc/call.go,17,Select with default (number of branch),88,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/cloudreve++Cloudreve/pkg/aria2/rpc/call.go,2,Receive,89,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/cloudreve++Cloudreve/pkg/aria2/rpc/call.go,17,Select with default (number of branch),94,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/cloudreve++Cloudreve/pkg/aria2/rpc/call.go,2,Receive,95,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/cloudreve++Cloudreve/pkg/aria2/rpc/call.go,8,Known chan length (length),153,16
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/cloudreve++Cloudreve/pkg/aria2/rpc/call.go,30,Waitgroup,154,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/cloudreve++Cloudreve/pkg/aria2/rpc/call.go,24,Waitgroup Add(const),158,&{20833691 INT 1} val is : 1
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/cloudreve++Cloudreve/pkg/aria2/rpc/call.go,1,Goroutine,159,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/cloudreve++Cloudreve/pkg/aria2/rpc/call.go,26,Waitgroup Done(),160,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/cloudreve++Cloudreve/pkg/aria2/rpc/call.go,17,Select with default (number of branch),163,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/cloudreve++Cloudreve/pkg/aria2/rpc/call.go,2,Receive,164,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/cloudreve++Cloudreve/pkg/aria2/rpc/call.go,17,Select with default (number of branch),170,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/cloudreve++Cloudreve/pkg/aria2/rpc/call.go,2,Receive,171,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/cloudreve++Cloudreve/pkg/aria2/rpc/call.go,24,Waitgroup Add(const),202,&{20834789 INT 1} val is : 1
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/cloudreve++Cloudreve/pkg/aria2/rpc/call.go,1,Goroutine,203,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/cloudreve++Cloudreve/pkg/aria2/rpc/call.go,26,Waitgroup Done(),204,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/cloudreve++Cloudreve/pkg/aria2/rpc/call.go,16,Select (number of branch),209,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/cloudreve++Cloudreve/pkg/aria2/rpc/call.go,2,Receive,210,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/cloudreve++Cloudreve/pkg/aria2/rpc/call.go,2,Receive,216,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/cloudreve++Cloudreve/pkg/aria2/rpc/call.go,17,Select with default (number of branch),242,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/cloudreve++Cloudreve/pkg/aria2/rpc/call.go,3,Send,243,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/cloudreve++Cloudreve/pkg/aria2/rpc/call.go,16,Select (number of branch),254,1
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/cloudreve++Cloudreve/pkg/aria2/rpc/call.go,2,Receive,255,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/cloudreve++Cloudreve/pkg/email/smtp.go,8,Known chan length (length),34,30
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/cloudreve++Cloudreve/pkg/email/smtp.go,3,Send,54,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/cloudreve++Cloudreve/pkg/email/smtp.go,1,Goroutine,67,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/cloudreve++Cloudreve/pkg/email/smtp.go,16,Select (number of branch),91,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/cloudreve++Cloudreve/pkg/email/smtp.go,2,Receive,92,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/cloudreve++Cloudreve/pkg/email/smtp.go,2,Receive,110,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/cloudreve++Cloudreve/pkg/filesystem/driver/local/handler.go,16,Select (number of branch),91,1
