Line num,0
packages num,1,1
files num,10,31
Average Line num per featured file,2797
main,5442
Filename, #,Concurrent Type, Line number , Number
ssh.go,5,Go in for,51,
ssh.go,1,Goroutine,51,
conn_pool.go,9,Unknown chan length,23,
conn_pool.go,1,Goroutine,30,
conn_pool.go,22,chan used as a param,33,
conn_pool.go,17,Select with default (number of branch),35,2
conn_pool.go,2,Receive,36,
conn_pool.go,22,chan used as a param,48,
conn_pool.go,17,Select with default (number of branch),49,2
conn_pool.go,3,Send,50,
conn_pool.go,8,Known chan length (length),107,5
conn_pool.go,3,Send,108,
conn_pool.go,1,Goroutine,113,
conn_pool.go,22,chan used as a param,143,
conn_pool.go,17,Select with default (number of branch),151,2
conn_pool.go,2,Receive,152,
conn_pool.go,3,Send,159,
conn_pool.go,22,chan used as a param,176,
conn_pool.go,17,Select with default (number of branch),199,2
conn_pool.go,2,Receive,200,
main.go,4,Synchronous chan,32,
main.go,1,Goroutine,66,
main.go,1,Goroutine,67,
main.go,1,Goroutine,69,
main.go,5,Go in for,77,
main.go,1,Goroutine,77,
main_windows.go,8,Known chan length (length),12,1
main_windows.go,6,Range over chan,15,
main_unix.go,8,Known chan length (length),12,1
main_unix.go,6,Range over chan,15,
util.go,3,Send,29,
util.go,17,Select with default (number of branch),33,2
util.go,2,Receive,34,
pac.go,1,Goroutine,202,
sitestat.go,1,Goroutine,442,
parent_proxy.go,1,Goroutine,62,
proxy.go,20,Receive only chan (<-chan),146,
proxy.go,1,Goroutine,156,
proxy.go,2,Receive,157,
proxy.go,5,Go in for,187,
proxy.go,1,Goroutine,187,
proxy.go,20,Receive only chan (<-chan),219,
proxy.go,1,Goroutine,231,
proxy.go,2,Receive,232,
proxy.go,5,Go in for,252,
proxy.go,1,Goroutine,252,
proxy.go,22,chan used as a param,1069,
proxy.go,4,Synchronous chan,1187,
proxy.go,1,Goroutine,1189,
proxy.go,2,Receive,1201,
/Users/nicolasdilley/Library/Caches/go-build/5d/5d2e74300ec06a1e04d89eb3538b06ef2c79d1d6ac593943a50dc6a3be413d30-d,0,Mutex,101,
