Line num,0
packages num,15,52
files num,39,293
Average Line num per featured file,15684
_fixtures/main,2386
_fixtures/buildtest/main,13
_fixtures/cgostacktest/main,21
_fixtures/fputest/main,22
_fixtures/internal/dir.io/dirio,8
_fixtures/internal/dir.io/io.io/ioio,4
_fixtures/internal/dir0/pkg/pkg,15
_fixtures/internal/dir0/renamedpackage/realname,4
_fixtures/internal/dir1/pkg/pkg,6
_fixtures/internal/pluginsupport/pluginsupport,7
_fixtures/issue1656/main,13
_fixtures/nodisasm/main,5
_fixtures/nomaindir/nomaindir,3
_fixtures/nopbreakpoint/main,13
_fixtures/plugin1/main,10
_fixtures/plugin2/main,25
_scripts/main,895
cmd/dlv/main,587
cmd/dlv/cmds/cmds,664
pkg/astutil/astutil,24
pkg/config/config,306
pkg/dwarf/dwarfbuilder/dwarfbuilder,306
pkg/dwarf/frame/frame,767
pkg/dwarf/godwarf/godwarf,1192
pkg/dwarf/line/line,1134
pkg/dwarf/loclist/loclist,59
pkg/dwarf/op/op,830
pkg/dwarf/reader/reader,272
pkg/dwarf/util/util,295
pkg/gobuild/gobuild,52
pkg/goversion/goversion,207
pkg/locspec/locspec,455
pkg/logflags/logflags,198
pkg/proc/proc_test,14714
pkg/proc/core/core,1104
pkg/proc/core/minidump/minidump,663
pkg/proc/fbsdutil/fbsdutil,350
pkg/proc/gdbserial/gdbserial_test,3047
pkg/proc/linutil/linutil,958
pkg/proc/native/your_operating_system_and_architecture_combination_is_not_supported_by_delve,2460
pkg/proc/winutil/winutil,366
pkg/terminal/terminal,4138
pkg/terminal/starbind/starbind,2213
pkg/version/version,22
service/service,131
service/api/api,953
service/dap/dap,956
service/dap/daptest/daptest,388
service/debugger/debugger,1607
service/rpc1/rpc1,548
service/rpc2/rpc2,942
service/rpccommon/rpccommon,501
Filename, #,Concurrent Type, Line number , Number
_fixtures/testthreads.go,5,Go in for,18,
_fixtures/testthreads.go,7,Goroutine in for with constant (constant),18,10
_fixtures/testthreads.go,1,Goroutine,18,
_fixtures/notify-v2.go,1,Goroutine,12,
_fixtures/bpcountstest.go,1,Goroutine,24,
_fixtures/bpcountstest.go,1,Goroutine,25,
_fixtures/is sue239.go,22,chan used as a param,7,
_fixtures/is sue239.go,3,Send,10,
_fixtures/is sue239.go,8,Known chan length (length),23,10
_fixtures/is sue239.go,1,Goroutine,24,
_fixtures/is sue239.go,6,Range over chan,25,
_fixtures/issue387.go,5,Go in for,18,
_fixtures/issue387.go,7,Goroutine in for with constant (constant),18,10
_fixtures/issue387.go,1,Goroutine,18,
_fixtures/goroutinestackprog.go,21,Send only chan (chan<-),7,
_fixtures/goroutinestackprog.go,21,Send only chan (chan<-),7,
_fixtures/goroutinestackprog.go,3,Send,8,
_fixtures/goroutinestackprog.go,3,Send,9,
_fixtures/goroutinestackprog.go,4,Synchronous chan,20,
_fixtures/goroutinestackprog.go,4,Synchronous chan,21,
_fixtures/goroutinestackprog.go,5,Go in for,23,
_fixtures/goroutinestackprog.go,7,Goroutine in for with constant (constant),23,10
_fixtures/goroutinestackprog.go,1,Goroutine,23,
_fixtures/goroutinestackprog.go,2,Receive,26,
_fixtures/goroutinestackprog.go,2,Receive,31,
_fixtures/issue1101.go,1,Goroutine,17,
_fixtures/testreturnaddress.go,1,Goroutine,12,
_fixtures/testreturnaddress.go,1,Goroutine,13,
_fixtures/scopetest.go,8,Known chan length (length),23,1
_fixtures/scopetest.go,8,Known chan length (length),24,1
_fixtures/scopetest.go,2,Receive,51,
_fixtures/scopetest.go,16,Select (number of branch),96,2
_fixtures/scopetest.go,2,Receive,97,
_fixtures/scopetest.go,2,Receive,99,
_fixtures/scopetest.go,3,Send,158,
_fixtures/scopetest.go,3,Send,169,
_fixtures/scopetest.go,3,Send,171,
_fixtures/testvariables2.go,8,Known chan length (length),128,11
_fixtures/testvariables2.go,3,Send,129,
_fixtures/testvariables2.go,3,Send,130,
_fixtures/testvariables2.go,3,Send,131,
_fixtures/testvariables2.go,3,Send,132,
_fixtures/issue1469.go,5,Go in for,7,
_fixtures/issue1469.go,7,Goroutine in for with constant (constant),7,5
_fixtures/issue1469.go,1,Goroutine,7,
_fixtures/testdeadlock.go,4,Synchronous chan,4,
_fixtures/testdeadlock.go,4,Synchronous chan,5,
_fixtures/testdeadlock.go,1,Goroutine,6,
_fixtures/testdeadlock.go,2,Receive,7,
_fixtures/testdeadlock.go,3,Send,8,
_fixtures/testdeadlock.go,2,Receive,10,
_fixtures/testdeadlock.go,3,Send,11,
_fixtures/parallel_next.go,5,Go in for,18,
_fixtures/parallel_next.go,7,Goroutine in for with constant (constant),18,10
_fixtures/parallel_next.go,1,Goroutine,18,
_fixtures/teststepconcurrent.go,5,Go in for,22,
_fixtures/teststepconcurrent.go,7,Goroutine in for with constant (constant),22,100
_fixtures/teststepconcurrent.go,1,Goroutine,22,
_fixtures/issue419.go,8,Known chan length (length),13,1
_fixtures/issue419.go,2,Receive,18,
_fixtures/binarytrees.go,5,Go in for,50,
_fixtures/binarytrees.go,1,Goroutine,50,
_fixtures/sigchldprog.go,1,Goroutine,17,
_fixtures/pkgrenames.go,4,Synchronous chan,26,
_fixtures/pkgrenames.go,4,Synchronous chan,26,
_fixtures/testnextprog.go,4,Synchronous chan,38,
_fixtures/testnextprog.go,1,Goroutine,40,
_fixtures/testnextprog.go,2,Receive,41,
_fixtures/testnextprog.go,22,chan used as a param,46,
_fixtures/testnextprog.go,3,Send,47,
cmd/dlv/dlv_test.go,1,Goroutine,102,
cmd/dlv/dlv_test.go,2,Receive,110,
cmd/dlv/dlv_test.go,1,Goroutine,587,
cmd/dlv/cmds/commands.go,4,Synchronous chan,407,
cmd/dlv/cmds/commands.go,22,chan used as a param,628,
cmd/dlv/cmds/commands.go,8,Known chan length (length),629,1
cmd/dlv/cmds/commands.go,1,Goroutine,635,
cmd/dlv/cmds/commands.go,16,Select (number of branch),637,1
cmd/dlv/cmds/commands.go,2,Receive,638,
cmd/dlv/cmds/commands.go,16,Select (number of branch),642,1
cmd/dlv/cmds/commands.go,2,Receive,643,
cmd/dlv/cmds/commands.go,16,Select (number of branch),646,2
cmd/dlv/cmds/commands.go,2,Receive,647,
cmd/dlv/cmds/commands.go,2,Receive,648,
cmd/dlv/cmds/commands.go,4,Synchronous chan,746,
pkg/proc/fncall.go,3,Send,127,
pkg/proc/fncall.go,2,Receive,128,
pkg/proc/fncall.go,3,Send,135,
pkg/proc/fncall.go,4,Synchronous chan,169,
pkg/proc/fncall.go,4,Synchronous chan,170,
pkg/proc/fncall.go,1,Goroutine,185,
pkg/proc/fncall.go,2,Receive,187,
pkg/proc/fncall.go,3,Send,922,
pkg/proc/fncall.go,2,Receive,923,
pkg/proc/bininfo.go,1,Goroutine,1142,
pkg/proc/bininfo.go,1,Goroutine,1143,
pkg/proc/bininfo.go,1,Goroutine,1144,
pkg/proc/bininfo.go,1,Goroutine,1148,
pkg/proc/bininfo.go,1,Goroutine,1276,
pkg/proc/bininfo.go,1,Goroutine,1277,
pkg/proc/bininfo.go,1,Goroutine,1361,
pkg/proc/bininfo.go,1,Goroutine,1362,
pkg/proc/proc_unix_test.go,8,Known chan length (length),29,2
pkg/proc/proc_unix_test.go,15,Close chan,33,
pkg/proc/proc_unix_test.go,8,Known chan length (length),36,1
pkg/proc/proc_unix_test.go,1,Goroutine,37,
pkg/proc/proc_unix_test.go,2,Receive,39,
pkg/proc/proc_unix_test.go,3,Send,44,
pkg/proc/proc_unix_test.go,3,Send,48,
pkg/proc/proc_unix_test.go,3,Send,51,
pkg/proc/proc_unix_test.go,2,Receive,55,
pkg/proc/proc_test.go,8,Known chan length (length),238,1
pkg/proc/proc_test.go,8,Known chan length (length),242,1
pkg/proc/proc_test.go,1,Goroutine,243,
pkg/proc/proc_test.go,2,Receive,244,
pkg/proc/proc_test.go,3,Send,246,
pkg/proc/proc_test.go,2,Receive,250,
pkg/proc/proc_test.go,1,Goroutine,679,
pkg/proc/proc_test.go,1,Goroutine,1930,
pkg/proc/proc_test.go,1,Goroutine,2848,
pkg/proc/proc_test.go,8,Known chan length (length),3585,1
pkg/proc/proc_test.go,1,Goroutine,3587,
pkg/proc/proc_test.go,2,Receive,3588,
pkg/proc/core/core.go,21,Send only chan (chan<-),430,
pkg/proc/gdbserial/rr.go,4,Synchronous chan,46,
pkg/proc/gdbserial/rr.go,1,Goroutine,47,
pkg/proc/gdbserial/rr.go,3,Send,49,
pkg/proc/gdbserial/rr.go,2,Receive,55,
pkg/proc/gdbserial/rr.go,4,Synchronous chan,93,
pkg/proc/gdbserial/rr.go,1,Goroutine,94,
pkg/proc/gdbserial/rr.go,2,Receive,101,
pkg/proc/gdbserial/rr.go,21,Send only chan (chan<-),162,
pkg/proc/gdbserial/rr.go,3,Send,167,
pkg/proc/gdbserial/rr.go,3,Send,173,
pkg/proc/gdbserial/gdbserver.go,4,Synchronous chan,196,
pkg/proc/gdbserial/gdbserver.go,1,Goroutine,197,
pkg/proc/gdbserial/gdbserver.go,3,Send,199,
pkg/proc/gdbserial/gdbserver.go,4,Synchronous chan,208,
pkg/proc/gdbserial/gdbserver.go,1,Goroutine,210,
pkg/proc/gdbserial/gdbserver.go,3,Send,212,
pkg/proc/gdbserial/gdbserver.go,16,Select (number of branch),215,2
pkg/proc/gdbserial/gdbserver.go,2,Receive,216,
pkg/proc/gdbserial/gdbserver.go,2,Receive,222,
pkg/proc/gdbserial/gdbserver.go,17,Select with default (number of branch),235,2
pkg/proc/gdbserial/gdbserver.go,2,Receive,236,
pkg/proc/gdbserial/gdbserver.go,21,Send only chan (chan<-),610,
pkg/proc/gdbserial/gdbserver.go,2,Receive,906,
pkg/proc/native/proc.go,4,Synchronous chan,58,
pkg/proc/native/proc.go,4,Synchronous chan,59,
pkg/proc/native/proc.go,1,Goroutine,62,
pkg/proc/native/proc.go,21,Send only chan (chan<-),155,
pkg/proc/native/proc.go,3,Send,337,
pkg/proc/native/proc.go,3,Send,342,
pkg/proc/native/proc.go,2,Receive,343,
pkg/terminal/terminal.go,20,Receive only chan (<-chan),122,
pkg/terminal/terminal.go,8,Known chan length (length),178,1
pkg/terminal/terminal.go,1,Goroutine,180,
pkg/terminal/command_test.go,1,Goroutine,776,
pkg/terminal/starbind/starlark.go,17,Select with default (number of branch),279,2
pkg/terminal/starbind/starlark.go,2,Receive,280,
service/listenerpipe.go,2,Receive,41,
service/dap/server_test.go,4,Synchronous chan,43,
service/dap/server_test.go,1,Goroutine,59,
service/dap/server_test.go,2,Receive,60,
service/dap/server.go,1,Goroutine,136,
service/dap/server.go,17,Select with default (number of branch),139,2
service/dap/server.go,2,Receive,140,
service/dap/server.go,17,Select with default (number of branch),169,2
service/dap/server.go,2,Receive,170,
service/debugger/debugger.go,1,Goroutine,225,
service/rpc1/client.go,4,Synchronous chan,58,
service/rpc1/client.go,1,Goroutine,62,
