Line num,0
packages num,3,11
files num,4,75
Average Line num per featured file,1531
machine,1
cmd/docker-machine/main,205
commands/commands,4589
commands/commandstest/commandstest,123
commands/mcndirs/mcndirs,77
drivers/amazonec2/amazonec2,1896
drivers/azure/azure,674
drivers/azure/azureutil/azureutil,1261
drivers/azure/logutil/logutil,13
drivers/digitalocean/digitalocean,463
drivers/driverutil/driverutil,30
Filename, #,Concurrent Type, Line number , Number
commands/ls.go,21,Send only chan (chan<-),334,
commands/ls.go,3,Send,402,
commands/ls.go,21,Send only chan (chan<-),418,
commands/ls.go,4,Synchronous chan,421,
commands/ls.go,1,Goroutine,423,
commands/ls.go,16,Select (number of branch),425,2
commands/ls.go,2,Receive,428,
commands/ls.go,3,Send,429,
commands/ls.go,2,Receive,432,
commands/ls.go,3,Send,433,
commands/ls.go,4,Synchronous chan,446,
commands/ls.go,5,Go in for,449,
commands/ls.go,1,Goroutine,449,
commands/ls.go,2,Receive,453,
commands/ls.go,15,Close chan,456,
commands/commands.go,21,Send only chan (chan<-),436,
commands/commands.go,3,Send,452,
commands/commands.go,4,Synchronous chan,459,
commands/commands.go,4,Synchronous chan,459,
commands/commands.go,5,Go in for,465,
commands/commands.go,1,Goroutine,465,
commands/commands.go,2,Receive,472,
commands/commands.go,15,Close chan,477,
commands/commandstest/stdout_capture.go,4,Synchronous chan,32,
commands/commandstest/stdout_capture.go,1,Goroutine,33,
commands/commandstest/stdout_capture.go,3,Send,36,
commands/commandstest/stdout_capture.go,2,Receive,47,
drivers/azure/azureutil/azureutil.go,4,Synchronous chan,720,
drivers/azure/azureutil/azureutil.go,1,Goroutine,721,
drivers/azure/azureutil/azureutil.go,17,Select with default (number of branch),723,2
drivers/azure/azureutil/azureutil.go,2,Receive,724,
drivers/azure/azureutil/azureutil.go,3,Send,730,
drivers/azure/azureutil/azureutil.go,3,Send,743,
drivers/azure/azureutil/azureutil.go,16,Select (number of branch),750,2
drivers/azure/azureutil/azureutil.go,2,Receive,751,
drivers/azure/azureutil/azureutil.go,15,Close chan,752,
drivers/azure/azureutil/azureutil.go,2,Receive,754,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/docker++machine/libmachine/log/history_recorder.go,0,Mutex Lock(),25,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/docker++machine/libmachine/log/history_recorder.go,0,Mutex Unlock(),26,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/docker++machine/libmachine/log/history_recorder.go,0,Mutex Lock(),31,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/docker++machine/libmachine/log/history_recorder.go,0,Mutex Unlock(),32,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/docker++machine/libmachine/log/fmt_machine_logger_test.go,0,Mutex,13,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/docker++machine/libmachine/log/fmt_machine_logger_test.go,0,Mutex,13,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/docker++machine/libmachine/log/fmt_machine_logger_test.go,0,Mutex,13,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/docker++machine/libmachine/log/fmt_machine_logger_test.go,0,Mutex,13,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/docker++machine/libmachine/log/fmt_machine_logger_test.go,0,Mutex,13,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/docker++machine/libmachine/log/fmt_machine_logger_test.go,0,Mutex,13,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/docker++machine/libmachine/log/fmt_machine_logger_test.go,0,Mutex,13,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/docker++machine/libmachine/log/fmt_machine_logger_test.go,0,Mutex,13,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/docker++machine/libmachine/log/fmt_machine_logger_test.go,0,Mutex,22,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/docker++machine/libmachine/log/fmt_machine_logger_test.go,0,Mutex,22,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/docker++machine/libmachine/log/fmt_machine_logger_test.go,0,Mutex,22,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/docker++machine/libmachine/log/fmt_machine_logger_test.go,0,Mutex,22,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/docker++machine/libmachine/log/fmt_machine_logger_test.go,0,Mutex,22,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/docker++machine/libmachine/log/fmt_machine_logger_test.go,0,Mutex,22,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/docker++machine/libmachine/log/fmt_machine_logger_test.go,0,Mutex,22,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/docker++machine/libmachine/log/fmt_machine_logger_test.go,0,Mutex,22,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/docker++machine/libmachine/log/fmt_machine_logger_test.go,0,Mutex,31,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/docker++machine/libmachine/log/fmt_machine_logger_test.go,0,Mutex,37,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/docker++machine/libmachine/log/fmt_machine_logger_test.go,0,Mutex,44,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/docker++machine/libmachine/log/fmt_machine_logger_test.go,0,Mutex,50,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/docker++machine/libmachine/log/history_recorder_test.go,0,Mutex,10,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/docker++machine/libmachine/log/history_recorder_test.go,0,Mutex,18,
/Users/nicolasdilley/Library/Caches/go-build/3d/3d96506f798efc4fb50600b73c180ffd03ac56debef13b65b1a2ed91c699798a-d,0,Mutex,51,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/docker++machine/commands/env.go,0,Mutex,210,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/docker++machine/commands/env.go,0,Mutex,211,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/docker++machine/commands/inspect.go,0,Mutex,41,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/docker++machine/commands/ls.go,0,Mutex,98,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/docker++machine/commands/ls.go,0,Mutex,168,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/docker++machine/commands/ls.go,0,Mutex,171,
