Line num,0
packages num,1,3
files num,3,12
Average Line num per featured file,1286
main,6
cmd/cmd,451
server/server,2328
Filename, #,Concurrent Type, Line number , Number
server/clamav.go,4,Synchronous chan,59,
server/clamav.go,16,Select (number of branch),67,2
server/clamav.go,2,Receive,68,
server/clamav.go,2,Receive,70,
server/clamav.go,3,Send,71,
server/clamav.go,15,Close chan,74,
server/server.go,1,Goroutine,385,
server/server.go,1,Goroutine,526,
server/server.go,1,Goroutine,535,
server/server.go,1,Goroutine,551,
server/server.go,8,Known chan length (length),554,1
server/server.go,2,Receive,559,
server/handlers.go,1,Goroutine,739,
server/handlers.go,16,Select (number of branch),741,1
server/handlers.go,2,Receive,742,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dutchcoders++transfer.sh/cmd/cmd.go,0,Mutex,297,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dutchcoders++transfer.sh/cmd/cmd.go,0,Mutex,443,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dutchcoders++transfer.sh/cmd/cmd.go,0,Mutex,457,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dutchcoders++transfer.sh/cmd/cmd.go,0,Waitgroup,467,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dutchcoders++transfer.sh/cmd/cmd.go,0,Mutex,467,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dutchcoders++transfer.sh/cmd/cmd.go,0,Mutex,475,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dutchcoders++transfer.sh/cmd/cmd.go,0,Mutex,484,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dutchcoders++transfer.sh/cmd/cmd.go,0,Mutex,484,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dutchcoders++transfer.sh/cmd/cmd.go,0,Mutex,484,
/Users/nicolasdilley/Library/Caches/go-build/c4/c40f5b262c0998b3a5ca1ef815be06eb9bb3c7e7371f93c29b264b17c300ce6e-d,0,Mutex,45,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dutchcoders++transfer.sh/server/handlers.go,0,Mutex,81,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dutchcoders++transfer.sh/server/handlers.go,0,Mutex,89,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dutchcoders++transfer.sh/server/handlers.go,0,Mutex Lock(),664,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dutchcoders++transfer.sh/server/handlers.go,0,Mutex Unlock(),674,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dutchcoders++transfer.sh/server/ip_filter.go,0,Mutex,68,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dutchcoders++transfer.sh/server/server.go,0,Mutex,248,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dutchcoders++transfer.sh/server/server.go,0,Mutex,248,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/dutchcoders++transfer.sh/server/server.go,0,Mutex,248,
