Line num,0
packages num,2,3
files num,2,12
Average Line num per featured file,414
caire,1254
cmd/caire/main,331
utils/utils,197
Filename, #,Concurrent Type, Line number , Number
cmd/caire/main.go,4,Synchronous chan,165,
cmd/caire/main.go,4,Synchronous chan,166,
cmd/caire/main.go,15,Close chan,167,
cmd/caire/main.go,5,Go in for,173,
cmd/caire/main.go,1,Goroutine,173,
cmd/caire/main.go,1,Goroutine,180,
cmd/caire/main.go,15,Close chan,181,
cmd/caire/main.go,6,Range over chan,186,
cmd/caire/main.go,2,Receive,193,
cmd/caire/main.go,20,Receive only chan (<-chan),223,
cmd/caire/main.go,4,Synchronous chan,227,
cmd/caire/main.go,8,Known chan length (length),228,1
cmd/caire/main.go,1,Goroutine,230,
cmd/caire/main.go,15,Close chan,232,
cmd/caire/main.go,3,Send,234,
cmd/caire/main.go,16,Select (number of branch),253,2
cmd/caire/main.go,2,Receive,254,
cmd/caire/main.go,3,Send,256,
cmd/caire/main.go,20,Receive only chan (<-chan),269,
cmd/caire/main.go,20,Receive only chan (<-chan),270,
cmd/caire/main.go,21,Send only chan (chan<-),273,
cmd/caire/main.go,16,Select (number of branch),279,2
cmd/caire/main.go,2,Receive,280,
cmd/caire/main.go,3,Send,282,
cmd/caire/main.go,8,Known chan length (length),319,1
cmd/caire/main.go,1,Goroutine,321,
cmd/caire/main.go,2,Receive,322,
utils/spinner.go,1,Goroutine,46,
utils/spinner.go,17,Select with default (number of branch),49,2
utils/spinner.go,2,Receive,50,
utils/spinner.go,3,Send,77,
/Users/nicolasdilley/Library/Caches/go-build/3a/3ab741053dacca25353b66df4eb2c510d25010f1657842d9867f068190e8942a-d,0,Mutex,43,
