Line num,188515
packages num,1,160
files num,11,16
Average Line num per featured file,106,1174
,7
api/authpb,1099
api/etcdserverpb,28033
api/etcdserverpb/gw,2965
api/membershippb,1388
api/mvccpb,739
api/v3rpc/rpctypes,247
api/version,29
api/versionpb,70
client/pkg/fileutil,1150
client/pkg/logutil,155
client/pkg/pathutil,37
client/pkg/srv,376
client/pkg/systemd,10
client/pkg/testutil,494
client/pkg/tlsutil,98
client/pkg/transport,1906
client/pkg/types,786
client/v2,4533
client/v3,4896
client/v3/clientv3util,51
client/v3/concurrency,959
client/v3/credentials,86
client/v3/experimental/recipes,477
client/v3/internal/endpoint,154
client/v3/internal/resolver,49
client/v3/leasing,955
client/v3/mirror,66
client/v3/mock/mockserver,142
client/v3/namespace,330
client/v3/naming,1
client/v3/naming/endpoints,188
client/v3/naming/endpoints/internal,11
client/v3/naming/resolver,87
client/v3/ordering,256
client/v3/snapshot,75
client/v3/yaml,158
contrib/lock/client,155
contrib/lock/storage,77
contrib/raftexample,890
etcdctl,71
etcdctl/ctlv2,63
etcdctl/ctlv2/command,1729
etcdctl/ctlv3,89
etcdctl/ctlv3/command,4720
etcdutl,81
etcdutl/etcdutl,800
etcdutl/snapshot,388
pkg/adt,1001
pkg/cobrautl,164
pkg/contention,37
pkg/cpuutil,17
pkg/crc,68
pkg/debugutil,25
pkg/expect,233
pkg/flags,673
pkg/grpc_testing,69
pkg/httputil,52
pkg/idutil,74
pkg/ioutil,298
pkg/netutil,667
pkg/notify,26
pkg/osutil,158
pkg/pbutil,107
pkg/proxy,1389
pkg/report,542
pkg/runtime,38
pkg/schedule,144
pkg/stringutil,48
pkg/traceutil,455
pkg/wait,247
raft,10377
raft/confchange,656
raft/quorum,492
raft/raftpb,3013
raft/rafttest,1147
raft/tracker,726
server,46
server/auth,2658
server/config,411
server/embed,2440
server/etcdmain,2193
server/etcdserver,8537
server/etcdserver/api,79
server/etcdserver/api/etcdhttp,835
server/etcdserver/api/membership,2284
server/etcdserver/api/rafthttp,4561
server/etcdserver/api/snap,660
server/etcdserver/api/snap/snappb,318
server/etcdserver/api/v2auth,1352
server/etcdserver/api/v2discovery,832
server/etcdserver/api/v2error,151
server/etcdserver/api/v2http,4153
server/etcdserver/api/v2http/httptypes,200
server/etcdserver/api/v2stats,263
