Line num,0
packages num,13,28
files num,38,131
Average Line num per featured file,4790
tools,642
admin/admin,144
admin/api/api,185
admin/ui/ui,264
admin/ui/statik/statik,8
assert/assert,20
auth/auth,347
cert/cert,1932
config/config,2478
demo/server/main,206
demo/wsclient/main,40
exit/exit,95
logger/logger,829
metrics/metrics,417
noroute/noroute,27
proxy/proxy,2791
proxy/gzip/gzip,222
proxy/internal/internal,60
proxy/tcp/tcp,717
proxy/tcp/tcptest/tcptest,180
registry/registry,13
registry/consul/consul,887
registry/custom/custom,190
registry/file/file,25
registry/static/static,42
route/route,2903
trace/trace,223
uuid/uuid,48
Filename, #,Concurrent Type, Line number , Number
rootwarn_unix.go,1,Goroutine,43,
main.go,1,Goroutine,134,
main.go,4,Synchronous chan,136,
main.go,1,Goroutine,137,
main.go,2,Receive,139,
main.go,1,Goroutine,304,
main.go,1,Goroutine,339,
main.go,1,Goroutine,346,
main.go,1,Goroutine,353,
main.go,1,Goroutine,366,
main.go,1,Goroutine,379,
main.go,5,Go in for,413,
main.go,1,Goroutine,413,
main.go,1,Goroutine,431,
main.go,22,chan used as a param,528,
main.go,2,Receive,545,
main.go,16,Select (number of branch),557,2
main.go,2,Receive,558,
main.go,2,Receive,559,
main.go,2,Receive,592,
auth/basic.go,1,Goroutine,37,
cert/path_source.go,8,Known chan length (length),30,1
cert/path_source.go,1,Goroutine,31,
cert/watch.go,22,chan used as a param,11,
cert/watch.go,3,Send,39,
cert/vault_pki_source.go,1,Goroutine,130,
cert/vault_pki_source.go,3,Send,130,
cert/vault_client.go,1,Goroutine,114,
cert/source.go,1,Goroutine,144,
cert/http_source.go,8,Known chan length (length),29,1
cert/http_source.go,1,Goroutine,30,
cert/file_source.go,8,Known chan length (length),35,1
cert/file_source.go,3,Send,36,
cert/file_source.go,15,Close chan,37,
cert/consul_source.go,8,Known chan length (length),92,1
cert/consul_source.go,1,Goroutine,93,
cert/consul_source.go,8,Known chan length (length),95,1
cert/consul_source.go,1,Goroutine,96,
cert/consul_source.go,6,Range over chan,97,
cert/consul_source.go,3,Send,103,
cert/consul_source.go,22,chan used as a param,110,
cert/consul_source.go,3,Send,124,
cert/vault_source.go,8,Known chan length (length),39,1
cert/vault_source.go,1,Goroutine,40,
cert/source_test.go,8,Known chan length (length),176,1
cert/source_test.go,3,Send,177,
cert/source_test.go,15,Close chan,178,
demo/server/server.go,1,Goroutine,123,
demo/server/server.go,8,Known chan length (length),168,1
demo/server/server.go,2,Receive,170,
demo/wsclient/wsclient.go,1,Goroutine,32,
exit/listen_test.go,1,Goroutine,35,
exit/listen_test.go,1,Goroutine,36,
exit/listen.go,4,Synchronous chan,15,
exit/listen.go,1,Goroutine,24,
exit/listen.go,10,Make chan in for,27,
exit/listen.go,8,Known chan length (length),27,1
exit/listen.go,16,Select (number of branch),31,2
exit/listen.go,2,Receive,32,
exit/listen.go,2,Receive,45,
exit/listen.go,15,Close chan,63,
metrics/gometrics.go,1,Goroutine,21,
metrics/gometrics.go,1,Goroutine,37,
metrics/gometrics.go,1,Goroutine,53,
proxy/ws_handler.go,8,Known chan length (length),92,2
proxy/ws_handler.go,3,Send,95,
proxy/ws_handler.go,1,Goroutine,98,
proxy/ws_handler.go,1,Goroutine,99,
proxy/ws_handler.go,2,Receive,100,
proxy/inetaf_tcpproxy_integration_test.go,1,Goroutine,96,
proxy/listen_test.go,4,Synchronous chan,19,
proxy/listen_test.go,2,Receive,21,
proxy/listen_test.go,1,Goroutine,30,
proxy/listen_test.go,1,Goroutine,47,
proxy/listen_test.go,15,Close chan,49,
proxy/inetaf_tcpproxy.go,9,Unknown chan length,28,
proxy/inetaf_tcpproxy.go,5,Go in for,30,
proxy/inetaf_tcpproxy.go,1,Goroutine,30,
proxy/inetaf_tcpproxy.go,3,Send,31,
proxy/inetaf_tcpproxy.go,2,Receive,35,
proxy/inetaf_tcpproxy.go,9,Unknown chan length,56,
proxy/inetaf_tcpproxy.go,5,Go in for,58,
proxy/inetaf_tcpproxy.go,1,Goroutine,58,
proxy/inetaf_tcpproxy.go,3,Send,59,
proxy/inetaf_tcpproxy.go,2,Receive,64,
proxy/inetaf_tcpproxy.go,9,Unknown chan length,88,
proxy/inetaf_tcpproxy.go,5,Go in for,90,
proxy/inetaf_tcpproxy.go,1,Goroutine,90,
proxy/inetaf_tcpproxy.go,3,Send,91,
proxy/inetaf_tcpproxy.go,2,Receive,95,
proxy/serve.go,5,Go in for,70,
proxy/serve.go,1,Goroutine,70,
proxy/tcp_integration_test.go,1,Goroutine,43,
proxy/tcp_integration_test.go,1,Goroutine,75,
proxy/tcp_integration_test.go,1,Goroutine,124,
proxy/tcp_integration_test.go,1,Goroutine,183,
proxy/tcp_integration_test.go,1,Goroutine,256,
proxy/tcp_integration_test.go,1,Goroutine,308,
proxy/tcp_integration_test.go,1,Goroutine,369,
proxy/grpc_handler.go,1,Goroutine,216,
proxy/tcp/tcp_proxy.go,8,Known chan length (length),77,2
proxy/tcp/tcp_proxy.go,3,Send,79,
proxy/tcp/tcp_proxy.go,1,Goroutine,87,
proxy/tcp/tcp_proxy.go,1,Goroutine,88,
proxy/tcp/tcp_proxy.go,2,Receive,89,
proxy/tcp/tcp_dynamic_proxy.go,8,Known chan length (length),69,2
proxy/tcp/tcp_dynamic_proxy.go,3,Send,71,
proxy/tcp/tcp_dynamic_proxy.go,1,Goroutine,79,
proxy/tcp/tcp_dynamic_proxy.go,1,Goroutine,80,
proxy/tcp/tcp_dynamic_proxy.go,2,Receive,81,
proxy/tcp/sni_proxy.go,8,Known chan length (length),138,2
proxy/tcp/sni_proxy.go,3,Send,140,
proxy/tcp/sni_proxy.go,1,Goroutine,151,
proxy/tcp/sni_proxy.go,1,Goroutine,152,
proxy/tcp/sni_proxy.go,2,Receive,153,
proxy/tcp/server.go,5,Go in for,84,
proxy/tcp/server.go,1,Goroutine,84,
proxy/tcp/server.go,2,Receive,125,
proxy/tcp/tcptest/server.go,1,Goroutine,44,
proxy/tcp/tcptest/server.go,1,Goroutine,74,
registry/consul/register.go,4,Synchronous chan,71,
registry/consul/register.go,1,Goroutine,72,
registry/consul/register.go,16,Select (number of branch),84,2
registry/consul/register.go,2,Receive,85,
registry/consul/register.go,3,Send,87,
registry/consul/register.go,2,Receive,89,
registry/consul/kv.go,22,chan used as a param,13,
registry/consul/kv.go,3,Send,27,
registry/consul/backend.go,3,Send,93,
registry/consul/backend.go,2,Receive,94,
registry/consul/backend.go,3,Send,106,
registry/consul/backend.go,2,Receive,107,
registry/consul/backend.go,4,Synchronous chan,138,
registry/consul/backend.go,1,Goroutine,139,
registry/consul/backend.go,4,Synchronous chan,146,
registry/consul/backend.go,1,Goroutine,147,
registry/consul/backend.go,4,Synchronous chan,154,
registry/consul/backend.go,1,Goroutine,155,
registry/consul/service.go,22,chan used as a param,33,
registry/consul/service.go,3,Send,55,
registry/consul/service.go,9,Unknown chan length,84,
registry/consul/service.go,9,Unknown chan length,85,
registry/consul/service.go,5,Go in for,88,
registry/consul/service.go,1,Goroutine,88,
registry/consul/service.go,3,Send,89,
registry/consul/service.go,3,Send,90,
registry/consul/service.go,2,Receive,91,
registry/consul/service.go,2,Receive,97,
registry/custom/custom_test.go,8,Known chan length (length),25,1
registry/custom/custom_test.go,1,Goroutine,33,
registry/custom/custom_test.go,1,Goroutine,37,
registry/custom/custom_test.go,2,Receive,39,
registry/custom/custom.go,22,chan used as a param,14,
registry/custom/custom.go,3,Send,50,
registry/custom/custom.go,3,Send,56,
registry/custom/custom.go,3,Send,64,
registry/custom/custom.go,3,Send,72,
registry/custom/custom.go,3,Send,77,
registry/custom/backend.go,8,Known chan length (length),44,1
registry/custom/backend.go,1,Goroutine,45,
registry/custom/backend.go,8,Known chan length (length),54,1
registry/custom/backend.go,3,Send,55,
registry/static/backend.go,8,Known chan length (length),43,1
registry/static/backend.go,3,Send,44,
registry/static/backend.go,8,Known chan length (length),53,1
registry/static/backend.go,3,Send,54,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/fabiolb++fabio/config/load_test.go,0,Mutex,1134,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/fabiolb++fabio/config/load_test.go,0,Mutex,1134,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/fabiolb++fabio/config/load_test.go,0,Mutex,1134,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/fabiolb++fabio/config/load_test.go,0,Mutex,1134,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/fabiolb++fabio/config/load_test.go,0,Waitgroup,1134,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/fabiolb++fabio/config/load_test.go,0,Mutex,1134,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/fabiolb++fabio/auth/basic.go,0,Mutex,25,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/fabiolb++fabio/logger/logger.go,0,Mutex Lock(),140,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/fabiolb++fabio/logger/logger.go,0,Mutex Unlock(),142,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/fabiolb++fabio/logger/logger_test.go,0,Mutex,242,
/Users/nicolasdilley/Library/Caches/go-build/d1/d16c6707d3ecf98a19c2d550c80f66773ea8900234001f7fa4ee9b4d23a67bd1-d,0,Mutex,57,
