Line num,0
packages num,14,40
files num,35,123
Average Line num per featured file,6469
assets/assets,24
assets/frpc/frpc,9
assets/frps/frpc,9
client/client,1396
client/event/event,20
client/health/health,132
client/proxy/proxy,1000
cmd/frpc/main,13
cmd/frpc/sub/sub,908
cmd/frps/main,220
pkg/auth/auth,272
pkg/config/config,2879
pkg/consts/consts,19
pkg/errors/errors,8
pkg/metrics/metrics,6
pkg/metrics/aggregate/aggregate,62
pkg/metrics/mem/mem,264
pkg/metrics/prometheus/prometheus,81
pkg/msg/msg,171
pkg/nathole/nathole,184
pkg/plugin/client/plugin,0
pkg/plugin/server/plugin,0
pkg/proto/udp/udp,0
pkg/transport/transport,0
pkg/util/limit/limit,0
pkg/util/log/log,0
pkg/util/metric/metric,0
pkg/util/net/net,0
pkg/util/tcpmux/tcpmux,0
pkg/util/util/util,0
pkg/util/version/version,0
pkg/util/vhost/vhost,0
pkg/util/xlog/xlog,0
server/server,0
server/controller/controller,0
server/group/group,0
server/metrics/metrics,0
server/ports/ports,0
server/proxy/proxy,0
server/visitor/visitor,0
Filename, #,Concurrent Type, Line number , Number
client/visitor_manager.go,16,Select (number of branch),58,2
client/visitor_manager.go,2,Receive,59,
client/visitor_manager.go,2,Receive,62,
client/visitor_manager.go,17,Select with default (number of branch),141,2
client/visitor_manager.go,2,Receive,142,
client/admin.go,1,Goroutine,68,
client/control.go,8,Known chan length (length),105,100
client/control.go,8,Known chan length (length),106,100
client/control.go,4,Synchronous chan,107,
client/control.go,4,Synchronous chan,108,
client/control.go,1,Goroutine,126,
client/control.go,1,Goroutine,132,
client/control.go,3,Send,265,
client/control.go,2,Receive,280,
client/control.go,16,Select (number of branch),312,3
client/control.go,2,Receive,313,
client/control.go,3,Send,321,
client/control.go,2,Receive,322,
client/control.go,2,Receive,329,
client/control.go,1,Goroutine,336,
client/control.go,1,Goroutine,354,
client/control.go,1,Goroutine,355,
client/control.go,1,Goroutine,356,
client/control.go,16,Select (number of branch),358,1
client/control.go,2,Receive,359,
client/service.go,1,Goroutine,123,
client/service.go,2,Receive,136,
client/service.go,2,Receive,153,
client/visitor.go,4,Synchronous chan,67,
client/visitor.go,1,Goroutine,94,
client/visitor.go,5,Go in for,111,
client/visitor.go,1,Goroutine,111,
client/visitor.go,1,Goroutine,183,
client/visitor.go,5,Go in for,200,
client/visitor.go,1,Goroutine,200,
client/visitor.go,8,Known chan length (length),366,1024
client/visitor.go,8,Known chan length (length),367,1024
client/visitor.go,1,Goroutine,371,
client/visitor.go,1,Goroutine,372,
client/visitor.go,17,Select with default (number of branch),389,2
client/visitor.go,2,Receive,390,
client/visitor.go,17,Select with default (number of branch),404,2
client/visitor.go,2,Receive,405,
client/visitor.go,4,Synchronous chan,418,
client/visitor.go,15,Close chan,424,
client/visitor.go,3,Send,448,
client/visitor.go,16,Select (number of branch),467,2
client/visitor.go,2,Receive,468,
client/visitor.go,2,Receive,479,
client/visitor.go,1,Goroutine,485,
client/visitor.go,1,Goroutine,486,
