Line num,6643
packages num,3,20
files num,3,95
Average Line num per featured file,183,551
,9
auth,146
cmd,1756
diskcache,157
errors,19
files,400
fileutils,196
frontend,15
http,1800
img,783
rules,54
runner,123
search,132
settings,203
share,101
storage,13
storage/bolt,219
storage/bolt/importer,287
users,225
version,5
Filename, #,Concurrent Type, Line number , Number
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/filebrowser++filebrowser/runner/runner.go,1,Goroutine,106,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/filebrowser++filebrowser/http/preview.go,1,Goroutine,144,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/filebrowser++filebrowser/cmd/root.go,8,Known chan length (length),169,1
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/filebrowser++filebrowser/cmd/root.go,1,Goroutine,171,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/filebrowser++filebrowser/cmd/root.go,22,chan used as a param,190,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/filebrowser++filebrowser/cmd/root.go,2,Receive,191,
